Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L2-2A 2phi 0"
Duration Time,60.034
Ambient Temperature,"101.7"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"718576"
Raw Accumulated Counts,"744973"
Valid Count Last Packet,"11200"
Raw Count Last Packet,"11586"
Live Time,58.295986
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.0893
Number of Channels,2048
Vacuum,755
Channel#,Intensity
0,"1784"
1,"1423"
2,"941"
3,"474"
4,"211"
5,"80"
6,"18"
7,"5"
8,"0"
9,"0"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"5"
22,"20"
23,"93"
24,"170"
25,"204"
26,"186"
27,"177"
28,"195"
29,"189"
30,"198"
31,"174"
32,"180"
33,"175"
34,"150"
35,"154"
36,"158"
37,"160"
38,"156"
39,"137"
40,"153"
41,"135"
42,"153"
43,"137"
44,"184"
45,"163"
46,"162"
47,"165"
48,"185"
49,"178"
50,"175"
51,"168"
52,"153"
53,"154"
54,"155"
55,"156"
56,"146"
57,"156"
58,"178"
59,"146"
60,"157"
61,"133"
62,"158"
63,"137"
64,"139"
65,"139"
66,"158"
67,"140"
68,"136"
69,"133"
70,"144"
71,"180"
72,"221"
73,"210"
74,"234"
75,"219"
76,"220"
77,"208"
78,"207"
79,"193"
80,"216"
81,"298"
82,"503"
83,"791"
84,"1186"
85,"1562"
86,"1705"
87,"1648"
88,"1349"
89,"1056"
90,"699"
91,"443"
92,"303"
93,"231"
94,"164"
95,"138"
96,"138"
97,"150"
98,"135"
99,"153"
100,"161"
101,"137"
102,"131"
103,"122"
104,"128"
105,"123"
106,"130"
107,"118"
108,"115"
109,"145"
110,"111"
111,"153"
112,"196"
113,"218"
114,"248"
115,"238"
116,"218"
117,"208"
118,"234"
119,"187"
120,"198"
121,"188"
122,"174"
123,"184"
124,"215"
125,"242"
126,"291"
127,"362"
128,"569"
129,"756"
130,"996"
131,"1349"
132,"1690"
133,"1934"
134,"2023"
135,"1908"
136,"1742"
137,"1389"
138,"1333"
139,"1303"
140,"1333"
141,"1495"
142,"1439"
143,"1523"
144,"1620"
145,"1640"
146,"1787"
147,"1744"
148,"1559"
149,"1251"
150,"1020"
151,"670"
152,"521"
153,"368"
154,"314"
155,"377"
156,"393"
157,"454"
158,"513"
159,"654"
160,"1060"
161,"1445"
162,"1861"
163,"2456"
164,"2699"
165,"2663"
166,"2414"
167,"1956"
168,"1364"
169,"933"
170,"575"
171,"313"
172,"260"
173,"291"
174,"285"
175,"382"
176,"408"
177,"556"
178,"660"
179,"704"
180,"737"
181,"811"
182,"804"
183,"809"
184,"800"
185,"653"
186,"565"
187,"425"
188,"315"
189,"246"
190,"205"
191,"179"
192,"206"
193,"152"
194,"193"
195,"233"
196,"198"
197,"274"
198,"288"
199,"261"
200,"249"
201,"269"
202,"242"
203,"223"
204,"206"
205,"219"
206,"209"
207,"197"
208,"221"
209,"207"
210,"220"
211,"219"
212,"203"
213,"237"
214,"217"
215,"242"
216,"225"
217,"245"
218,"281"
219,"310"
220,"412"
221,"427"
222,"503"
223,"568"
224,"535"
225,"503"
226,"490"
227,"451"
228,"387"
229,"337"
230,"324"
231,"333"
232,"315"
233,"300"
234,"269"
235,"278"
236,"276"
237,"321"
238,"321"
239,"288"
240,"299"
241,"303"
242,"308"
243,"359"
244,"345"
245,"358"
246,"327"
247,"373"
248,"351"
249,"354"
250,"327"
251,"314"
252,"331"
253,"264"
254,"353"
255,"322"
256,"311"
257,"296"
258,"350"
259,"315"
260,"320"
261,"322"
262,"333"
263,"379"
264,"368"
265,"354"
266,"344"
267,"369"
268,"374"
269,"377"
270,"390"
271,"337"
272,"353"
273,"362"
274,"354"
275,"358"
276,"383"
277,"374"
278,"376"
279,"385"
280,"437"
281,"386"
282,"411"
283,"447"
284,"457"
285,"453"
286,"467"
287,"454"
288,"431"
289,"457"
290,"457"
291,"418"
292,"441"
293,"447"
294,"473"
295,"461"
296,"448"
297,"463"
298,"459"
299,"401"
300,"498"
301,"466"
302,"418"
303,"384"
304,"429"
305,"483"
306,"469"
307,"494"
308,"524"
309,"603"
310,"738"
311,"1061"
312,"1460"
313,"1917"
314,"2723"
315,"3304"
316,"4056"
317,"4638"
318,"4655"
319,"4427"
320,"3993"
321,"3321"
322,"2538"
323,"1814"
324,"1264"
325,"917"
326,"684"
327,"536"
328,"471"
329,"488"
330,"429"
331,"474"
332,"479"
333,"462"
334,"471"
335,"489"
336,"455"
337,"447"
338,"470"
339,"514"
340,"541"
341,"564"
342,"565"
343,"605"
344,"690"
345,"726"
346,"841"
347,"921"
348,"963"
349,"1075"
350,"1146"
351,"1187"
352,"1059"
353,"1041"
354,"941"
355,"872"
