Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L1-4G -1phi 1"
Duration Time,60.042
Ambient Temperature,"101.0"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"671885"
Raw Accumulated Counts,"695870"
Valid Count Last Packet,"10661"
Raw Count Last Packet,"11037"
Live Time,58.398998
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.9196
Number of Channels,2048
Vacuum,763
Channel#,Intensity
0,"1713"
1,"1474"
2,"961"
3,"529"
4,"221"
5,"76"
6,"13"
7,"7"
8,"3"
9,"0"
10,"0"
11,"1"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"1"
21,"3"
22,"26"
23,"97"
24,"183"
25,"174"
26,"197"
27,"195"
28,"177"
29,"181"
30,"158"
31,"150"
32,"177"
33,"147"
34,"162"
35,"144"
36,"184"
37,"172"
38,"147"
39,"151"
40,"154"
41,"169"
42,"152"
43,"182"
44,"146"
45,"171"
46,"184"
47,"195"
48,"186"
49,"175"
50,"166"
51,"156"
52,"146"
53,"147"
54,"168"
55,"135"
56,"140"
57,"152"
58,"135"
59,"169"
60,"173"
61,"190"
62,"132"
63,"140"
64,"133"
65,"140"
66,"118"
67,"151"
68,"143"
69,"154"
70,"162"
71,"183"
72,"224"
73,"196"
74,"226"
75,"250"
76,"259"
77,"231"
78,"191"
79,"242"
80,"213"
81,"336"
82,"517"
83,"794"
84,"1323"
85,"1670"
86,"1858"
87,"1714"
88,"1552"
89,"1151"
90,"782"
91,"468"
92,"315"
93,"220"
94,"154"
95,"150"
96,"149"
97,"130"
98,"155"
99,"157"
100,"143"
101,"136"
102,"130"
103,"125"
104,"129"
105,"123"
106,"114"
107,"112"
108,"157"
109,"117"
110,"138"
111,"147"
112,"188"
113,"201"
114,"215"
115,"267"
116,"223"
117,"217"
118,"195"
119,"199"
120,"171"
121,"186"
122,"197"
123,"202"
124,"208"
125,"237"
126,"269"
127,"377"
128,"501"
129,"691"
130,"972"
131,"1285"
132,"1660"
133,"1862"
134,"1908"
135,"1877"
136,"1658"
137,"1446"
138,"1303"
139,"1306"
140,"1373"
141,"1372"
142,"1479"
143,"1553"
144,"1611"
145,"1723"
146,"1803"
147,"1729"
148,"1643"
149,"1321"
150,"1043"
151,"731"
152,"464"
153,"394"
154,"335"
155,"336"
156,"362"
157,"455"
158,"669"
159,"940"
160,"1411"
161,"2144"
162,"2983"
163,"3905"
164,"4453"
165,"4506"
166,"3964"
167,"3164"
168,"2252"
169,"1427"
170,"840"
171,"506"
172,"346"
173,"330"
174,"407"
175,"475"
176,"581"
177,"784"
178,"848"
179,"960"
180,"940"
181,"858"
182,"817"
183,"725"
184,"653"
185,"587"
186,"480"
187,"338"
188,"283"
189,"227"
190,"226"
191,"208"
192,"192"
193,"193"
194,"217"
195,"218"
196,"226"
197,"235"
198,"207"
199,"251"
200,"233"
201,"229"
202,"227"
203,"240"
204,"199"
205,"194"
206,"208"
207,"221"
208,"210"
209,"211"
210,"183"
211,"219"
212,"205"
213,"186"
214,"211"
215,"237"
216,"239"
217,"275"
218,"299"
219,"333"
220,"386"
221,"448"
222,"448"
223,"472"
224,"466"
225,"452"
226,"379"
227,"366"
228,"320"
229,"307"
230,"278"
231,"230"
232,"267"
233,"267"
234,"274"
235,"264"
236,"282"
237,"310"
238,"355"
239,"359"
240,"379"
241,"358"
242,"398"
243,"348"
244,"363"
245,"355"
246,"325"
247,"328"
248,"330"
249,"288"
250,"284"
251,"299"
252,"326"
253,"306"
254,"336"
255,"330"
256,"335"
257,"327"
258,"329"
259,"293"
260,"320"
261,"304"
262,"309"
263,"340"
264,"316"
265,"326"
266,"349"
267,"366"
268,"360"
269,"356"
270,"350"
271,"405"
272,"411"
273,"414"
274,"434"
275,"422"
276,"445"
277,"402"
278,"409"
279,"434"
280,"406"
281,"415"
282,"454"
283,"403"
284,"379"
285,"441"
286,"417"
287,"421"
288,"375"
289,"397"
290,"423"
291,"369"
292,"390"
293,"408"
294,"360"
295,"374"
296,"362"
297,"359"
298,"347"
299,"336"
300,"360"
301,"400"
302,"402"
303,"440"
304,"385"
305,"436"
306,"464"
307,"440"
308,"432"
309,"478"
310,"525"
311,"539"
312,"663"
313,"794"
314,"883"
315,"1006"
316,"1119"
317,"1137"
318,"1183"
319,"1218"
320,"1090"
321,"962"
322,"807"
323,"687"
324,"605"
325,"466"
326,"456"
327,"500"
328,"423"
329,"410"
330,"461"
331,"412"
332,"423"
333,"438"
334,"487"
335,"468"
336,"477"
337,"439"
338,"475"
339,"493"
340,"437"
341,"421"
342,"451"
343,"460"
344,"484"
345,"452"
346,"505"
347,"479"
348,"489"
349,"544"
350,"557"
351,"588"
352,"563"
353,"558"
354,"568"
355,"606"
356,"617"
357,"612"
358,"699"
359,"708"
360,"784"
361,"855"
362,"874"
363,"985"
364,"1016"
365,"1032"
366,"1055"
367,"1190"
368,"1287"
369,"1300"
370,"1386"
371,"1343"
372,"1291"
373,"1155"
374,"1094"
375,"948"
376,"798"
377,"667"
378,"541"
379,"517"
380,"541"
381,"489"
382,"492"
383,"497"
384,"524"
385,"516"
386,"564"
387,"577"
388,"595"
389,"594"
390,"589"
391,"603"
392,"533"
393,"584"
394,"619"
395,"640"
396,"679"
397,"652"
398,"711"
399,"746"
400,"705"
401,"747"
402,"676"
403,"677"
404,"651"
405,"619"
406,"641"
407,"590"
408,"624"
409,"648"
410,"642"
411,"579"
412,"610"
413,"532"
414,"530"
415,"526"
416,"510"
417,"490"
418,"469"
419,"474"
420,"469"
421,"463"
422,"461"
423,"457"
424,"471"
425,"478"
426,"504"
427,"469"
428,"450"
429,"427"
430,"464"
431,"453"
432,"462"
433,"457"
434,"481"
435,"453"
436,"450"
437,"443"
438,"426"
439,"478"
440,"453"
441,"437"
442,"445"
443,"486"
444,"461"
445,"449"
446,"476"
447,"448"
448,"442"
449,"446"
450,"464"
451,"464"
452,"490"
453,"465"
454,"468"
455,"493"
456,"521"
457,"540"
458,"525"
459,"570"
460,"574"
461,"552"
462,"544"
463,"500"
464,"517"
465,"550"
466,"546"
467,"510"
468,"489"
469,"524"
470,"492"
471,"536"
472,"529"
473,"507"
474,"529"
475,"532"
476,"511"
477,"497"
478,"541"
479,"530"
480,"550"
481,"536"
482,"539"
483,"529"
484,"526"
485,"508"
486,"530"
487,"519"
488,"479"
489,"520"
490,"504"
491,"517"
492,"500"
493,"522"
494,"501"
495,"493"
496,"541"
497,"515"
498,"515"
499,"558"
500,"551"
501,"524"
502,"518"
503,"512"
504,"512"
505,"484"
506,"493"
507,"536"
508,"445"
509,"483"
510,"467"
511,"505"
512,"469"
513,"485"
514,"489"
515,"468"
516,"482"
517,"463"
518,"490"
519,"442"
520,"484"
521,"493"
522,"463"
523,"479"
524,"524"
525,"508"
526,"514"
527,"553"
528,"527"
529,"544"
530,"480"
531,"463"
532,"521"
533,"521"
534,"506"
535,"482"
536,"513"
537,"491"
538,"510"
539,"484"
540,"474"
541,"478"
542,"495"
543,"469"
544,"496"
545,"497"
546,"443"
547,"447"
548,"431"
549,"507"
550,"466"
551,"487"
552,"493"
553,"468"
554,"470"
555,"473"
556,"483"
557,"490"
558,"459"
559,"451"
560,"444"
561,"438"
562,"447"
563,"453"
564,"471"
565,"450"
566,"466"
567,"445"
568,"474"
569,"468"
570,"466"
571,"403"
572,"425"
573,"461"
574,"471"
575,"474"
576,"476"
577,"439"
578,"456"
579,"486"
580,"438"
581,"472"
582,"523"
583,"460"
584,"505"
585,"436"
586,"484"
587,"469"
588,"489"
589,"475"
590,"498"
591,"489"
592,"427"
593,"489"
594,"479"
595,"492"
596,"417"
597,"491"
598,"495"
599,"472"
600,"508"
601,"512"
602,"489"
603,"508"
604,"462"
605,"493"
606,"474"
607,"472"
608,"544"
609,"491"
610,"474"
611,"504"
612,"504"
613,"456"
614,"460"
615,"528"
616,"481"
617,"467"
618,"492"
619,"484"
620,"522"
621,"462"
622,"491"
623,"515"
624,"471"
625,"541"
626,"484"
627,"474"
628,"521"
629,"482"
630,"513"
631,"510"
632,"507"
633,"491"
634,"493"
635,"421"
636,"468"
637,"479"
638,"477"
639,"518"
640,"481"
641,"497"
642,"478"
643,"463"
644,"493"
645,"457"
646,"479"
647,"524"
648,"509"
649,"491"
650,"483"
651,"501"
652,"489"
653,"509"
654,"504"
655,"535"
