Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L2-3F 2phi 0"
Duration Time,60.031
Ambient Temperature,"89.1"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"720221"
Raw Accumulated Counts,"746879"
Valid Count Last Packet,"11087"
Raw Count Last Packet,"11496"
Live Time,58.258991
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.7908
Number of Channels,2048
Vacuum,748
Channel#,Intensity
0,"1740"
1,"1453"
2,"983"
3,"491"
4,"241"
5,"67"
6,"17"
7,"3"
8,"1"
9,"0"
10,"0"
11,"0"
12,"1"
13,"1"
14,"1"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"1"
21,"7"
22,"37"
23,"122"
24,"206"
25,"208"
26,"216"
27,"202"
28,"175"
29,"157"
30,"193"
31,"185"
32,"147"
33,"174"
34,"159"
35,"153"
36,"174"
37,"163"
38,"164"
39,"150"
40,"122"
41,"161"
42,"173"
43,"175"
44,"148"
45,"189"
46,"186"
47,"161"
48,"162"
49,"164"
50,"160"
51,"198"
52,"135"
53,"177"
54,"173"
55,"153"
56,"139"
57,"158"
58,"156"
59,"188"
60,"177"
61,"168"
62,"154"
63,"146"
64,"127"
65,"115"
66,"132"
67,"108"
68,"126"
69,"124"
70,"166"
71,"190"
72,"189"
73,"215"
74,"225"
75,"223"
76,"222"
77,"206"
78,"182"
79,"178"
80,"207"
81,"273"
82,"432"
83,"681"
84,"997"
85,"1279"
86,"1377"
87,"1280"
88,"1110"
89,"829"
90,"551"
91,"414"
92,"244"
93,"232"
94,"164"
95,"142"
96,"140"
97,"130"
98,"119"
99,"131"
100,"150"
101,"164"
102,"128"
103,"126"
104,"130"
105,"128"
106,"132"
107,"107"
108,"135"
109,"130"
110,"157"
111,"178"
112,"191"
113,"202"
114,"221"
115,"257"
116,"216"
117,"222"
118,"221"
119,"215"
120,"188"
121,"211"
122,"219"
123,"195"
124,"231"
125,"248"
126,"270"
127,"377"
128,"572"
129,"716"
130,"1007"
131,"1373"
132,"1633"
133,"1951"
134,"2010"
135,"1758"
136,"1595"
137,"1435"
138,"1310"
139,"1349"
140,"1364"
141,"1368"
142,"1457"
143,"1530"
144,"1535"
145,"1684"
146,"1879"
147,"1794"
148,"1552"
149,"1236"
150,"966"
151,"706"
152,"491"
153,"362"
154,"329"
155,"312"
156,"331"
157,"403"
158,"561"
159,"717"
160,"1002"
161,"1441"
162,"1891"
163,"2539"
164,"2697"
165,"2679"
166,"2486"
167,"1926"
168,"1367"
169,"920"
170,"540"
171,"370"
172,"273"
173,"267"
174,"314"
175,"409"
176,"514"
177,"588"
178,"681"
179,"816"
180,"892"
181,"1008"
182,"1064"
183,"1087"
184,"1024"
185,"829"
186,"640"
187,"477"
188,"385"
189,"278"
190,"223"
191,"201"
192,"194"
193,"198"
194,"222"
195,"223"
196,"267"
197,"275"
198,"306"
199,"310"
200,"321"
201,"294"
202,"268"
203,"282"
204,"223"
205,"199"
206,"216"
207,"183"
208,"208"
209,"218"
210,"221"
211,"212"
212,"202"
213,"209"
214,"215"
215,"257"
216,"248"
217,"302"
218,"335"
219,"450"
220,"561"
221,"703"
222,"832"
223,"868"
224,"897"
225,"871"
226,"763"
227,"585"
228,"497"
229,"410"
230,"335"
231,"302"
232,"273"
233,"296"
234,"287"
235,"298"
236,"292"
237,"338"
238,"332"
239,"296"
240,"380"
241,"379"
242,"409"
243,"409"
244,"446"
245,"444"
246,"404"
247,"397"
248,"402"
249,"362"
250,"324"
251,"361"
252,"328"
253,"334"
254,"296"
255,"327"
256,"323"
257,"302"
258,"327"
259,"311"
260,"335"
261,"298"
262,"339"
263,"321"
264,"301"
265,"358"
266,"344"
267,"388"
268,"376"
269,"361"
270,"407"
271,"372"
272,"377"
273,"383"
274,"390"
275,"382"
276,"365"
277,"406"
278,"372"
279,"402"
280,"368"
281,"398"
282,"396"
283,"405"
284,"366"
285,"410"
286,"450"
287,"412"
288,"448"
289,"442"
290,"447"
291,"490"
292,"464"
293,"478"
294,"488"
295,"440"
296,"491"
297,"468"
298,"427"
299,"383"
300,"433"
301,"405"
302,"430"
303,"453"
304,"450"
305,"403"
306,"473"
307,"556"
308,"594"
309,"700"
310,"982"
311,"1231"
312,"1788"
313,"2591"
314,"3456"
315,"4485"
316,"5415"
317,"5879"
318,"5947"
319,"5643"
320,"4799"
321,"3866"
322,"2900"
323,"2065"
324,"1432"
325,"1023"
326,"759"
327,"672"
328,"551"
329,"504"
330,"489"
331,"454"
332,"498"
333,"428"
334,"489"
335,"501"
336,"506"
337,"493"
338,"515"
339,"491"
340,"528"
341,"550"
342,"554"
343,"614"
344,"683"
345,"755"
346,"913"
347,"1038"
348,"1193"
349,"1278"
350,"1361"
351,"1357"
352,"1278"
353,"1177"
354,"1017"
355,"895"
356,"838"
357,"751"
358,"800"
359,"759"
360,"835"
361,"850"
362,"837"
363,"947"
364,"957"
365,"965"
366,"1148"
367,"1191"
368,"1282"
369,"1402"
370,"1452"
371,"1356"
372,"1363"
373,"1157"
374,"1018"
375,"910"
376,"730"
377,"600"
378,"558"
379,"538"
380,"476"
381,"509"
382,"434"
383,"481"
384,"443"
385,"453"
386,"450"
387,"424"
388,"426"
389,"462"
390,"481"
391,"461"
392,"485"
393,"510"
394,"533"
395,"574"
396,"641"
397,"656"
398,"740"
399,"698"
400,"762"
401,"668"
402,"728"
403,"701"
404,"654"
405,"642"
406,"612"
407,"620"
408,"625"
409,"614"
410,"669"
411,"618"
412,"638"
413,"585"
414,"593"
415,"602"
416,"562"
417,"583"
418,"495"
419,"506"
420,"498"
421,"562"
422,"599"
423,"540"
424,"554"
425,"589"
426,"567"
427,"587"
428,"615"
429,"595"
430,"605"
431,"545"
432,"551"
433,"512"
434,"562"
435,"499"
436,"475"
437,"578"
438,"524"
439,"567"
440,"585"
441,"527"
442,"569"
443,"563"
444,"539"
445,"540"
446,"541"
447,"509"
448,"528"
449,"513"
450,"475"
451,"529"
452,"576"
453,"542"
454,"563"
455,"533"
456,"587"
457,"568"
458,"572"
459,"599"
460,"593"
461,"558"
462,"535"
463,"533"
464,"538"
465,"517"
466,"515"
467,"480"
468,"528"
469,"514"
470,"530"
471,"528"
472,"534"
473,"511"
474,"536"
475,"521"
476,"558"
477,"590"
478,"520"
479,"523"
480,"518"
481,"573"
482,"562"
483,"496"
484,"567"
485,"520"
486,"529"
487,"521"
488,"583"
489,"525"
490,"554"
491,"537"
492,"553"
493,"496"
494,"556"
495,"525"
496,"565"
497,"538"
498,"523"
499,"532"
500,"541"
501,"558"
502,"524"
503,"514"
504,"579"
505,"513"
506,"529"
507,"527"
508,"537"
509,"509"
510,"495"
511,"552"
512,"569"
513,"512"
514,"519"
515,"536"
516,"583"
517,"570"
518,"630"
519,"664"
520,"681"
521,"740"
522,"696"
523,"791"
524,"833"
525,"785"
526,"746"
527,"705"
528,"666"
529,"629"
530,"570"
531,"548"
532,"531"
533,"453"
534,"532"
535,"526"
536,"533"
537,"528"
538,"518"
539,"483"
540,"534"
541,"521"
542,"570"
543,"503"
544,"541"
545,"508"
546,"497"
547,"522"
548,"558"
549,"522"
550,"534"
551,"535"
552,"527"
553,"520"
554,"537"
555,"532"
556,"485"
557,"506"
558,"536"
559,"530"
560,"507"
561,"525"
562,"557"
563,"535"
564,"524"
565,"534"
566,"530"
567,"544"
568,"496"
569,"555"
570,"539"
571,"530"
572,"517"
573,"498"
574,"493"
575,"527"
576,"505"
577,"506"
578,"538"
579,"520"
580,"519"
581,"520"
582,"541"
583,"535"
584,"498"
585,"507"
586,"506"
587,"547"
588,"475"
589,"519"
590,"484"
591,"546"
592,"506"
593,"489"
594,"504"
595,"497"
596,"531"
597,"535"
598,"508"
599,"502"
600,"528"
601,"497"
602,"511"
603,"483"
604,"496"
605,"541"
606,"528"
607,"525"
608,"532"
609,"516"
610,"543"
611,"485"
612,"511"
613,"538"
614,"527"
615,"562"
616,"518"
617,"503"
618,"524"
619,"507"
620,"593"
621,"574"
622,"629"
623,"612"
624,"658"
625,"692"
626,"686"
627,"699"
628,"658"
629,"687"
630,"650"
631,"615"
632,"621"
633,"538"
634,"574"
635,"557"
636,"536"
637,"567"
638,"512"
639,"566"
640,"531"
641,"518"
642,"588"
643,"574"
644,"546"
645,"570"
646,"523"
647,"553"
648,"484"
649,"528"
650,"555"
651,"541"
652,"566"
653,"568"
654,"600"
655,"624"
656,"647"
657,"648"
658,"745"
659,"803"
660,"807"
661,"916"
662,"1022"
