Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L1-3CDAE 6phi 0"
Duration Time,60.097
Ambient Temperature,"97.2"
Detector Temperature,"-15.5"
Valid Accumulated Counts,"771754"
Raw Accumulated Counts,"801320"
Valid Count Last Packet,"12140"
Raw Count Last Packet,"12550"
Live Time,58.203995
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.085
Number of Channels,2048
Vacuum,760
Channel#,Intensity
0,"1760"
1,"1421"
2,"975"
3,"485"
4,"222"
5,"67"
6,"11"
7,"6"
8,"0"
9,"0"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"2"
20,"0"
21,"9"
22,"28"
23,"82"
24,"159"
25,"174"
26,"158"
27,"182"
28,"167"
29,"143"
30,"177"
31,"139"
32,"147"
33,"153"
34,"136"
35,"136"
36,"146"
37,"130"
38,"135"
39,"134"
40,"136"
41,"160"
42,"171"
43,"136"
44,"147"
45,"150"
46,"154"
47,"146"
48,"160"
49,"152"
50,"135"
51,"131"
52,"122"
53,"114"
54,"130"
55,"134"
56,"139"
57,"142"
58,"141"
59,"156"
60,"136"
61,"129"
62,"124"
63,"121"
64,"134"
65,"111"
66,"112"
67,"123"
68,"135"
69,"111"
70,"128"
71,"167"
72,"191"
73,"190"
74,"196"
75,"211"
76,"176"
77,"170"
78,"140"
79,"162"
80,"201"
81,"265"
82,"391"
83,"730"
84,"1003"
85,"1275"
86,"1413"
87,"1369"
88,"1146"
89,"856"
90,"555"
91,"382"
92,"243"
93,"180"
94,"144"
95,"124"
96,"122"
97,"134"
98,"123"
99,"111"
100,"143"
101,"114"
102,"128"
103,"116"
104,"112"
105,"123"
106,"96"
107,"109"
108,"108"
109,"113"
110,"109"
111,"149"
112,"173"
113,"190"
114,"199"
115,"238"
116,"202"
117,"225"
118,"222"
119,"193"
120,"178"
121,"180"
122,"148"
123,"182"
124,"192"
125,"237"
126,"298"
127,"350"
128,"518"
129,"728"
130,"1004"
131,"1402"
132,"1719"
133,"1894"
134,"1987"
135,"1924"
136,"1660"
137,"1450"
138,"1344"
139,"1268"
140,"1394"
141,"1406"
142,"1455"
143,"1597"
144,"1634"
145,"1723"
146,"1781"
147,"1747"
148,"1590"
149,"1259"
150,"965"
151,"670"
152,"478"
153,"379"
154,"301"
155,"295"
156,"345"
157,"353"
158,"377"
159,"483"
160,"651"
161,"903"
162,"1136"
163,"1381"
164,"1572"
165,"1571"
166,"1408"
167,"1184"
168,"847"
169,"601"
170,"362"
171,"274"
172,"213"
173,"233"
174,"235"
175,"251"
176,"301"
177,"382"
178,"435"
179,"527"
180,"564"
181,"663"
182,"707"
183,"669"
184,"592"
185,"600"
186,"472"
187,"428"
188,"296"
189,"248"
190,"200"
191,"191"
192,"188"
193,"213"
194,"201"
195,"234"
196,"233"
197,"255"
198,"281"
199,"270"
200,"278"
201,"260"
202,"286"
203,"247"
204,"258"
205,"218"
206,"224"
207,"226"
208,"225"
209,"220"
210,"265"
211,"230"
212,"240"
213,"264"
214,"262"
215,"272"
216,"302"
217,"346"
218,"438"
219,"592"
220,"812"
221,"1033"
222,"1321"
223,"1442"
224,"1466"
225,"1434"
226,"1274"
227,"1005"
228,"841"
229,"600"
230,"572"
231,"459"
232,"384"
233,"380"
234,"355"
235,"345"
236,"343"
237,"311"
238,"360"
239,"361"
240,"400"
241,"423"
242,"496"
243,"484"
244,"542"
245,"602"
246,"529"
247,"527"
248,"448"
249,"462"
250,"417"
251,"396"
252,"363"
253,"361"
254,"362"
255,"356"
256,"365"
257,"404"
258,"386"
259,"390"
260,"389"
261,"407"
262,"389"
263,"419"
264,"408"
265,"415"
266,"467"
267,"381"
268,"452"
269,"445"
270,"450"
271,"454"
272,"433"
273,"451"
274,"443"
275,"440"
276,"434"
277,"449"
278,"455"
279,"437"
280,"432"
281,"448"
282,"414"
283,"423"
284,"445"
285,"522"
286,"429"
287,"480"
288,"513"
289,"562"
290,"607"
291,"594"
292,"620"
293,"632"
294,"637"
295,"601"
296,"581"
297,"524"
298,"554"
299,"530"
300,"519"
301,"549"
302,"496"
303,"546"
304,"545"
305,"610"
306,"621"
307,"705"
308,"881"
309,"1239"
310,"1826"
311,"3001"
312,"4851"
313,"7204"
314,"10400"
315,"13991"
316,"17199"
317,"19106"
318,"19962"
319,"18654"
320,"16372"
321,"13320"
322,"9530"
323,"6499"
324,"4315"
325,"2512"
326,"1513"
327,"995"
328,"708"
329,"629"
330,"621"
331,"541"
332,"543"
333,"566"
334,"557"
335,"521"
336,"534"
337,"605"
338,"586"
339,"633"
340,"696"
341,"730"
342,"788"
343,"1008"
344,"1283"
345,"1493"
346,"1981"
347,"2402"
348,"2970"
349,"3417"
350,"3510"
351,"3612"
352,"3301"
353,"2997"
354,"2492"
355,"1966"
356,"1515"
357,"1212"
358,"1070"
359,"898"
360,"882"
361,"959"
362,"890"
363,"941"
364,"967"
365,"1062"
366,"1109"
367,"1208"
368,"1299"
369,"1438"
370,"1445"
371,"1442"
372,"1429"
373,"1336"
374,"1147"
375,"920"
376,"816"
377,"728"
378,"579"
379,"546"
380,"467"
381,"496"
382,"495"
383,"489"
384,"485"
385,"492"
386,"498"
387,"460"
388,"488"
389,"496"
390,"483"
391,"501"
392,"489"
393,"502"
394,"580"
395,"606"
396,"663"
397,"759"
398,"773"
399,"817"
400,"753"
401,"723"
402,"739"
403,"672"
404,"630"
405,"612"
406,"631"
407,"623"
408,"654"
409,"611"
410,"654"
411,"602"
412,"614"
413,"569"
414,"548"
415,"549"
416,"508"
417,"523"
418,"530"
419,"519"
420,"495"
421,"528"
422,"511"
423,"482"
424,"602"
425,"596"
426,"620"
427,"669"
428,"602"
429,"640"
430,"649"
431,"655"
432,"632"
433,"589"
434,"501"
435,"570"
436,"502"
437,"543"
438,"529"
439,"513"
440,"548"
441,"564"
442,"520"
443,"513"
444,"540"
445,"565"
446,"499"
447,"556"
448,"528"
449,"505"
450,"539"
451,"550"
452,"536"
453,"545"
454,"555"
455,"528"
456,"599"
457,"555"
458,"555"
459,"566"
460,"494"
461,"588"
462,"551"
463,"541"
464,"502"
465,"515"
466,"529"
467,"527"
468,"516"
469,"506"
470,"543"
471,"493"
472,"528"
473,"568"
474,"522"
475,"550"
476,"556"
477,"540"
478,"551"
479,"515"
480,"495"
481,"499"
482,"512"
483,"523"
484,"516"
485,"601"
486,"519"
487,"516"
488,"521"
489,"501"
490,"547"
491,"513"
492,"570"
493,"538"
494,"534"
495,"504"
496,"505"
497,"463"
498,"507"
499,"529"
500,"530"
501,"516"
502,"546"
503,"493"
504,"524"
505,"496"
506,"497"
507,"504"
508,"509"
509,"509"
510,"499"
511,"538"
512,"491"
513,"516"
514,"535"
515,"457"
516,"526"
517,"534"
518,"531"
519,"539"
520,"548"
521,"524"
522,"587"
523,"550"
524,"543"
525,"546"
526,"567"
527,"574"
528,"515"
529,"531"
530,"494"
531,"518"
532,"496"
533,"448"
534,"510"
535,"469"
536,"497"
537,"490"
538,"488"
539,"520"
540,"508"
541,"502"
542,"517"
543,"535"
544,"496"
545,"505"
546,"516"
547,"515"
548,"460"
549,"487"
550,"457"
551,"467"
552,"542"
553,"529"
554,"532"
555,"448"
556,"526"
557,"494"
558,"491"
559,"497"
560,"478"
561,"483"
562,"509"
563,"517"
564,"498"
565,"484"
566,"483"
567,"490"
568,"459"
569,"446"
570,"531"
571,"525"
572,"467"
573,"535"
574,"520"
575,"510"
576,"507"
577,"471"
578,"471"
579,"463"
580,"480"
581,"466"
582,"478"
583,"457"
584,"505"
585,"486"
586,"517"
587,"488"
588,"458"
589,"491"
590,"498"
591,"520"
592,"507"
593,"422"
594,"484"
595,"453"
596,"466"
597,"486"
598,"498"
599,"496"
600,"504"
601,"456"
602,"458"
603,"494"
604,"487"
605,"468"
606,"495"
607,"456"
608,"495"
609,"461"
610,"473"
611,"491"
612,"482"
613,"467"
614,"494"
615,"466"
616,"507"
617,"489"
618,"463"
619,"484"
620,"505"
621,"499"
622,"459"
623,"506"
624,"513"
625,"496"
626,"528"
627,"522"
628,"517"
629,"522"
630,"512"
631,"502"
632,"523"
633,"501"
634,"478"
635,"478"
636,"476"
637,"487"
638,"490"
639,"452"
640,"447"
641,"462"
642,"448"
643,"459"
644,"479"
645,"462"
646,"514"
647,"483"
648,"480"
649,"461"
650,"477"
651,"468"
652,"459"
653,"511"
654,"498"
655,"538"
656,"516"
657,"541"
658,"617"
659,"588"
660,"660"
661,"691"
662,"706"
663,"744"
664,"859"
665,"804"
666,"749"
667,"754"
668,"703"
669,"661"
670,"605"
671,"558"
672,"526"
