Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L1-3FG 1phi 0"
Duration Time,60.067
Ambient Temperature,"98.1"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"650450"
Raw Accumulated Counts,"672654"
Valid Count Last Packet,"10278"
Raw Count Last Packet,"10634"
Live Time,58.488014
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.085
Number of Channels,2048
Vacuum,760
Channel#,Intensity
0,"1813"
1,"1514"
2,"881"
3,"508"
4,"211"
5,"69"
6,"23"
7,"6"
8,"1"
9,"1"
10,"0"
11,"0"
12,"1"
13,"0"
14,"0"
15,"0"
16,"0"
17,"1"
18,"0"
19,"0"
20,"1"
21,"4"
22,"47"
23,"111"
24,"165"
25,"173"
26,"209"
27,"191"
28,"195"
29,"184"
30,"164"
31,"157"
32,"153"
33,"156"
34,"161"
35,"158"
36,"165"
37,"159"
38,"146"
39,"132"
40,"147"
41,"125"
42,"169"
43,"155"
44,"144"
45,"149"
46,"173"
47,"180"
48,"181"
49,"164"
50,"153"
51,"144"
52,"146"
53,"153"
54,"141"
55,"152"
56,"124"
57,"128"
58,"130"
59,"152"
60,"146"
61,"128"
62,"150"
63,"151"
64,"138"
65,"110"
66,"126"
67,"129"
68,"143"
69,"127"
70,"138"
71,"146"
72,"195"
73,"177"
74,"193"
75,"200"
76,"173"
77,"199"
78,"184"
79,"174"
80,"181"
81,"295"
82,"460"
83,"717"
84,"1028"
85,"1414"
86,"1663"
87,"1508"
88,"1298"
89,"921"
90,"625"
91,"447"
92,"300"
93,"209"
94,"142"
95,"141"
96,"131"
97,"120"
98,"120"
99,"122"
100,"119"
101,"142"
102,"127"
103,"123"
104,"125"
105,"105"
106,"110"
107,"121"
108,"108"
109,"149"
110,"155"
111,"179"
112,"162"
113,"223"
114,"222"
115,"233"
116,"247"
117,"241"
118,"207"
119,"194"
120,"182"
121,"180"
122,"203"
123,"163"
124,"189"
125,"249"
126,"227"
127,"360"
128,"475"
129,"681"
130,"988"
131,"1257"
132,"1741"
133,"1903"
134,"1923"
135,"1922"
136,"1703"
137,"1471"
138,"1345"
139,"1294"
140,"1456"
141,"1454"
142,"1507"
143,"1613"
144,"1596"
145,"1747"
146,"1771"
147,"1729"
148,"1579"
149,"1354"
150,"948"
151,"684"
152,"512"
153,"365"
154,"332"
155,"332"
156,"373"
157,"385"
158,"505"
159,"673"
160,"972"
161,"1419"
162,"1897"
163,"2520"
164,"2709"
165,"2803"
166,"2432"
167,"1932"
168,"1353"
169,"920"
170,"553"
171,"361"
172,"281"
173,"247"
174,"326"
175,"381"
176,"448"
177,"568"
178,"638"
179,"672"
180,"745"
181,"740"
182,"724"
183,"740"
184,"674"
185,"573"
186,"462"
187,"387"
188,"297"
189,"227"
190,"224"
191,"242"
192,"225"
193,"224"
194,"245"
195,"267"
196,"301"
197,"291"
198,"262"
199,"247"
200,"256"
201,"250"
202,"233"
203,"227"
204,"229"
205,"193"
206,"187"
207,"190"
208,"235"
209,"191"
210,"211"
211,"172"
212,"199"
213,"211"
214,"213"
215,"198"
216,"198"
217,"237"
218,"271"
219,"277"
220,"322"
221,"346"
222,"382"
223,"371"
224,"365"
225,"355"
226,"335"
227,"308"
228,"290"
229,"284"
230,"273"
