Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L1-4D -1phi 3"
Duration Time,60.098
Ambient Temperature,"103.0"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"632632"
Raw Accumulated Counts,"654547"
Valid Count Last Packet,"9820"
Raw Count Last Packet,"10146"
Live Time,58.530018
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.0887
Number of Channels,2048
Vacuum,763
Channel#,Intensity
0,"1666"
1,"1533"
2,"960"
3,"525"
4,"227"
5,"89"
6,"29"
7,"1"
8,"0"
9,"1"
10,"1"
11,"1"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"1"
20,"2"
21,"3"
22,"26"
23,"77"
24,"155"
25,"185"
26,"192"
27,"153"
28,"175"
29,"165"
30,"135"
31,"173"
32,"164"
33,"172"
34,"163"
35,"146"
36,"173"
37,"147"
38,"143"
39,"143"
40,"122"
41,"162"
42,"132"
43,"152"
44,"150"
45,"166"
46,"171"
47,"163"
48,"157"
49,"175"
50,"139"
51,"127"
52,"147"
53,"144"
54,"149"
55,"151"
56,"151"
57,"156"
58,"135"
59,"149"
60,"162"
61,"158"
62,"139"
63,"145"
64,"106"
65,"131"
66,"124"
67,"122"
68,"116"
69,"144"
70,"153"
71,"163"
72,"166"
73,"145"
74,"165"
75,"184"
76,"189"
77,"172"
78,"156"
79,"176"
80,"194"
81,"323"
82,"520"
83,"839"
84,"1310"
85,"1662"
86,"1905"
87,"1811"
88,"1581"
89,"1174"
90,"737"
91,"526"
92,"307"
93,"198"
94,"167"
95,"125"
96,"126"
97,"139"
98,"134"
99,"123"
100,"117"
101,"136"
102,"135"
103,"125"
104,"104"
105,"110"
106,"127"
107,"141"
108,"131"
109,"146"
110,"127"
111,"162"
112,"193"
113,"201"
114,"237"
115,"223"
116,"194"
117,"221"
118,"222"
119,"191"
120,"174"
121,"205"
122,"174"
123,"183"
124,"179"
125,"217"
126,"260"
127,"363"
128,"482"
129,"738"
130,"926"
131,"1281"
132,"1623"
133,"1879"
134,"2032"
135,"1984"
136,"1693"
137,"1448"
138,"1290"
139,"1341"
140,"1359"
141,"1416"
142,"1559"
143,"1505"
144,"1557"
145,"1646"
146,"1808"
147,"1763"
148,"1629"
149,"1360"
150,"1035"
151,"778"
152,"481"
153,"361"
154,"303"
155,"280"
156,"330"
157,"336"
158,"401"
159,"454"
160,"598"
161,"809"
162,"1048"
163,"1230"
164,"1469"
165,"1390"
166,"1292"
167,"1114"
168,"799"
169,"570"
170,"345"
171,"253"
172,"198"
173,"189"
174,"197"
175,"244"
176,"289"
177,"336"
178,"389"
179,"445"
180,"420"
181,"477"
182,"492"
183,"507"
184,"457"
185,"382"
186,"371"
187,"285"
188,"222"
189,"184"
190,"179"
191,"214"
192,"167"
193,"190"
194,"195"
195,"227"
196,"215"
197,"223"
198,"234"
199,"250"
200,"235"
201,"281"
202,"246"
203,"239"
204,"231"
205,"229"
206,"220"
207,"222"
208,"229"
209,"223"
210,"232"
211,"209"
212,"210"
213,"207"
214,"218"
215,"233"
216,"217"
217,"218"
218,"255"
219,"289"
220,"341"
221,"347"
222,"403"
223,"453"
224,"432"
225,"444"
226,"408"
227,"357"
228,"369"
229,"317"
230,"262"
231,"287"
232,"261"
233,"286"
234,"284"
235,"235"
236,"268"
237,"299"
238,"278"
239,"325"
240,"326"
241,"312"
242,"321"
243,"325"
244,"362"
245,"344"
246,"326"
247,"324"
248,"358"
249,"389"
250,"383"
251,"354"
252,"359"
253,"359"
254,"384"
255,"416"
256,"377"
257,"342"
258,"360"
259,"335"
260,"319"
261,"332"
262,"301"
263,"330"
264,"302"
265,"318"
266,"304"
267,"318"
268,"280"
269,"324"
270,"311"
271,"339"
272,"331"
273,"346"
274,"327"
275,"344"
276,"344"
277,"333"
278,"351"
279,"350"
280,"340"
281,"367"
282,"374"
283,"363"
284,"379"
285,"364"
286,"368"
287,"394"
288,"385"
289,"386"
290,"433"
291,"427"
292,"469"
293,"440"
294,"443"
295,"433"
296,"467"
297,"452"
298,"480"
299,"439"
300,"432"
301,"459"
302,"469"
303,"481"
304,"473"
305,"457"
306,"465"
307,"464"
308,"479"
309,"539"
310,"619"
311,"724"
312,"953"
313,"1178"
314,"1504"
315,"1802"
316,"2197"
317,"2479"
318,"2438"
319,"2419"
320,"2159"
321,"1767"
322,"1512"
323,"1144"
324,"871"
325,"674"
326,"565"
327,"529"
328,"456"
329,"464"
330,"458"
331,"486"
332,"444"
333,"468"
334,"468"
335,"417"
336,"421"
337,"456"
338,"447"
339,"470"
340,"520"
341,"522"
342,"481"
343,"516"
344,"554"
345,"605"
346,"636"
347,"653"
348,"695"
349,"751"
350,"808"
351,"801"
352,"779"
353,"775"
354,"738"
355,"734"
356,"707"
357,"635"
358,"695"
359,"710"
360,"712"
361,"767"
362,"803"
363,"861"
364,"888"
365,"932"
366,"1032"
367,"1133"
368,"1266"
369,"1350"
370,"1354"
371,"1443"
372,"1393"
373,"1398"
374,"1160"
375,"1028"
376,"873"
377,"737"
378,"630"
379,"588"
380,"505"
381,"502"
382,"518"
383,"497"
384,"467"
385,"402"
386,"449"
387,"469"
388,"452"
389,"449"
390,"419"
391,"448"
392,"425"
393,"456"
394,"476"
395,"524"
396,"522"
397,"577"
398,"641"
399,"674"
400,"664"
401,"677"
402,"647"
403,"601"
404,"543"
405,"558"
406,"518"
407,"494"
408,"545"
409,"494"
410,"506"
411,"500"
412,"504"
413,"453"
414,"458"
415,"431"
416,"432"
417,"426"
418,"425"
419,"436"
420,"456"
421,"440"
422,"450"
423,"414"
424,"453"
425,"427"
426,"441"
427,"441"
428,"480"
429,"459"
430,"472"
431,"460"
432,"470"
433,"468"
434,"468"
435,"461"
436,"491"
437,"483"
438,"433"
439,"479"
440,"448"
441,"522"
442,"465"
443,"506"
444,"510"
445,"510"
446,"488"
447,"510"
448,"522"
449,"536"
450,"524"
451,"519"
452,"536"
453,"498"
454,"524"
455,"450"
456,"513"
457,"450"
458,"511"
459,"463"
460,"494"
461,"492"
462,"502"
463,"427"
464,"548"
465,"468"
466,"472"
467,"482"
468,"528"
469,"491"
470,"498"
471,"540"
472,"504"
473,"482"
474,"470"
475,"492"
476,"484"
477,"512"
478,"496"
479,"551"
480,"498"
481,"509"
482,"547"
483,"530"
484,"533"
485,"532"
486,"523"
487,"527"
488,"510"
489,"518"
490,"511"
491,"527"
492,"525"
493,"512"
494,"474"
495,"457"
496,"471"
497,"432"
498,"450"
499,"441"
500,"452"
501,"449"
502,"497"
503,"483"
504,"471"
505,"442"
506,"469"
507,"470"
508,"504"
509,"448"
510,"476"
511,"494"
512,"490"
513,"490"
514,"470"
515,"473"
516,"509"
517,"471"
518,"465"
519,"480"
520,"498"
521,"521"
522,"509"
523,"480"
524,"472"
525,"509"
526,"481"
527,"480"
528,"447"
529,"492"
530,"476"
531,"439"
532,"444"
533,"465"
534,"468"
535,"453"
536,"473"
537,"448"
538,"397"
539,"433"
540,"488"
541,"427"
542,"467"
543,"460"
544,"435"
545,"470"
546,"502"
547,"452"
548,"437"
549,"484"
550,"479"
551,"478"
552,"439"
553,"498"
554,"459"
555,"459"
556,"469"
557,"482"
558,"443"
559,"502"
560,"455"
561,"499"
562,"458"
563,"450"
564,"434"
565,"494"
566,"492"
567,"516"
568,"468"
569,"495"
570,"468"
571,"517"
572,"479"
573,"495"
574,"479"
575,"475"
576,"466"
577,"461"
578,"478"
579,"456"
580,"456"
581,"454"
582,"447"
583,"491"
584,"487"
585,"473"
586,"456"
587,"452"
588,"484"
589,"490"
590,"437"
591,"469"
592,"476"
593,"505"
594,"455"
595,"509"
596,"454"
597,"449"
598,"492"
599,"443"
600,"453"
601,"451"
602,"473"
603,"452"
604,"451"
605,"429"
606,"473"
607,"431"
608,"446"
609,"474"
610,"475"
611,"444"
612,"496"
613,"415"
614,"418"
615,"433"
616,"472"
617,"477"
618,"408"
619,"449"
620,"418"
621,"452"
622,"447"
623,"413"
624,"433"
625,"465"
626,"474"
627,"439"
628,"473"
629,"448"
630,"428"
631,"439"
632,"441"
633,"426"
634,"476"
635,"455"
636,"448"
637,"435"
638,"457"
639,"470"
640,"442"
641,"445"
642,"455"
643,"485"
644,"421"
645,"463"
646,"460"
647,"446"
648,"476"
649,"430"
650,"469"
651,"460"
652,"479"
653,"436"
654,"476"
655,"480"
656,"468"
657,"513"
658,"530"
659,"556"
660,"623"
661,"625"
662,"624"
663,"717"
664,"684"
665,"684"
666,"681"
667,"687"
668,"598"
669,"629"
670,"609"
671,"509"
672,"567"
673,"507"
674,"552"
675,"469"
676,"456"
677,"479"
678,"444"
679,"492"
680,"484"
681,"461"
682,"424"
683,"447"
684,"490"
685,"465"
686,"461"
687,"437"
688,"443"
689,"413"
690,"466"
691,"475"
692,"451"
693,"438"
694,"444"
695,"456"
696,"491"
697,"542"
698,"558"
699,"536"
700,"599"
701,"613"
702,"588"
703,"629"
704,"682"
705,"597"
706,"566"
707,"572"
708,"541"
709,"577"
710,"489"
711,"453"
712,"429"
713,"464"
714,"440"
715,"433"
716,"408"
717,"401"
718,"441"
719,"431"
720,"425"
721,"447"
722,"414"
723,"415"
724,"405"
725,"428"
726,"441"
727,"394"
728,"420"
729,"417"
730,"401"
731,"394"
732,"429"
733,"431"
734,"424"
735,"365"
736,"413"
737,"437"
738,"433"
739,"434"
740,"437"
741,"434"
742,"448"
743,"466"
744,"493"
745,"451"
746,"461"
747,"437"
748,"448"
749,"430"
750,"417"
751,"397"
752,"437"
753,"445"
754,"400"
755,"399"
756,"431"
757,"370"
758,"435"
759,"417"
760,"404"
761,"420"
762,"416"
763,"433"
764,"404"
765,"415"
766,"419"
767,"437"
768,"393"
769,"418"
770,"425"
771,"403"
772,"413"
773,"452"
774,"414"
775,"415"
776,"500"
777,"443"
778,"458"
779,"518"
780,"497"
781,"526"
782,"500"
783,"524"
784,"496"
785,"541"
786,"524"
787,"490"
788,"536"
789,"462"
790,"502"
791,"440"
792,"441"
793,"420"
794,"404"
795,"413"
796,"389"
797,"412"
798,"402"
799,"412"
800,"403"
801,"398"
802,"418"
803,"421"
804,"386"
805,"417"
806,"413"
807,"380"
808,"434"
809,"393"
810,"388"
811,"403"
812,"392"
813,"393"
814,"408"
815,"408"
816,"373"
817,"365"
818,"412"
819,"381"
820,"415"
821,"400"
822,"410"
823,"358"
824,"404"
825,"407"
826,"365"
827,"428"
828,"352"
829,"390"
830,"392"
831,"416"
832,"421"
833,"422"
834,"376"
835,"421"
836,"391"
837,"400"
838,"376"
839,"369"
840,"371"
841,"352"
842,"411"
843,"360"
844,"390"
845,"419"
846,"406"
847,"365"
848,"398"
849,"412"
850,"385"
851,"366"
852,"390"
853,"404"
854,"404"
855,"389"
856,"387"
857,"366"
858,"400"
859,"386"
860,"393"
861,"426"
862,"402"
863,"398"
864,"406"
865,"379"
866,"419"
867,"414"
868,"398"
869,"402"
870,"374"
871,"453"
872,"424"
873,"407"
874,"407"
875,"440"
876,"429"
877,"454"
878,"440"
879,"413"
880,"447"
881,"448"
882,"422"
883,"425"
884,"440"
885,"460"
886,"423"
887,"440"
888,"418"
889,"476"
890,"459"
891,"439"
892,"443"
893,"449"
894,"461"
895,"502"
896,"490"
897,"483"
898,"481"
899,"464"
900,"469"
901,"539"
902,"507"
903,"563"
904,"545"
905,"532"
906,"544"
907,"560"
908,"561"
909,"592"
910,"567"
911,"581"
912,"624"
913,"605"
914,"688"
915,"662"
916,"640"
917,"674"
918,"695"
919,"796"
920,"759"
921,"815"
922,"880"
923,"951"
924,"969"
925,"951"
926,"978"
927,"1072"
928,"1147"
929,"1146"
930,"1175"
931,"1218"
932,"1254"
933,"1243"
934,"1323"
935,"1288"
936,"1366"
937,"1389"
938,"1425"
939,"1321"
940,"1434"
941,"1473"
942,"1416"
943,"1439"
944,"1382"
945,"1418"
946,"1363"
947,"1298"
948,"1243"
949,"1272"
950,"1178"
951,"1184"
952,"1150"
953,"1023"
954,"1053"
955,"1048"
956,"1006"
957,"937"
958,"860"
959,"847"
960,"794"
961,"776"
962,"731"
963,"673"
964,"698"
965,"648"
966,"635"
967,"569"
968,"570"
969,"536"
970,"545"
971,"537"
972,"517"
973,"540"
974,"507"
975,"493"
976,"480"
977,"378"
978,"447"
979,"467"
980,"422"
981,"425"
982,"417"
983,"412"
984,"436"
985,"413"
986,"406"
987,"444"
988,"419"
989,"449"
990,"461"
991,"483"
992,"483"
993,"533"
994,"613"
995,"609"
996,"686"
997,"683"
998,"771"
999,"797"
1000,"836"
1001,"844"
1002,"889"
1003,"856"
1004,"871"
1005,"858"
1006,"834"
1007,"801"
