Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L1-3FG 5phi 0"
Duration Time,60.098
Ambient Temperature,"98.5"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"711752"
Raw Accumulated Counts,"737496"
Valid Count Last Packet,"11311"
Raw Count Last Packet,"11670"
Live Time,58.354977
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.0897
Number of Channels,2048
Vacuum,763
Channel#,Intensity
0,"1802"
1,"1471"
2,"954"
3,"476"
4,"225"
5,"70"
6,"22"
7,"4"
8,"1"
9,"0"
10,"0"
11,"0"
12,"0"
13,"2"
14,"1"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"1"
21,"2"
22,"21"
23,"99"
24,"142"
25,"158"
26,"149"
27,"166"
28,"149"
29,"175"
30,"146"
31,"147"
32,"157"
33,"143"
34,"139"
35,"143"
36,"133"
37,"133"
38,"142"
39,"145"
40,"145"
41,"138"
42,"130"
43,"149"
44,"147"
45,"126"
46,"163"
47,"151"
48,"130"
49,"137"
50,"123"
51,"149"
52,"156"
53,"141"
54,"125"
55,"138"
56,"125"
57,"133"
58,"147"
59,"146"
60,"139"
61,"146"
62,"133"
63,"101"
64,"134"
65,"103"
66,"122"
67,"111"
68,"89"
69,"148"
70,"129"
71,"144"
72,"176"
73,"205"
74,"209"
75,"218"
76,"197"
77,"183"
78,"137"
79,"167"
80,"160"
81,"232"
82,"380"
83,"570"
84,"846"
85,"1102"
86,"1215"
87,"1184"
88,"968"
89,"705"
90,"502"
91,"316"
92,"235"
93,"153"
94,"129"
95,"110"
96,"117"
97,"112"
98,"113"
99,"141"
100,"140"
101,"131"
102,"129"
103,"110"
104,"111"
105,"93"
106,"117"
107,"106"
108,"124"
109,"127"
110,"129"
111,"139"
112,"198"
113,"197"
114,"213"
115,"231"
116,"232"
117,"233"
118,"197"
119,"180"
120,"175"
121,"201"
122,"197"
123,"190"
124,"197"
125,"232"
126,"294"
127,"346"
128,"489"
129,"763"
130,"991"
131,"1308"
132,"1679"
133,"1930"
134,"1915"
135,"1901"
136,"1689"
137,"1484"
138,"1373"
139,"1322"
140,"1309"
141,"1380"
142,"1552"
143,"1510"
144,"1639"
145,"1733"
146,"1787"
147,"1777"
148,"1544"
149,"1281"
150,"1020"
151,"698"
152,"442"
153,"388"
154,"322"
155,"328"
156,"360"
157,"384"
158,"494"
159,"639"
160,"890"
161,"1244"
162,"1780"
163,"2233"
164,"2470"
165,"2477"
166,"2229"
167,"1759"
168,"1280"
169,"845"
170,"505"
171,"340"
172,"273"
173,"248"
174,"260"
175,"337"
176,"430"
177,"573"
178,"684"
179,"831"
180,"989"
181,"1207"
182,"1270"
183,"1286"
184,"1202"
185,"1009"
186,"797"
187,"655"
188,"462"
189,"339"
190,"264"
191,"224"
192,"199"
193,"218"
194,"243"
195,"231"
196,"319"
197,"308"
198,"358"
199,"369"
200,"344"
201,"348"
202,"308"
203,"249"
204,"244"
205,"238"
206,"217"
207,"223"
208,"217"
209,"232"
210,"219"
211,"191"
212,"186"
213,"222"
214,"229"
215,"259"
216,"281"
217,"286"
218,"345"
219,"445"
220,"582"
221,"685"
222,"834"
223,"932"
224,"970"
225,"948"
226,"807"
227,"662"
228,"599"
229,"518"
230,"380"
231,"336"
232,"328"
233,"301"
234,"325"
235,"337"
236,"296"
237,"333"
238,"338"
239,"346"
240,"354"
241,"412"
242,"407"
243,"401"
244,"445"
245,"436"
246,"411"
247,"455"
248,"404"
249,"373"
250,"353"
251,"358"
252,"309"
253,"323"
254,"310"
255,"358"
256,"320"
257,"356"
258,"372"
259,"342"
260,"376"
261,"382"
262,"372"
263,"320"
264,"345"
265,"350"
266,"374"
267,"399"
268,"378"
269,"382"
270,"413"
271,"396"
272,"412"
273,"382"
274,"416"
275,"400"
276,"414"
277,"373"
278,"380"
279,"410"
280,"428"
281,"427"
282,"412"
283,"431"
284,"419"
285,"416"
286,"469"
287,"473"
288,"486"
289,"511"
290,"519"
291,"566"
292,"578"
293,"599"
294,"583"
295,"550"
296,"499"
297,"504"
298,"490"
299,"474"
300,"487"
301,"482"
302,"466"
303,"516"
304,"521"
305,"545"
306,"501"
307,"564"
308,"714"
309,"937"
310,"1288"
311,"1905"
312,"3034"
313,"4431"
314,"6181"
315,"8136"
316,"10138"
317,"11157"
318,"11874"
319,"11015"
320,"9600"
321,"7773"
322,"5773"
323,"3994"
324,"2527"
325,"1654"
326,"1097"
327,"760"
328,"597"
329,"551"
330,"519"
331,"528"
332,"518"
333,"533"
334,"500"
335,"491"
336,"549"
337,"542"
338,"543"
339,"589"
340,"578"
341,"589"
342,"670"
343,"743"
344,"891"
345,"1122"
346,"1351"
347,"1685"
348,"1904"
349,"2091"
350,"2214"
351,"2313"
352,"2086"
