Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L2-4D 1phi 0"
Duration Time,60.171
Ambient Temperature,"99.4"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"668717"
Raw Accumulated Counts,"691131"
Valid Count Last Packet,"10448"
Raw Count Last Packet,"10783"
Live Time,58.600025
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.085
Number of Channels,2048
Vacuum,762
Channel#,Intensity
0,"1734"
1,"1544"
2,"989"
3,"505"
4,"211"
5,"75"
6,"19"
7,"4"
8,"0"
9,"0"
10,"2"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"1"
22,"28"
23,"76"
24,"131"
25,"167"
26,"142"
27,"160"
28,"140"
29,"153"
30,"140"
31,"139"
32,"149"
33,"130"
34,"115"
35,"126"
36,"120"
37,"108"
38,"102"
39,"130"
40,"127"
41,"127"
42,"152"
43,"113"
44,"133"
45,"133"
46,"130"
47,"146"
48,"143"
49,"136"
50,"162"
51,"137"
52,"123"
53,"128"
54,"101"
55,"126"
56,"124"
57,"139"
58,"115"
59,"140"
60,"138"
61,"141"
62,"120"
63,"100"
64,"108"
65,"100"
66,"110"
67,"109"
68,"114"
69,"103"
70,"112"
71,"167"
72,"153"
73,"211"
74,"171"
75,"195"
76,"189"
77,"173"
78,"180"
79,"145"
80,"138"
81,"172"
82,"222"
83,"360"
84,"493"
85,"613"
86,"698"
87,"697"
88,"538"
89,"523"
90,"357"
91,"238"
92,"188"
93,"133"
94,"114"
95,"124"
96,"109"
97,"117"
98,"132"
99,"126"
100,"144"
101,"133"
102,"119"
103,"113"
104,"108"
105,"110"
106,"125"
107,"114"
108,"109"
109,"148"
110,"154"
111,"171"
112,"192"
113,"242"
114,"273"
115,"259"
116,"247"
117,"238"
118,"230"
119,"184"
120,"186"
121,"179"
122,"179"
123,"189"
124,"223"
125,"239"
126,"295"
127,"418"
128,"557"
129,"809"
130,"1140"
131,"1428"
132,"1791"
133,"1973"
134,"2116"
135,"1883"
136,"1767"
137,"1596"
138,"1383"
139,"1349"
140,"1329"
141,"1388"
142,"1441"
143,"1560"
144,"1560"
145,"1683"
146,"1816"
147,"1834"
148,"1649"
149,"1392"
150,"1100"
151,"741"
152,"524"
153,"402"
154,"297"
155,"308"
156,"305"
157,"422"
158,"547"
159,"678"
160,"980"
161,"1471"
162,"1961"
163,"2458"
164,"2862"
165,"2888"
166,"2685"
167,"2215"
168,"1666"
169,"1070"
170,"665"
171,"458"
172,"319"
173,"303"
174,"310"
175,"371"
176,"489"
177,"596"
178,"760"
179,"891"
180,"1010"
181,"1161"
182,"1329"
183,"1329"
184,"1268"
185,"1042"
186,"828"
187,"716"
188,"453"
189,"334"
190,"240"
191,"217"
192,"205"
193,"240"
194,"213"
195,"236"
196,"255"
197,"299"
198,"319"
199,"354"
200,"337"
201,"338"
202,"308"
203,"276"
204,"260"
205,"235"
206,"224"
207,"258"
208,"218"
209,"247"
210,"189"
211,"246"
212,"240"
213,"224"
214,"247"
215,"255"
216,"275"
217,"330"
218,"391"
219,"612"
220,"815"
221,"1125"
222,"1335"
223,"1625"
224,"1783"
225,"1701"
226,"1548"
227,"1267"
228,"913"
229,"737"
230,"538"
231,"431"
232,"374"
233,"316"
234,"330"
235,"321"
236,"315"
237,"300"
238,"308"
239,"344"
240,"396"
241,"428"
242,"418"
243,"565"
244,"560"
245,"584"
246,"553"
247,"517"
248,"496"
249,"411"
250,"386"
251,"357"
252,"364"
253,"324"
254,"321"
255,"348"
256,"356"
257,"297"
258,"273"
259,"322"
260,"334"
261,"316"
262,"304"
263,"315"
264,"392"
265,"362"
266,"367"
267,"355"
268,"327"
269,"352"
270,"388"
271,"370"
272,"372"
273,"374"
274,"372"
275,"371"
276,"376"
277,"393"
278,"359"
279,"359"
280,"367"
281,"334"
282,"367"
283,"349"
284,"366"
285,"358"
286,"426"
287,"428"
288,"445"
289,"483"
290,"471"
291,"500"
292,"534"
293,"566"
294,"583"
295,"580"
296,"582"
297,"501"
298,"456"
299,"488"
300,"441"
301,"449"
302,"491"
303,"469"
304,"441"
305,"530"
306,"574"
307,"617"
308,"699"
309,"947"
310,"1399"
311,"2122"
312,"3419"
313,"5212"
314,"7692"
315,"10450"
316,"13315"
317,"15387"
318,"16410"
319,"16080"
320,"14690"
321,"11833"
322,"9171"
323,"6554"
324,"4149"
325,"2544"
326,"1671"
327,"1017"
328,"722"
329,"573"
330,"504"
331,"540"
332,"473"
333,"521"
334,"527"
335,"486"
336,"508"
337,"513"
338,"520"
339,"567"
340,"603"
341,"592"
342,"629"
343,"764"
344,"892"
345,"1233"
346,"1551"
347,"1870"
348,"2354"
349,"2711"
350,"2955"
351,"3078"
352,"2932"
353,"2557"
354,"2146"
355,"1841"
356,"1415"
357,"1112"
358,"957"
359,"846"
360,"839"
361,"792"
362,"817"
363,"838"
364,"814"
365,"909"
366,"945"
367,"941"
368,"1059"
369,"1137"
370,"1195"
371,"1176"
372,"1113"
373,"1087"
374,"975"
375,"818"
376,"743"
377,"589"
378,"523"
379,"459"
380,"434"
381,"418"
382,"408"
383,"398"
384,"391"
385,"402"
386,"454"
387,"422"
388,"393"
389,"422"
390,"441"
391,"430"
392,"452"
393,"469"
394,"500"
395,"530"
396,"593"
397,"577"
398,"620"
399,"687"
400,"666"
401,"702"
402,"662"
403,"608"
404,"617"
405,"563"
406,"557"
407,"523"
408,"538"
409,"528"
410,"485"
411,"466"
412,"499"
413,"509"
414,"440"
415,"456"
416,"398"
417,"422"
418,"395"
419,"414"
420,"382"
421,"404"
422,"430"
423,"421"
424,"459"
425,"492"
426,"464"
427,"476"
428,"532"
429,"524"
430,"558"
431,"512"
432,"498"
433,"502"
434,"477"
435,"470"
436,"440"
437,"438"
438,"434"
439,"452"
440,"469"
441,"413"
442,"455"
443,"479"
444,"459"
445,"417"
446,"445"
447,"419"
448,"423"
449,"401"
450,"441"
451,"414"
452,"428"
453,"488"
454,"439"
455,"482"
456,"525"
457,"475"
458,"562"
459,"586"
460,"486"
461,"521"
462,"504"
463,"535"
464,"473"
465,"472"
466,"474"
467,"412"
468,"424"
469,"421"
470,"405"
471,"443"
472,"456"
473,"433"
474,"446"
475,"446"
476,"435"
477,"430"
478,"482"
479,"431"
480,"455"
481,"410"
482,"421"
483,"454"
484,"380"
485,"446"
486,"400"
487,"392"
488,"403"
489,"440"
490,"408"
491,"382"
492,"411"
493,"378"
494,"400"
495,"422"
496,"407"
497,"447"
498,"431"
499,"416"
500,"421"
501,"417"
502,"400"
503,"376"
504,"426"
505,"407"
506,"446"
507,"424"
508,"409"
509,"408"
510,"407"
511,"412"
512,"427"
513,"404"
514,"405"
515,"411"
516,"433"
517,"410"
518,"430"
519,"418"
520,"381"
521,"427"
522,"431"
523,"417"
524,"440"
525,"421"
526,"420"
527,"439"
528,"404"
529,"433"
530,"409"
531,"411"
532,"416"
533,"402"
534,"410"
535,"401"
536,"394"
537,"400"
538,"404"
539,"435"
540,"422"
541,"441"
542,"414"
543,"405"
544,"402"
545,"421"
546,"404"
547,"419"
548,"440"
549,"407"
550,"427"
551,"389"
552,"395"
553,"417"
554,"391"
555,"407"
556,"428"
557,"440"
558,"422"
559,"385"
560,"434"
561,"420"
562,"400"
563,"410"
564,"343"
565,"420"
566,"384"
567,"398"
568,"373"
569,"372"
570,"376"
571,"383"
572,"368"
