Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L1-3CDAE 3phi 0"
Duration Time,60.034
Ambient Temperature,"101.9"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"713870"
Raw Accumulated Counts,"740220"
Valid Count Last Packet,"11235"
Raw Count Last Packet,"11666"
Live Time,58.278988
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.0896
Number of Channels,2048
Vacuum,762
Channel#,Intensity
0,"1793"
1,"1489"
2,"978"
3,"492"
4,"188"
5,"60"
6,"15"
7,"6"
8,"1"
9,"0"
10,"0"
11,"1"
12,"0"
13,"1"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"5"
22,"31"
23,"112"
24,"188"
25,"188"
26,"213"
27,"198"
28,"177"
29,"200"
30,"146"
31,"170"
32,"163"
33,"160"
34,"183"
35,"169"
36,"146"
37,"156"
38,"157"
39,"133"
40,"139"
41,"138"
42,"160"
43,"143"
44,"166"
45,"182"
46,"152"
47,"156"
48,"160"
49,"197"
50,"164"
51,"167"
52,"155"
53,"175"
54,"161"
55,"152"
56,"163"
57,"147"
58,"151"
59,"147"
60,"162"
61,"144"
62,"149"
63,"161"
64,"136"
65,"129"
66,"135"
67,"144"
68,"115"
69,"132"
70,"166"
71,"146"
72,"190"
73,"211"
74,"194"
75,"220"
76,"185"
77,"188"
78,"186"
79,"187"
80,"202"
81,"311"
82,"523"
83,"766"
84,"1214"
85,"1507"
86,"1636"
87,"1675"
88,"1364"
89,"1025"
90,"718"
91,"455"
92,"321"
93,"215"
94,"173"
95,"137"
96,"136"
97,"146"
98,"119"
99,"154"
100,"138"
101,"133"
102,"129"
103,"100"
104,"118"
105,"128"
106,"136"
107,"115"
108,"136"
109,"128"
110,"150"
111,"186"
112,"202"
113,"220"
114,"235"
115,"230"
116,"231"
117,"205"
118,"256"
119,"171"
120,"194"
121,"187"
122,"174"
123,"195"
124,"194"
125,"244"
126,"273"
127,"398"
128,"518"
129,"714"
130,"951"
131,"1322"
132,"1711"
133,"1873"
134,"1935"
135,"1910"
136,"1697"
137,"1426"
138,"1429"
139,"1298"
140,"1403"
141,"1387"
142,"1439"
143,"1452"
144,"1585"
145,"1686"
146,"1776"
147,"1783"
148,"1589"
149,"1289"
150,"1017"
151,"718"
152,"499"
153,"406"
154,"292"
155,"300"
156,"338"
157,"361"
158,"458"
159,"593"
160,"831"
161,"1143"
162,"1565"
163,"1905"
164,"2216"
165,"2231"
166,"2099"
167,"1618"
168,"1194"
169,"774"
170,"501"
171,"324"
172,"251"
173,"233"
174,"288"
175,"325"
176,"413"
177,"451"
178,"615"
179,"760"
180,"849"
181,"932"
182,"1071"
183,"1114"
184,"1040"
185,"857"
186,"715"
187,"516"
188,"395"
189,"301"
190,"218"
191,"193"
192,"190"
193,"196"
194,"219"
195,"226"
196,"247"
197,"285"
198,"288"
199,"339"
200,"346"
201,"317"
202,"271"
203,"260"
204,"258"
205,"219"
206,"207"
207,"198"
208,"201"
209,"221"
210,"207"
211,"214"
212,"226"
213,"229"
214,"225"
215,"208"
216,"236"
217,"266"
218,"293"
219,"372"
220,"385"
221,"430"
222,"483"
223,"544"
224,"530"
225,"517"
226,"501"
227,"422"
228,"415"
229,"333"
230,"318"
231,"314"
232,"291"
233,"280"
234,"295"
235,"296"
236,"328"
237,"303"
238,"342"
239,"328"
240,"371"
241,"342"
242,"379"
243,"372"
244,"366"
245,"359"
246,"375"
247,"382"
248,"328"
249,"353"
250,"333"
251,"339"
252,"317"
253,"365"
254,"310"
255,"313"
256,"338"
257,"301"
258,"335"
259,"329"
260,"327"
261,"331"
262,"328"
263,"331"
264,"337"
265,"341"
266,"345"
267,"344"
268,"354"
269,"379"
270,"390"
271,"382"
272,"418"
273,"387"
274,"395"
275,"387"
276,"410"
277,"434"
278,"388"
279,"431"
280,"398"
281,"432"
282,"435"
283,"459"
284,"431"
285,"424"
286,"437"
287,"455"
288,"424"
289,"463"
290,"451"
291,"459"
292,"454"
293,"501"
294,"502"
295,"475"
296,"472"
297,"468"
298,"437"
299,"473"
300,"409"
301,"438"
302,"449"
303,"453"
304,"420"
305,"455"
306,"491"
307,"503"
308,"480"
309,"571"
310,"732"
311,"965"
312,"1333"
313,"1789"
314,"2372"
315,"3040"
316,"3586"
317,"4081"
318,"4203"
319,"4146"
320,"3501"
321,"2940"
322,"2223"
323,"1630"
324,"1248"
325,"878"
326,"692"
327,"596"
328,"535"
329,"490"
330,"521"
331,"465"
332,"504"
333,"493"
334,"489"
335,"536"
336,"493"
337,"504"
338,"499"
339,"554"
340,"501"
341,"547"
342,"576"
343,"630"
344,"621"
345,"695"
346,"787"
347,"893"
348,"1025"
349,"1035"
350,"1103"
351,"1134"
352,"1092"
353,"988"
354,"922"
355,"817"
356,"828"
357,"813"
358,"754"
359,"846"
360,"855"
361,"919"
362,"916"
363,"937"
364,"1002"
365,"1041"
366,"1086"
367,"1230"
368,"1299"
369,"1333"
370,"1389"
371,"1448"
372,"1366"
373,"1338"
374,"1096"
375,"1038"
376,"844"
377,"713"
378,"582"
379,"557"
380,"489"
381,"476"
382,"487"
383,"480"
384,"465"
385,"511"
386,"474"
387,"487"
388,"485"
389,"502"
390,"503"
391,"482"
392,"502"
393,"514"
394,"567"
395,"570"
396,"595"
397,"694"
398,"713"
399,"738"
400,"761"
401,"752"
402,"756"
403,"720"
404,"632"
405,"655"
406,"673"
407,"662"
408,"645"
409,"666"
410,"662"
411,"683"
412,"612"
413,"621"
414,"649"
415,"644"
416,"550"
417,"578"
418,"589"
419,"554"
420,"540"
421,"550"
422,"543"
423,"560"
424,"539"
425,"565"
426,"541"
427,"533"
428,"558"
429,"593"
430,"610"
431,"550"
432,"572"
433,"542"
434,"584"
435,"551"
436,"551"
437,"525"
438,"572"
439,"543"
440,"536"
441,"560"
442,"564"
443,"536"
444,"604"
445,"528"
446,"555"
447,"540"
448,"525"
449,"525"
450,"558"
451,"549"
452,"525"
453,"537"
454,"543"
455,"543"
456,"542"
457,"556"
458,"575"
459,"607"
460,"561"
461,"565"
462,"552"
463,"576"
464,"588"
465,"541"
466,"551"
467,"585"
468,"542"
469,"611"
470,"589"
471,"553"
472,"542"
473,"562"
474,"557"
475,"564"
476,"525"
477,"536"
478,"558"
479,"575"
480,"551"
481,"537"
482,"587"
483,"549"
484,"582"
485,"561"
486,"551"
487,"590"
488,"555"
489,"609"
490,"574"
491,"528"
492,"595"
493,"535"
494,"585"
495,"566"
496,"577"
497,"553"
498,"575"
499,"591"
500,"619"
501,"598"
502,"545"
503,"568"
504,"562"
505,"590"
506,"589"
507,"554"
508,"539"
509,"586"
510,"586"
511,"562"
512,"591"
513,"542"
514,"550"
515,"595"
516,"602"
517,"558"
518,"566"
519,"539"
520,"583"
521,"570"
522,"558"
523,"590"
524,"602"
525,"600"
526,"563"
527,"533"
528,"554"
529,"556"
530,"586"
531,"571"
532,"551"
533,"543"
534,"546"
535,"554"
536,"557"
537,"557"
538,"581"
539,"530"
540,"536"
541,"543"
542,"563"
543,"575"
544,"544"
545,"563"
546,"548"
547,"524"
548,"550"
549,"526"
550,"520"
551,"569"
552,"571"
553,"529"
554,"546"
555,"558"
556,"583"
557,"519"
558,"510"
559,"567"
560,"553"
561,"553"
562,"561"
563,"544"
564,"552"
565,"593"
566,"584"
567,"524"
568,"532"
569,"514"
570,"556"
571,"549"
572,"552"
573,"569"
574,"557"
575,"580"
576,"544"
577,"495"
578,"542"
579,"555"
580,"543"
581,"524"
582,"552"
583,"579"
584,"507"
585,"557"
586,"587"
587,"572"
588,"513"
589,"541"
590,"506"
591,"547"
592,"544"
593,"561"
594,"550"
595,"509"
596,"488"
597,"558"
598,"521"
599,"559"
600,"535"
601,"542"
602,"537"
603,"541"
604,"531"
605,"540"
606,"546"
607,"586"
608,"530"
609,"579"
610,"551"
611,"580"
612,"534"
613,"569"
614,"517"
615,"528"
616,"512"
617,"553"
618,"558"
619,"524"
620,"561"
621,"530"
622,"518"
623,"548"
624,"571"
625,"547"
626,"566"
627,"551"
628,"581"
629,"550"
630,"573"
631,"567"
632,"511"
633,"565"
634,"556"
635,"586"
636,"528"
637,"495"
638,"528"
639,"579"
640,"533"
641,"530"
642,"549"
643,"522"
644,"517"
645,"523"
646,"540"
647,"580"
648,"578"
649,"519"
650,"506"
651,"577"
652,"537"
653,"583"
654,"570"
655,"594"
656,"590"
657,"610"
658,"659"
659,"717"
660,"709"
661,"728"
662,"806"
663,"856"
664,"851"
665,"855"
666,"850"
667,"811"
668,"799"
669,"721"
670,"697"
671,"661"
672,"581"
673,"590"
674,"596"
675,"565"
676,"534"
677,"514"
678,"544"
679,"545"
680,"486"
681,"549"
682,"566"
683,"521"
684,"534"
685,"539"
686,"536"
687,"482"
688,"487"
689,"534"
690,"547"
691,"533"
692,"568"
693,"561"
694,"587"
695,"636"
696,"719"
697,"772"
698,"843"
699,"841"
700,"881"
701,"909"
702,"949"
703,"953"
704,"999"
705,"886"
706,"840"
707,"762"
708,"758"
709,"717"
710,"664"
711,"612"
712,"535"
713,"538"
714,"563"
715,"520"
716,"499"
717,"512"
718,"448"
719,"484"
720,"510"
721,"494"
722,"515"
723,"511"
724,"513"
725,"536"
726,"453"
727,"486"
728,"501"
729,"516"
730,"469"
731,"487"
732,"486"
733,"487"
734,"477"
735,"493"
736,"495"
737,"457"
738,"535"
739,"544"
740,"497"
741,"520"
742,"532"
743,"543"
744,"484"
745,"510"
746,"482"
747,"518"
748,"447"
749,"468"
750,"522"
751,"492"
752,"470"
753,"441"
754,"475"
755,"479"
756,"483"
757,"503"
758,"472"
759,"455"
760,"453"
761,"461"
762,"467"
763,"446"
764,"434"
765,"461"
766,"444"
767,"470"
768,"480"
769,"475"
770,"475"
771,"484"
772,"501"
773,"442"
774,"456"
775,"483"
776,"533"
777,"507"
778,"502"
779,"519"
780,"500"
781,"555"
782,"583"
783,"577"
784,"598"
785,"603"
786,"551"
787,"582"
788,"561"
789,"529"
790,"513"
791,"523"
792,"472"
793,"497"
794,"466"
795,"479"
796,"533"
797,"469"
798,"501"
799,"489"
800,"486"
801,"461"
802,"426"
803,"465"
804,"447"
805,"414"
806,"423"
807,"438"
808,"460"
809,"468"
810,"414"
811,"414"
812,"444"
813,"444"
814,"430"
815,"438"
816,"454"
817,"442"
818,"453"
819,"465"
820,"480"
821,"433"
822,"442"
823,"454"
824,"417"
825,"462"
826,"456"
827,"433"
828,"447"
829,"439"
830,"435"
831,"455"
832,"435"
833,"445"
834,"469"
835,"424"
836,"435"
837,"432"
838,"427"
839,"441"
840,"457"
841,"402"
842,"451"
843,"405"
844,"444"
845,"415"
846,"428"
847,"457"
848,"422"
849,"413"
850,"438"
851,"417"
852,"426"
853,"443"
854,"465"
855,"415"
856,"431"
857,"423"
858,"451"
859,"420"
860,"465"
