Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L3-2B -1phi 4"
Duration Time,60.043
Ambient Temperature,"101.7"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"657193"
Raw Accumulated Counts,"680461"
Valid Count Last Packet,"10320"
Raw Count Last Packet,"10690"
Live Time,58.415993
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.085
Number of Channels,2048
Vacuum,767
Channel#,Intensity
0,"1806"
1,"1396"
2,"947"
3,"556"
4,"198"
5,"75"
6,"21"
7,"5"
8,"1"
9,"0"
10,"1"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"2"
18,"0"
19,"1"
20,"1"
21,"7"
22,"29"
23,"113"
24,"153"
25,"186"
26,"192"
27,"190"
28,"191"
29,"159"
30,"153"
31,"178"
32,"171"
33,"161"
34,"136"
35,"158"
36,"143"
37,"175"
38,"162"
39,"150"
40,"160"
41,"142"
42,"148"
43,"157"
44,"143"
45,"148"
46,"167"
47,"169"
48,"157"
49,"172"
50,"158"
51,"130"
52,"142"
53,"152"
54,"155"
55,"157"
56,"174"
57,"154"
58,"127"
59,"143"
60,"150"
61,"152"
62,"140"
63,"142"
64,"128"
65,"126"
66,"130"
67,"128"
68,"144"
69,"174"
70,"146"
71,"140"
72,"170"
73,"202"
74,"230"
75,"186"
76,"222"
77,"187"
78,"177"
79,"203"
80,"257"
81,"335"
82,"587"
83,"992"
84,"1381"
85,"1802"
86,"2015"
87,"2080"
88,"1699"
89,"1243"
90,"775"
91,"537"
92,"316"
93,"252"
94,"169"
95,"148"
96,"128"
97,"133"
98,"118"
99,"131"
100,"135"
101,"121"
102,"130"
103,"139"
104,"136"
105,"132"
106,"127"
107,"119"
108,"146"
109,"143"
110,"145"
111,"156"
112,"184"
113,"208"
114,"222"
115,"235"
116,"229"
117,"216"
118,"208"
119,"204"
120,"186"
121,"168"
122,"173"
123,"187"
124,"200"
125,"239"
126,"258"
127,"373"
128,"463"
129,"762"
130,"977"
131,"1325"
132,"1627"
133,"1872"
134,"1898"
135,"1825"
136,"1630"
137,"1455"
138,"1319"
139,"1328"
140,"1445"
141,"1417"
142,"1481"
143,"1527"
144,"1612"
145,"1671"
146,"1753"
147,"1737"
148,"1517"
149,"1357"
150,"969"
151,"692"
152,"462"
153,"371"
154,"297"
155,"318"
156,"276"
157,"361"
158,"422"
159,"520"
160,"728"
161,"961"
162,"1390"
163,"1590"
164,"1859"
165,"1888"
166,"1663"
167,"1341"
168,"959"
169,"637"
170,"449"
171,"299"
172,"213"
173,"224"
174,"239"
175,"283"
176,"352"
177,"403"
178,"407"
179,"506"
180,"510"
181,"564"
182,"522"
183,"488"
184,"466"
185,"373"
186,"406"
187,"293"
188,"272"
189,"199"
190,"202"
191,"186"
192,"173"
193,"164"
194,"182"
195,"198"
196,"214"
197,"240"
198,"237"
199,"255"
200,"224"
201,"222"
202,"264"
203,"229"
204,"199"
205,"207"
206,"223"
207,"220"
208,"232"
209,"222"
210,"205"
211,"234"
212,"210"
213,"235"
214,"212"
215,"203"
216,"231"
217,"237"
218,"255"
219,"263"
220,"284"
221,"328"
222,"372"
223,"354"
224,"396"
225,"360"
226,"358"
227,"319"
228,"323"
229,"271"
230,"269"
231,"258"
232,"253"
233,"245"
234,"253"
235,"237"
236,"267"
237,"283"
238,"274"
239,"296"
240,"305"
241,"277"
242,"338"
243,"354"
244,"373"
245,"371"
246,"396"
247,"406"
248,"372"
249,"327"
250,"346"
251,"321"
252,"371"
253,"338"
254,"333"
255,"313"
256,"310"
257,"332"
258,"321"
259,"318"
260,"332"
261,"349"
262,"364"
263,"388"
264,"451"
265,"485"
266,"478"
267,"488"
268,"517"
269,"503"
270,"460"
271,"420"
272,"395"
273,"376"
274,"350"
275,"377"
276,"361"
277,"364"
278,"344"
279,"359"
280,"348"
281,"352"
282,"375"
283,"353"
284,"349"
285,"346"
286,"362"
287,"363"
288,"354"
289,"398"
290,"368"
291,"384"
292,"386"
293,"409"
294,"389"
295,"396"
296,"411"
297,"420"
298,"376"
299,"414"
300,"399"
301,"415"
302,"410"
303,"409"
304,"405"
305,"448"
306,"419"
307,"459"
308,"455"
309,"489"
310,"536"
311,"592"
312,"756"
313,"975"
