Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L1-3AE -1phi 0"
Duration Time,60.098
Ambient Temperature,"100.3"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"600360"
Raw Accumulated Counts,"620096"
Valid Count Last Packet,"9202"
Raw Count Last Packet,"9546"
Live Time,58.632004
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.085
Number of Channels,2048
Vacuum,762
Channel#,Intensity
0,"1789"
1,"1449"
2,"1004"
3,"494"
4,"200"
5,"80"
6,"28"
7,"3"
8,"1"
9,"1"
10,"0"
11,"1"
12,"0"
13,"0"
14,"1"
15,"0"
16,"1"
17,"0"
18,"0"
19,"1"
20,"0"
21,"5"
22,"23"
23,"97"
24,"149"
25,"162"
26,"185"
27,"169"
28,"175"
29,"172"
30,"135"
31,"158"
32,"178"
33,"142"
34,"156"
35,"137"
36,"136"
37,"138"
38,"139"
39,"137"
40,"143"
41,"150"
42,"153"
43,"156"
44,"137"
45,"149"
46,"156"
47,"172"
48,"169"
49,"160"
50,"153"
51,"153"
52,"139"
53,"134"
54,"119"
55,"143"
56,"124"
57,"134"
58,"143"
59,"135"
60,"128"
61,"136"
62,"153"
63,"120"
64,"114"
65,"113"
66,"105"
67,"139"
68,"122"
69,"131"
70,"140"
71,"155"
72,"147"
73,"157"
74,"156"
75,"146"
76,"164"
77,"133"
78,"140"
79,"161"
80,"185"
81,"284"
82,"468"
83,"730"
84,"1105"
85,"1378"
86,"1570"
87,"1566"
88,"1345"
89,"992"
90,"639"
91,"396"
92,"282"
93,"182"
94,"149"
95,"147"
96,"115"
97,"104"
98,"119"
99,"125"
100,"141"
101,"135"
102,"112"
103,"121"
104,"100"
105,"118"
106,"116"
107,"108"
108,"115"
109,"120"
110,"128"
111,"169"
112,"198"
113,"200"
114,"245"
115,"239"
116,"241"
117,"244"
118,"224"
119,"193"
120,"181"
121,"188"
122,"182"
123,"199"
124,"216"
125,"248"
126,"287"
127,"390"
128,"511"
129,"720"
130,"984"
131,"1412"
132,"1623"
133,"1932"
134,"2016"
135,"1857"
136,"1660"
137,"1430"
138,"1308"
139,"1326"
140,"1378"
141,"1417"
142,"1469"
143,"1478"
144,"1554"
145,"1722"
146,"1803"
147,"1843"
148,"1615"
149,"1370"
150,"1038"
151,"728"
152,"512"
153,"347"
154,"314"
155,"264"
156,"311"
157,"305"
158,"367"
159,"405"
160,"422"
161,"510"
162,"700"
163,"734"
164,"893"
165,"847"
166,"802"
167,"626"
168,"512"
169,"383"
170,"289"
171,"204"
172,"176"
173,"173"
174,"192"
175,"199"
176,"226"
177,"281"
178,"338"
179,"355"
180,"469"
181,"557"
182,"539"
183,"596"
184,"571"
185,"485"
186,"442"
187,"351"
188,"257"
189,"224"
190,"179"
191,"153"
192,"172"
193,"151"
194,"203"
195,"196"
196,"211"
197,"219"
198,"272"
199,"243"
200,"251"
201,"264"
202,"264"
203,"203"
204,"208"
205,"199"
206,"181"
207,"183"
208,"176"
209,"188"
210,"179"
211,"200"
212,"196"
213,"197"
214,"200"
215,"196"
216,"197"
217,"225"
218,"233"
219,"250"
220,"246"
221,"330"
222,"379"
223,"371"
224,"382"
225,"372"
226,"340"
227,"310"
228,"307"
229,"246"
230,"254"
231,"243"
232,"230"
233,"225"
234,"247"
235,"262"
236,"249"
237,"262"
238,"269"
239,"288"
240,"263"
241,"297"
242,"312"
243,"286"
244,"310"
245,"298"
246,"268"
247,"287"
248,"321"
249,"302"
250,"296"
251,"300"
252,"305"
253,"303"
254,"318"
255,"309"
256,"328"
257,"346"
258,"327"
259,"313"
260,"315"
261,"340"
262,"320"
263,"293"
264,"265"
265,"315"
266,"279"
267,"300"
268,"310"
269,"307"
270,"308"
271,"364"
272,"314"
273,"310"
274,"348"
275,"352"
276,"343"
277,"373"
278,"379"
279,"385"
280,"405"
281,"392"
282,"431"
283,"436"
284,"405"
285,"419"
286,"418"
287,"393"
288,"415"
289,"409"
290,"353"
291,"410"
292,"382"
293,"408"
294,"347"
295,"368"
296,"356"
297,"386"
298,"382"
299,"375"
300,"364"
301,"365"
302,"416"
303,"438"
304,"477"
305,"464"
306,"506"
307,"564"
308,"585"
309,"520"
310,"613"
311,"705"
312,"761"
313,"845"
314,"975"
315,"1162"
316,"1303"
317,"1434"
318,"1480"
319,"1403"
320,"1302"
321,"1072"
322,"891"
323,"736"
324,"629"
325,"524"
326,"461"
327,"421"
328,"442"
329,"431"
330,"485"
331,"453"
332,"496"
333,"504"
334,"508"
335,"519"
336,"523"
337,"482"
338,"486"
339,"521"
340,"498"
341,"509"
342,"481"
343,"488"
344,"461"
345,"515"
346,"542"
347,"553"
348,"578"
349,"629"
350,"659"
351,"609"
352,"643"
353,"621"
354,"624"
355,"646"
356,"638"
357,"648"
358,"694"
359,"704"
360,"761"
361,"865"
362,"848"
363,"896"
364,"871"
365,"1004"
366,"947"
367,"1098"
368,"1070"
369,"1187"
370,"1291"
371,"1281"
372,"1168"
373,"1096"
374,"978"
375,"822"
376,"761"
377,"577"
378,"520"
379,"475"
380,"454"
381,"417"
382,"420"
383,"454"
384,"449"
385,"468"
386,"503"
387,"461"
388,"507"
389,"524"
390,"511"
391,"553"
392,"619"
393,"599"
394,"622"
395,"696"
396,"739"
397,"732"
398,"807"
399,"839"
400,"786"
401,"748"
402,"749"
403,"706"
404,"645"
405,"571"
406,"580"
407,"566"
408,"590"
409,"579"
410,"589"
411,"593"
412,"544"
413,"562"
414,"514"
415,"486"
416,"468"
417,"478"
418,"490"
419,"502"
420,"503"
421,"530"
422,"492"
423,"526"
424,"498"
425,"489"
426,"496"
427,"521"
428,"469"
429,"505"
430,"505"
431,"472"
432,"512"
433,"501"
434,"479"
435,"453"
436,"456"
437,"475"
438,"479"
439,"449"
440,"482"
441,"448"
442,"509"
443,"471"
444,"489"
445,"485"
446,"497"
447,"468"
448,"450"
449,"430"
450,"465"
451,"451"
452,"434"
453,"426"
454,"444"
455,"476"
456,"430"
457,"430"
458,"427"
459,"462"
460,"427"
461,"451"
462,"480"
463,"463"
464,"497"
465,"462"
466,"518"
467,"471"
468,"510"
469,"476"
470,"492"
471,"490"
472,"493"
473,"502"
474,"493"
475,"488"
476,"493"
