Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L1-3FG 2phi 0"
Duration Time,60.034
Ambient Temperature,"98.5"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"688857"
Raw Accumulated Counts,"713603"
Valid Count Last Packet,"10731"
Raw Count Last Packet,"11133"
Live Time,58.341972
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.085
Number of Channels,2048
Vacuum,762
Channel#,Intensity
0,"1768"
1,"1439"
2,"994"
3,"477"
4,"199"
5,"76"
6,"20"
7,"8"
8,"1"
9,"1"
10,"0"
11,"0"
12,"1"
13,"0"
14,"1"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"3"
21,"3"
22,"36"
23,"104"
24,"168"
25,"199"
26,"185"
27,"199"
28,"190"
29,"178"
30,"197"
31,"166"
32,"166"
33,"141"
34,"159"
35,"147"
36,"169"
37,"154"
38,"166"
39,"153"
40,"167"
41,"160"
42,"160"
43,"137"
44,"150"
45,"171"
46,"157"
47,"178"
48,"169"
49,"153"
50,"168"
51,"137"
52,"165"
53,"143"
54,"149"
55,"153"
56,"161"
57,"152"
58,"155"
59,"146"
60,"159"
61,"168"
62,"131"
63,"143"
64,"153"
65,"141"
66,"127"
67,"128"
68,"155"
69,"136"
70,"158"
71,"172"
72,"194"
73,"198"
74,"197"
75,"223"
76,"206"
77,"188"
78,"178"
79,"176"
80,"211"
81,"296"
82,"472"
83,"742"
84,"1104"
85,"1429"
86,"1621"
87,"1545"
88,"1313"
89,"985"
90,"644"
91,"461"
92,"285"
93,"202"
94,"156"
95,"130"
96,"131"
97,"135"
98,"126"
99,"134"
100,"143"
101,"114"
102,"128"
103,"130"
104,"129"
105,"104"
106,"129"
107,"135"
108,"114"
109,"129"
110,"140"
111,"174"
112,"163"
113,"204"
114,"213"
115,"239"
116,"229"
117,"203"
118,"223"
119,"177"
120,"195"
121,"172"
122,"180"
123,"156"
124,"226"
125,"227"
126,"290"
127,"355"
128,"485"
129,"693"
130,"988"
131,"1353"
132,"1639"
133,"1814"
134,"2016"
135,"1811"
136,"1611"
137,"1409"
138,"1310"
139,"1329"
140,"1322"
141,"1394"
142,"1470"
143,"1540"
144,"1589"
145,"1711"
146,"1789"
147,"1697"
148,"1609"
149,"1285"
150,"971"
151,"708"
152,"500"
153,"353"
154,"338"
155,"335"
156,"312"
157,"387"
158,"521"
159,"679"
160,"968"
161,"1344"
162,"1811"
163,"2237"
164,"2558"
165,"2553"
166,"2206"
167,"1786"
168,"1262"
169,"856"
170,"504"
171,"334"
172,"259"
173,"252"
174,"275"
175,"296"
176,"449"
177,"512"
178,"629"
179,"767"
180,"796"
181,"877"
182,"940"
183,"926"
184,"788"
185,"752"
186,"564"
187,"512"
188,"305"
189,"236"
190,"198"
191,"186"
192,"204"
193,"186"
194,"192"
195,"207"
196,"263"
197,"276"
198,"286"
199,"252"
200,"297"
201,"277"
202,"242"
203,"252"
204,"231"
205,"223"
206,"218"
207,"211"
208,"213"
209,"234"
210,"208"
211,"221"
212,"235"
213,"232"
214,"215"
215,"242"
216,"238"
217,"238"
218,"284"
219,"329"
220,"353"
221,"407"
222,"442"
223,"456"
224,"464"
225,"457"
226,"409"
227,"360"
228,"333"
229,"320"
230,"280"
231,"279"
232,"265"
233,"276"
234,"272"
235,"255"
236,"288"
237,"295"
238,"347"
239,"317"
240,"350"
241,"380"
242,"359"
243,"330"
244,"352"
245,"379"
246,"376"
247,"349"
248,"331"
249,"323"
250,"334"
251,"315"
252,"308"
253,"291"
254,"304"
255,"331"
256,"314"
257,"294"
258,"325"
259,"325"
260,"321"
261,"329"
262,"364"
263,"357"
264,"325"
265,"305"
266,"328"
267,"337"
268,"347"
269,"351"
270,"355"
271,"348"
272,"342"
273,"368"
274,"372"
275,"359"
276,"352"
277,"353"
278,"362"
279,"365"
280,"391"
281,"355"
282,"398"
283,"403"
284,"392"
285,"390"
286,"371"
287,"379"
288,"433"
289,"401"
290,"416"
291,"421"
292,"468"
293,"419"
294,"431"
295,"494"
296,"443"
297,"425"
298,"486"
299,"483"
300,"474"
301,"462"
302,"458"
303,"465"
304,"478"
305,"461"
306,"483"
307,"474"
308,"486"
309,"604"
310,"619"
311,"714"
312,"911"
313,"1160"
314,"1403"
315,"1664"
316,"1915"
317,"2131"
318,"2172"
319,"2101"
320,"1872"
321,"1585"
322,"1257"
323,"988"
324,"785"
325,"691"
326,"590"
327,"569"
328,"543"
329,"497"
330,"507"
331,"496"
332,"526"
333,"484"
334,"483"
335,"482"
336,"500"
337,"507"
338,"495"
339,"508"
340,"495"
341,"510"
342,"470"
343,"537"
344,"567"
345,"575"
346,"630"
347,"658"
348,"705"
349,"718"
350,"733"
351,"771"
352,"683"
353,"727"
354,"707"
355,"676"
356,"676"
357,"723"
358,"756"
359,"752"
360,"818"
361,"846"
362,"931"
363,"977"
364,"971"
365,"1026"
366,"1130"
367,"1196"
368,"1323"
369,"1337"
370,"1422"
371,"1463"
372,"1406"
373,"1245"
374,"1081"
375,"883"
376,"769"
377,"668"
378,"565"
379,"521"
380,"479"
381,"519"
382,"490"
383,"418"
384,"461"
385,"469"
386,"451"
387,"454"
388,"429"
389,"486"
390,"504"
391,"495"
392,"516"
393,"531"
394,"556"
395,"615"
396,"644"
397,"635"
398,"693"
399,"731"
400,"729"
401,"774"
402,"723"
403,"636"
404,"636"
405,"606"
406,"592"
407,"597"
408,"682"
409,"589"
410,"564"
411,"655"
412,"617"
413,"586"
414,"552"
415,"541"
416,"522"
417,"529"
418,"534"
419,"547"
420,"513"
421,"525"
422,"542"
423,"523"
424,"520"
425,"553"
426,"522"
427,"519"
428,"518"
429,"541"
430,"512"
431,"538"
432,"508"
433,"514"
434,"503"
435,"486"
436,"496"
