Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L3-4C 2phi 0"
Duration Time,60.034
Ambient Temperature,"96.9"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"740284"
Raw Accumulated Counts,"768040"
Valid Count Last Packet,"11736"
Raw Count Last Packet,"12185"
Live Time,58.226990
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.7983
Number of Channels,2048
Vacuum,764
Channel#,Intensity
0,"1815"
1,"1416"
2,"961"
3,"481"
4,"220"
5,"73"
6,"20"
7,"4"
8,"3"
9,"1"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"2"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"5"
22,"35"
23,"93"
24,"195"
25,"190"
26,"177"
27,"186"
28,"203"
29,"195"
30,"191"
31,"166"
32,"163"
33,"167"
34,"176"
35,"130"
36,"149"
37,"148"
38,"153"
39,"128"
40,"148"
41,"169"
42,"177"
43,"147"
44,"154"
45,"175"
46,"165"
47,"180"
48,"160"
49,"150"
50,"159"
51,"161"
52,"165"
53,"181"
54,"154"
55,"118"
56,"149"
57,"157"
58,"185"
59,"163"
60,"158"
61,"169"
62,"145"
63,"133"
64,"146"
65,"134"
66,"145"
67,"132"
68,"111"
69,"152"
70,"181"
71,"194"
72,"256"
73,"236"
74,"254"
75,"273"
76,"226"
77,"219"
78,"197"
79,"207"
80,"212"
81,"251"
82,"414"
83,"615"
84,"900"
85,"1157"
86,"1275"
87,"1216"
88,"996"
89,"763"
90,"552"
91,"337"
92,"242"
93,"202"
94,"159"
95,"141"
96,"149"
97,"166"
98,"162"
99,"140"
100,"141"
101,"133"
102,"137"
103,"132"
104,"114"
105,"125"
106,"113"
107,"130"
108,"124"
109,"131"
110,"144"
111,"162"
112,"194"
113,"217"
114,"232"
115,"239"
116,"240"
117,"221"
118,"224"
119,"200"
120,"180"
121,"197"
122,"204"
123,"221"
124,"230"
125,"229"
126,"292"
127,"398"
128,"499"
129,"767"
130,"1012"
131,"1419"
132,"1782"
133,"2001"
134,"2068"
135,"1968"
136,"1672"
137,"1506"
138,"1373"
139,"1283"
140,"1374"
141,"1375"
142,"1482"
143,"1493"
144,"1616"
145,"1705"
146,"1792"
147,"1667"
148,"1604"
149,"1302"
150,"874"
151,"710"
152,"424"
153,"393"
154,"364"
155,"317"
156,"400"
157,"494"
158,"715"
159,"993"
160,"1585"
161,"2289"
162,"3063"
163,"3928"
164,"4305"
165,"4347"
166,"3759"
167,"2883"
168,"2028"
169,"1291"
170,"758"
171,"481"
172,"351"
173,"359"
174,"433"
175,"552"
176,"630"
177,"768"
178,"886"
179,"896"
180,"956"
181,"855"
182,"865"
183,"741"
184,"639"
185,"581"
186,"441"
187,"359"
188,"293"
189,"215"
190,"203"
191,"217"
192,"206"
193,"210"
194,"185"
195,"234"
196,"260"
197,"260"
198,"272"
199,"290"
200,"245"
201,"255"
202,"247"
203,"250"
204,"221"
205,"243"
206,"200"
207,"228"
208,"235"
209,"227"
210,"225"
211,"223"
212,"221"
213,"233"
214,"245"
215,"234"
216,"231"
217,"270"
218,"322"
219,"366"
220,"448"
221,"614"
222,"647"
223,"744"
224,"673"
225,"648"
226,"658"
227,"543"
228,"447"
229,"411"
230,"347"
231,"321"
232,"317"
233,"286"
234,"314"
235,"275"
236,"293"
237,"310"
238,"335"
239,"346"
240,"331"
241,"334"
242,"340"
243,"345"
244,"386"
245,"384"
246,"390"
247,"339"
248,"391"
249,"346"
250,"363"
251,"363"
252,"352"
253,"366"
254,"310"
255,"326"
256,"319"
257,"324"
258,"353"
259,"322"
260,"339"
261,"355"
262,"329"
263,"334"
264,"324"
265,"345"
266,"352"
267,"379"
268,"356"
269,"355"
270,"389"
271,"355"
272,"340"
273,"352"
274,"395"
275,"358"
276,"366"
277,"350"
278,"375"
279,"356"
280,"385"
281,"375"
282,"419"
283,"397"
284,"417"
285,"400"
286,"435"
287,"460"
288,"474"
289,"498"
290,"521"
291,"523"
292,"559"
293,"523"
294,"501"
295,"527"
296,"499"
297,"473"
298,"467"
299,"452"
300,"457"
301,"468"
302,"445"
303,"410"
304,"458"
305,"453"
306,"430"
307,"523"
308,"598"
309,"809"
310,"1129"
311,"1481"
312,"2306"
313,"3295"
314,"4579"
315,"6059"
316,"7029"
317,"7597"
318,"7724"
319,"7081"
320,"5973"
321,"4764"
322,"3501"
323,"2356"
324,"1529"
325,"1024"
326,"771"
327,"602"
328,"529"
329,"496"
330,"457"
331,"510"
332,"484"
333,"489"
334,"515"
335,"482"
336,"531"
337,"551"
338,"545"
339,"560"
340,"529"
341,"534"
342,"580"
343,"689"
344,"736"
345,"937"
346,"1058"
347,"1224"
348,"1404"
349,"1554"
350,"1506"
351,"1556"
352,"1467"
353,"1332"
354,"1140"
355,"1013"
356,"907"
357,"829"
358,"791"
359,"777"
360,"832"
361,"884"
362,"898"
363,"909"
364,"957"
365,"1106"
366,"1098"
367,"1253"
368,"1360"
369,"1477"
370,"1528"
371,"1468"
372,"1419"
373,"1285"
374,"1116"
375,"982"
376,"796"
377,"627"
378,"598"
379,"524"
380,"503"
381,"431"
382,"476"
383,"482"
384,"459"
385,"469"
386,"460"
387,"454"
388,"448"
389,"460"
390,"496"
391,"473"
392,"476"
393,"536"
394,"538"
395,"608"
396,"676"
397,"688"
398,"749"
399,"743"
400,"716"
401,"717"
402,"678"
403,"691"
404,"619"
405,"608"
406,"550"
407,"553"
408,"644"
409,"563"
410,"590"
411,"580"
412,"539"
413,"559"
414,"532"
415,"481"
416,"458"
417,"488"
418,"464"
419,"474"
420,"467"
421,"493"
422,"493"
423,"474"
424,"533"
425,"539"
426,"560"
427,"533"
428,"549"
429,"520"
430,"575"
431,"538"
432,"549"
433,"521"
434,"535"
435,"484"
436,"482"
437,"537"
438,"556"
439,"531"
440,"499"
441,"548"
442,"493"
443,"570"
444,"491"
445,"475"
446,"509"
447,"517"
448,"469"
449,"528"
450,"494"
451,"532"
452,"547"
453,"582"
454,"516"
455,"548"
456,"571"
457,"586"
458,"572"
459,"517"
460,"586"
461,"553"
462,"556"
463,"573"
464,"526"
465,"521"
466,"538"
467,"579"
468,"493"
469,"508"
470,"572"
471,"537"
472,"566"
473,"564"
474,"585"
475,"539"
476,"536"
477,"541"
478,"575"
479,"570"
480,"513"
481,"536"
482,"533"
483,"535"
484,"542"
485,"533"
486,"528"
487,"485"
488,"548"
489,"518"
490,"517"
491,"507"
492,"536"
493,"517"
494,"537"
495,"544"
496,"486"
497,"498"
498,"504"
499,"577"
500,"455"
501,"536"
502,"558"
503,"556"
504,"558"
505,"527"
506,"536"
507,"558"
508,"561"
509,"513"
510,"561"
511,"523"
512,"515"
513,"519"
514,"523"
515,"522"
516,"554"
517,"532"
518,"565"
519,"552"
520,"577"
521,"539"
522,"559"
523,"562"
524,"576"
525,"551"
526,"580"
527,"529"
528,"537"
529,"499"
530,"554"
531,"487"
532,"534"
533,"494"
534,"479"
535,"527"
536,"498"
537,"535"
538,"527"
539,"560"
540,"511"
541,"526"
542,"478"
543,"522"
544,"507"
545,"488"
546,"548"
547,"487"
548,"519"
549,"529"
550,"503"
551,"468"
552,"525"
553,"522"
554,"511"
555,"513"
556,"509"
557,"509"
558,"521"
559,"503"
560,"514"
561,"501"
562,"531"
563,"498"
564,"550"
565,"490"
566,"519"
567,"534"
568,"509"
569,"515"
570,"488"
571,"500"
572,"558"
573,"506"
574,"499"
575,"527"
576,"530"
577,"530"
578,"543"
579,"510"
580,"499"
581,"489"
582,"497"
583,"503"
584,"506"
585,"547"
586,"497"
587,"572"
588,"528"
589,"533"
590,"505"
591,"477"
592,"494"
593,"459"
594,"494"
595,"514"
596,"480"
597,"506"
598,"494"
599,"513"
600,"478"
601,"535"
602,"528"
603,"505"
604,"505"
605,"459"
606,"528"
607,"529"
608,"508"
609,"565"
610,"528"
611,"505"
612,"539"
613,"519"
614,"497"
615,"534"
616,"522"
617,"543"
618,"513"
619,"529"
620,"543"
621,"524"
622,"504"
623,"584"
624,"553"
625,"542"
626,"530"
627,"569"
628,"560"
629,"538"
630,"551"
631,"561"
632,"523"
633,"572"
634,"520"
635,"481"
636,"515"
637,"514"
638,"502"
639,"521"
640,"503"
641,"532"
642,"483"
643,"505"
644,"571"
645,"475"
646,"510"
647,"525"
648,"527"
649,"526"
650,"512"
651,"563"
652,"574"
653,"535"
654,"653"
655,"667"
656,"711"
657,"891"
658,"925"
659,"1109"
660,"1187"
661,"1294"
662,"1514"
663,"1506"
664,"1607"
665,"1468"
666,"1479"
667,"1357"
668,"1150"
669,"1000"
670,"926"
671,"789"
672,"668"
673,"639"
674,"619"
675,"526"
676,"538"
677,"535"
678,"517"
679,"474"
680,"491"
681,"492"
682,"492"
683,"514"
684,"548"
685,"489"
686,"528"
687,"510"
688,"492"
689,"543"
690,"515"
691,"526"
692,"539"
693,"517"
694,"537"
695,"585"
696,"619"
697,"639"
698,"689"
699,"684"
700,"720"
701,"747"
702,"759"
703,"744"
704,"737"
705,"729"
706,"687"
707,"609"
708,"617"
709,"555"
710,"569"
711,"493"
712,"490"
713,"479"
714,"453"
715,"461"
716,"462"
717,"504"
718,"486"
719,"430"
720,"466"
721,"495"
722,"466"
723,"479"
724,"433"
725,"517"
726,"433"
727,"475"
728,"466"
729,"461"
730,"454"
731,"496"
732,"487"
733,"467"
734,"474"
735,"472"
736,"507"
737,"591"
738,"601"
739,"585"
740,"608"
741,"653"
742,"627"
743,"622"
744,"623"
745,"593"
746,"573"
747,"515"
748,"544"
749,"494"
750,"518"
751,"517"
752,"522"
753,"475"
754,"470"
755,"507"
756,"488"
757,"437"
758,"411"
759,"447"
760,"403"
761,"467"
762,"431"
763,"432"
764,"429"
765,"447"
766,"458"
767,"455"
768,"424"
769,"424"
770,"448"
771,"464"
772,"430"
773,"421"
774,"471"
775,"485"
776,"491"
777,"494"
778,"482"
779,"530"
780,"559"
781,"530"
782,"521"
783,"536"
784,"535"
785,"580"
786,"531"
787,"492"
788,"506"
789,"507"
790,"465"
791,"453"
792,"436"
793,"455"
794,"489"
795,"426"
796,"462"
797,"457"
798,"415"
799,"448"
800,"423"
801,"403"
802,"416"
803,"404"
804,"410"
805,"403"
806,"404"
807,"413"
808,"419"
809,"398"
810,"455"
811,"455"
812,"424"
813,"446"
814,"437"
815,"459"
816,"422"
817,"415"
818,"401"
819,"428"
820,"377"
821,"400"
822,"382"
823,"440"
824,"395"
825,"401"
826,"430"
827,"436"
828,"411"
