Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L3-4A -1phi 1"
Duration Time,60.098
Ambient Temperature,"100.8"
Detector Temperature,"-15.5"
Valid Accumulated Counts,"647033"
Raw Accumulated Counts,"669265"
Valid Count Last Packet,"10349"
Raw Count Last Packet,"10743"
Live Time,58.529015
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.0898
Number of Channels,2048
Vacuum,764
Channel#,Intensity
0,"1743"
1,"1484"
2,"924"
3,"493"
4,"200"
5,"83"
6,"13"
7,"5"
8,"1"
9,"0"
10,"2"
11,"0"
12,"1"
13,"0"
14,"0"
15,"0"
16,"1"
17,"0"
18,"0"
19,"0"
20,"0"
21,"3"
22,"33"
23,"101"
24,"155"
25,"162"
26,"174"
27,"183"
28,"173"
29,"181"
30,"148"
31,"152"
32,"153"
33,"149"
34,"158"
35,"146"
36,"162"
37,"150"
38,"158"
39,"173"
40,"160"
41,"131"
42,"143"
43,"151"
44,"137"
45,"149"
46,"152"
47,"125"
48,"173"
49,"168"
50,"159"
51,"136"
52,"162"
53,"124"
54,"144"
55,"147"
56,"164"
57,"156"
58,"173"
59,"147"
60,"156"
61,"152"
62,"111"
63,"137"
64,"124"
65,"96"
66,"111"
67,"107"
68,"155"
69,"158"
70,"159"
71,"199"
72,"217"
73,"225"
74,"211"
75,"252"
76,"254"
77,"218"
78,"177"
79,"191"
80,"225"
81,"241"
82,"430"
83,"644"
84,"971"
85,"1296"
86,"1398"
87,"1373"
88,"1105"
89,"833"
90,"567"
91,"351"
92,"257"
93,"201"
94,"138"
95,"122"
96,"120"
97,"140"
98,"111"
99,"155"
100,"134"
101,"115"
102,"114"
103,"113"
104,"94"
105,"113"
106,"124"
107,"127"
108,"129"
109,"124"
110,"137"
111,"144"
112,"183"
113,"206"
114,"242"
115,"240"
116,"222"
117,"218"
118,"222"
119,"193"
120,"189"
121,"172"
122,"180"
123,"178"
124,"207"
125,"224"
126,"326"
127,"385"
128,"555"
129,"757"
130,"1038"
131,"1413"
132,"1717"
133,"1853"
134,"2022"
135,"1775"
136,"1618"
137,"1510"
138,"1351"
139,"1335"
140,"1395"
141,"1392"
142,"1457"
143,"1503"
144,"1589"
145,"1688"
146,"1690"
147,"1791"
148,"1488"
149,"1293"
150,"991"
151,"656"
152,"518"
153,"367"
154,"322"
155,"321"
156,"359"
157,"474"
158,"542"
159,"810"
160,"1164"
161,"1682"
162,"2412"
163,"3097"
164,"3498"
165,"3503"
166,"3100"
167,"2445"
168,"1726"
169,"1142"
170,"690"
171,"408"
172,"275"
173,"286"
174,"324"
175,"424"
176,"551"
177,"643"
178,"764"
179,"789"
180,"784"
181,"751"
182,"714"
183,"599"
184,"586"
185,"469"
186,"399"
187,"346"
188,"247"
189,"219"
190,"187"
191,"187"
192,"152"
193,"175"
194,"188"
195,"194"
196,"199"
197,"222"
198,"223"
199,"222"
200,"239"
201,"236"
202,"190"
203,"205"
204,"195"
205,"189"
206,"198"
207,"170"
208,"194"
209,"188"
210,"188"
211,"214"
212,"188"
213,"215"
214,"196"
215,"200"
216,"214"
217,"234"
218,"251"
219,"306"
220,"345"
221,"429"
222,"424"
223,"498"
224,"456"
225,"459"
226,"437"
227,"383"
228,"337"
229,"345"
230,"317"
231,"321"
232,"317"
233,"338"
234,"345"
235,"308"
236,"322"
237,"328"
238,"305"
239,"331"
240,"304"
241,"301"
242,"319"
243,"283"
244,"300"
245,"315"
246,"303"
247,"299"
248,"295"
249,"259"
250,"266"
251,"295"
252,"289"
253,"268"
254,"256"
255,"295"
256,"266"
257,"293"
258,"295"
259,"322"
260,"288"
261,"308"
262,"314"
263,"304"
264,"319"
265,"313"
266,"306"
267,"346"
268,"309"
269,"335"
270,"307"
271,"329"
272,"322"
273,"328"
274,"337"
275,"340"
276,"376"
277,"346"
278,"386"
279,"361"
280,"370"
281,"349"
282,"355"
283,"371"
284,"370"
285,"372"
286,"372"
287,"378"
288,"374"
289,"368"
290,"364"
291,"419"
292,"414"
293,"428"
294,"429"
295,"399"
296,"383"
297,"432"
298,"456"
299,"376"
300,"397"
301,"434"
302,"400"
303,"387"
304,"395"
305,"412"
