Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L2-3D 1phi 0"
Duration Time,60.034
Ambient Temperature,"102.6"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"725623"
Raw Accumulated Counts,"752564"
Valid Count Last Packet,"11417"
Raw Count Last Packet,"11812"
Live Time,58.229996
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.085
Number of Channels,2048
Vacuum,762
Channel#,Intensity
0,"1785"
1,"1448"
2,"962"
3,"503"
4,"229"
5,"82"
6,"23"
7,"5"
8,"1"
9,"2"
10,"0"
11,"1"
12,"1"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"4"
22,"34"
23,"119"
24,"179"
25,"200"
26,"200"
27,"215"
28,"190"
29,"179"
30,"198"
31,"181"
32,"153"
33,"192"
34,"177"
35,"149"
36,"174"
37,"174"
38,"163"
39,"156"
40,"155"
41,"156"
42,"176"
43,"158"
44,"162"
45,"165"
46,"182"
47,"176"
48,"156"
49,"152"
50,"172"
51,"178"
52,"163"
53,"160"
54,"174"
55,"158"
56,"178"
57,"168"
58,"168"
59,"178"
60,"170"
61,"164"
62,"167"
63,"161"
64,"133"
65,"127"
66,"145"
67,"157"
68,"138"
69,"134"
70,"153"
71,"181"
72,"199"
73,"228"
74,"268"
75,"229"
76,"218"
77,"190"
78,"183"
79,"193"
80,"216"
81,"312"
82,"503"
83,"804"
84,"1191"
85,"1531"
86,"1817"
87,"1787"
88,"1477"
89,"1077"
90,"719"
91,"472"
92,"287"
93,"234"
94,"163"
95,"171"
96,"122"
97,"142"
98,"153"
99,"140"
100,"153"
101,"154"
102,"143"
103,"125"
104,"142"
105,"116"
106,"137"
107,"122"
108,"135"
109,"161"
110,"144"
111,"170"
112,"210"
113,"243"
114,"235"
115,"239"
116,"240"
117,"216"
118,"215"
119,"198"
120,"198"
121,"223"
122,"196"
123,"191"
124,"217"
125,"253"
126,"283"
127,"368"
128,"467"
129,"724"
130,"994"
131,"1340"
132,"1612"
133,"1965"
134,"1968"
135,"1812"
136,"1685"
137,"1438"
138,"1355"
139,"1330"
140,"1348"
141,"1429"
142,"1384"
143,"1524"
144,"1626"
145,"1730"
146,"1690"
147,"1723"
148,"1548"
149,"1310"
150,"1011"
151,"710"
152,"567"
153,"417"
154,"335"
155,"311"
156,"368"
157,"415"
158,"531"
159,"691"
160,"1024"
161,"1440"
162,"1965"
163,"2563"
164,"2793"
165,"2898"
166,"2639"
167,"2088"
168,"1534"
169,"1037"
170,"680"
171,"396"
172,"275"
173,"269"
174,"289"
175,"418"
176,"472"
177,"543"
178,"651"
179,"692"
180,"714"
181,"727"
182,"684"
183,"648"
184,"569"
185,"507"
186,"419"
187,"375"
188,"274"
189,"237"
190,"241"
191,"205"
192,"200"
193,"179"
194,"190"
195,"209"
196,"223"
197,"231"
198,"241"
199,"256"
200,"249"
201,"232"
202,"233"
203,"219"
204,"220"
205,"199"
206,"218"
207,"190"
208,"206"
209,"196"
210,"225"
211,"215"
212,"209"
213,"230"
214,"204"
215,"232"
216,"283"
217,"255"
218,"350"
219,"365"
220,"476"
221,"557"
222,"612"
223,"712"
224,"721"
225,"679"
226,"644"
227,"605"
228,"510"
229,"387"
230,"366"
231,"350"
232,"369"
233,"359"
234,"319"
235,"329"
236,"349"
237,"304"
238,"353"
239,"328"
240,"357"
241,"350"
242,"353"
243,"382"
244,"369"
245,"369"
246,"342"
247,"335"
248,"354"
249,"347"
250,"323"
251,"330"
252,"343"
253,"318"
254,"332"
255,"307"
256,"294"
257,"318"
258,"320"
259,"323"
260,"329"
261,"335"
262,"328"
263,"320"
264,"330"
265,"327"
266,"329"
267,"354"
268,"331"
269,"327"
270,"341"
271,"355"
272,"371"
273,"356"
274,"339"
275,"391"
276,"350"
277,"362"
278,"377"
279,"350"
280,"371"
281,"372"
282,"332"
283,"361"
284,"396"
285,"419"
286,"407"
287,"388"
288,"429"
289,"439"
290,"445"
291,"470"
292,"431"
293,"464"
294,"481"
295,"447"
296,"473"
297,"465"
298,"468"
299,"472"
300,"392"
301,"465"
302,"458"
303,"461"
304,"475"
305,"460"
306,"481"
307,"495"
308,"566"
309,"641"
310,"775"
311,"1021"
312,"1500"
313,"2130"
314,"2996"
315,"3958"
316,"4734"
317,"5438"
318,"5773"
319,"5515"
320,"4945"
321,"4099"
322,"3235"
323,"2272"
324,"1604"
325,"1145"
326,"805"
327,"649"
328,"527"
329,"449"
330,"502"
331,"502"
332,"477"
333,"476"
334,"475"
335,"462"
336,"481"
337,"515"
338,"496"
339,"554"
340,"544"
341,"554"
342,"531"
343,"600"
344,"648"
345,"735"
346,"846"
347,"983"
348,"1068"
349,"1150"
350,"1283"
351,"1289"
352,"1255"
353,"1236"
354,"1066"
355,"947"
356,"901"
357,"824"
358,"792"
359,"828"
360,"785"
361,"830"
362,"847"
363,"864"
364,"874"
365,"859"
366,"989"
367,"1024"
368,"1143"
369,"1135"
370,"1276"
371,"1320"
372,"1250"
373,"1123"
374,"989"
375,"820"
376,"762"
377,"667"
378,"576"
379,"556"
380,"459"
381,"473"
382,"425"
383,"451"
384,"451"
385,"391"
386,"435"
387,"373"
388,"430"
389,"456"
390,"405"
391,"455"
392,"447"
393,"473"
394,"520"
395,"529"
396,"594"
397,"684"
398,"650"
399,"743"
400,"669"
401,"706"
402,"677"
403,"712"
404,"613"
405,"623"
406,"600"
407,"539"
408,"564"
409,"596"
410,"617"
411,"599"
412,"542"
413,"591"
414,"565"
415,"537"
416,"515"
417,"508"
418,"473"
419,"482"
420,"490"
421,"454"
422,"481"
423,"477"
424,"491"
425,"495"
426,"531"
427,"562"
428,"538"
429,"578"
430,"566"
431,"554"
432,"543"
433,"539"
434,"576"
435,"558"
436,"523"
437,"497"
438,"513"
439,"487"
440,"482"
441,"509"
442,"525"
443,"509"
444,"539"
445,"544"
446,"528"
447,"544"
448,"554"
449,"478"
450,"518"
451,"579"
452,"500"
453,"514"
454,"505"
455,"522"
456,"474"
457,"498"
458,"523"
459,"551"
460,"485"
461,"516"
462,"547"
463,"607"
464,"550"
465,"547"
466,"537"
467,"559"
468,"512"
469,"570"
470,"569"
471,"543"
472,"539"
473,"514"
474,"567"
475,"513"
476,"554"
477,"539"
478,"531"
479,"565"
480,"554"
481,"552"
482,"581"
483,"577"
484,"533"
485,"515"
486,"536"
487,"531"
488,"497"
489,"548"
490,"551"
491,"504"
492,"517"
493,"539"
494,"502"
495,"504"
496,"527"
497,"528"
498,"552"
499,"500"
500,"500"
501,"490"
502,"490"
503,"502"
504,"525"
505,"511"
506,"497"
507,"520"
508,"550"
509,"524"
510,"541"
511,"515"
512,"512"
513,"557"
514,"465"
515,"539"
516,"504"
517,"514"
518,"506"
519,"503"
520,"506"
521,"493"
522,"500"
523,"495"
524,"528"
525,"508"
526,"546"
527,"490"
528,"505"
529,"508"
530,"491"
531,"503"
532,"499"
533,"479"
534,"520"
535,"524"
536,"468"
537,"494"
538,"491"
539,"488"
540,"461"
541,"503"
542,"482"
543,"548"
544,"474"
545,"519"
546,"470"
547,"505"
548,"480"
549,"470"
550,"501"
551,"526"
552,"458"
553,"498"
554,"512"
555,"525"
556,"523"
557,"475"
558,"513"
559,"510"
560,"508"
561,"503"
562,"482"
563,"511"
564,"532"
565,"514"
566,"493"
567,"516"
568,"512"
569,"511"
570,"512"
571,"485"
572,"492"
573,"495"
574,"485"
575,"518"
576,"501"
577,"532"
578,"517"
579,"499"
580,"491"
581,"524"
582,"511"
583,"489"
584,"481"
585,"478"
586,"563"
587,"509"
588,"499"
589,"544"
590,"494"
591,"500"
592,"461"
593,"488"
594,"527"
595,"494"
596,"523"
597,"510"
598,"474"
599,"510"
600,"466"
601,"493"
602,"460"
603,"535"
604,"486"
605,"485"
606,"482"
607,"493"
608,"530"
609,"485"
610,"502"
611,"525"
612,"526"
613,"458"
614,"506"
615,"508"
616,"517"
617,"477"
618,"487"
619,"525"
620,"486"
621,"519"
622,"525"
623,"568"
624,"536"
625,"545"
626,"553"
627,"514"
628,"536"
629,"598"
630,"553"
631,"509"
632,"507"
633,"513"
634,"479"
635,"530"
636,"515"
637,"518"
638,"515"
639,"498"
640,"519"
641,"491"
642,"505"
643,"526"
644,"523"
645,"534"
646,"505"
647,"482"
648,"527"
649,"476"
650,"523"
651,"503"
652,"496"
653,"527"
654,"517"
655,"549"
656,"599"
657,"627"
658,"709"
659,"757"
660,"853"
661,"975"
662,"1000"
663,"1074"
664,"1138"
665,"1095"
666,"1184"
667,"1136"
668,"1033"
669,"942"
670,"850"
671,"814"
672,"716"
673,"677"
674,"605"
675,"567"
676,"547"
677,"495"
678,"555"
679,"556"
680,"530"
681,"517"
682,"522"
683,"489"
684,"507"
685,"498"
686,"519"
687,"529"
688,"539"
689,"511"
690,"477"
691,"515"
692,"511"
693,"569"
694,"556"
695,"507"
696,"518"
697,"592"
698,"582"
699,"624"
700,"576"
701,"641"
702,"626"
703,"631"
704,"629"
705,"645"
706,"618"
707,"591"
708,"530"
709,"543"
710,"561"
711,"505"
712,"481"
713,"499"
714,"459"
715,"487"
716,"492"
717,"502"
718,"468"
719,"526"
720,"479"
721,"489"
722,"477"
723,"464"
724,"467"
725,"462"
726,"485"
727,"452"
728,"467"
729,"498"
730,"516"
731,"457"
732,"495"
733,"461"
734,"494"
735,"509"
736,"535"
737,"517"
738,"557"
739,"539"
740,"608"
741,"556"
742,"605"
743,"608"
744,"681"
745,"602"
746,"560"
747,"609"
748,"542"
749,"598"
750,"498"
751,"509"
752,"466"
753,"416"
754,"448"
755,"436"
756,"483"
757,"507"
758,"460"
759,"432"
760,"478"
761,"464"
762,"490"
763,"468"
764,"482"
765,"457"
766,"473"
767,"426"
768,"460"
769,"463"
770,"489"
771,"433"
772,"459"
773,"485"
774,"478"
775,"497"
776,"527"
777,"485"
778,"533"
779,"563"
780,"556"
781,"599"
782,"599"
783,"578"
784,"620"
785,"568"
786,"548"
787,"591"
788,"560"
789,"526"
790,"462"
791,"532"
792,"503"
793,"475"
794,"507"
795,"445"
796,"410"
797,"427"
798,"441"
799,"456"
800,"460"
801,"439"
802,"443"
803,"467"
804,"459"
805,"420"
806,"486"
807,"447"
808,"451"
809,"459"
810,"435"
811,"450"
812,"469"
813,"453"
814,"479"
815,"443"
816,"447"
817,"449"
818,"465"
819,"484"
820,"427"
821,"482"
822,"440"
823,"445"
824,"452"
825,"460"
826,"430"
827,"455"
828,"453"
829,"441"
830,"399"
831,"456"
832,"464"
833,"440"
