Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L1-4E -1phi 0"
Duration Time,60.034
Ambient Temperature,"101.7"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"680691"
Raw Accumulated Counts,"705370"
Valid Count Last Packet,"10641"
Raw Count Last Packet,"11010"
Live Time,58.330986
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.085
Number of Channels,2048
Vacuum,752
Channel#,Intensity
0,"1755"
1,"1501"
2,"977"
3,"481"
4,"210"
5,"99"
6,"19"
7,"6"
8,"0"
9,"1"
10,"0"
11,"1"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"6"
22,"34"
23,"105"
24,"195"
25,"215"
26,"205"
27,"191"
28,"195"
29,"158"
30,"181"
31,"178"
32,"184"
33,"165"
34,"166"
35,"145"
36,"174"
37,"159"
38,"189"
39,"140"
40,"160"
41,"164"
42,"156"
43,"163"
44,"176"
45,"170"
46,"169"
47,"152"
48,"182"
49,"171"
50,"159"
51,"155"
52,"149"
53,"121"
54,"162"
55,"158"
56,"174"
57,"168"
58,"164"
59,"171"
60,"147"
61,"179"
62,"150"
63,"126"
64,"152"
65,"144"
66,"133"
67,"115"
68,"140"
69,"141"
70,"178"
71,"156"
72,"162"
73,"158"
74,"188"
75,"182"
76,"165"
77,"192"
78,"183"
79,"177"
80,"235"
81,"386"
82,"619"
83,"1085"
84,"1657"
85,"2202"
86,"2502"
87,"2405"
88,"2030"
89,"1413"
90,"979"
91,"597"
92,"347"
93,"251"
94,"184"
95,"166"
96,"140"
97,"125"
98,"139"
99,"133"
100,"124"
101,"120"
102,"142"
103,"111"
104,"104"
105,"118"
106,"108"
107,"109"
108,"138"
109,"154"
110,"132"
111,"146"
112,"192"
113,"233"
114,"217"
115,"214"
116,"240"
117,"207"
118,"210"
119,"193"
120,"172"
121,"204"
122,"194"
123,"205"
124,"192"
125,"242"
126,"262"
127,"375"
128,"531"
129,"752"
130,"1012"
131,"1387"
132,"1652"
133,"1858"
134,"1900"
135,"1803"
136,"1615"
137,"1413"
138,"1314"
139,"1262"
140,"1388"
141,"1352"
142,"1428"
143,"1563"
144,"1596"
145,"1775"
146,"1728"
147,"1628"
148,"1543"
149,"1245"
150,"958"
151,"717"
152,"466"
153,"353"
154,"260"
155,"276"
156,"316"
157,"343"
158,"382"
159,"401"
160,"491"
161,"626"
162,"741"
163,"858"
164,"965"
165,"984"
166,"885"
167,"735"
168,"578"
169,"399"
170,"277"
171,"204"
172,"194"
173,"156"
174,"168"
175,"209"
176,"189"
177,"291"
178,"308"
179,"357"
180,"337"
181,"400"
182,"428"
183,"435"
184,"407"
185,"342"
186,"319"
187,"276"
188,"236"
189,"220"
190,"192"
191,"174"
192,"195"
193,"177"
194,"173"
195,"185"
196,"201"
197,"235"
198,"199"
199,"214"
200,"209"
201,"236"
202,"218"
203,"231"
204,"213"
205,"258"
206,"216"
207,"219"
208,"238"
209,"214"
210,"207"
211,"210"
212,"221"
213,"221"
214,"211"
215,"214"
216,"206"
217,"226"
218,"225"
219,"262"
220,"264"
221,"275"
222,"292"
223,"309"
224,"304"
225,"316"
226,"254"
227,"275"
228,"281"
229,"265"
230,"244"
231,"232"
232,"275"
233,"285"
234,"295"
235,"312"
236,"351"
237,"326"
238,"326"
239,"358"
240,"338"
241,"345"
242,"327"
243,"327"
244,"296"
245,"315"
246,"264"
247,"259"
248,"266"
249,"239"
250,"251"
251,"242"
252,"252"
253,"276"
254,"245"
255,"265"
256,"280"
257,"256"
258,"292"
259,"288"
260,"318"
261,"314"
262,"270"
263,"287"
264,"290"
265,"337"
266,"329"
267,"355"
268,"308"
269,"376"
270,"423"
271,"451"
272,"503"
273,"482"
274,"498"
275,"534"
276,"573"
277,"585"
278,"569"
279,"561"
280,"562"
281,"527"
282,"525"
283,"460"
284,"488"
285,"447"
286,"454"
287,"471"
288,"427"
289,"414"
290,"378"
291,"424"
292,"397"
293,"387"
294,"401"
295,"379"
296,"377"
297,"349"
298,"358"
299,"343"
300,"346"
301,"349"
302,"371"
303,"376"
304,"353"
305,"370"
306,"398"
307,"372"
308,"398"
309,"419"
310,"433"
311,"514"
312,"554"
313,"695"
314,"775"
315,"941"
316,"1066"
317,"1109"
318,"1167"
319,"1098"
320,"1047"
321,"935"
322,"776"
323,"729"
324,"581"
325,"551"
326,"545"
327,"582"
328,"625"
329,"616"
330,"654"
331,"687"
332,"756"
333,"753"
334,"758"
335,"724"
336,"699"
337,"624"
338,"628"
339,"623"
340,"580"
341,"533"
342,"542"
343,"535"
344,"533"
345,"526"
346,"598"
347,"571"
348,"533"
349,"620"
350,"585"
351,"594"
352,"561"
353,"551"
354,"581"
355,"560"
356,"648"
357,"632"
358,"678"
359,"672"
360,"758"
