Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L2-4A -1phi 2"
Duration Time,60.1
Ambient Temperature,"102.6"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"641124"
Raw Accumulated Counts,"662879"
Valid Count Last Packet,"9819"
Raw Count Last Packet,"10202"
Live Time,58.528011
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.0871
Number of Channels,2048
Vacuum,762
Channel#,Intensity
0,"1830"
1,"1479"
2,"957"
3,"512"
4,"213"
5,"76"
6,"30"
7,"7"
8,"0"
9,"1"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"5"
22,"30"
23,"79"
24,"130"
25,"155"
26,"168"
27,"178"
28,"188"
29,"169"
30,"172"
31,"157"
32,"168"
33,"136"
34,"148"
35,"142"
36,"147"
37,"147"
38,"133"
39,"135"
40,"148"
41,"168"
42,"146"
43,"145"
44,"153"
45,"143"
46,"165"
47,"159"
48,"127"
49,"178"
50,"128"
51,"152"
52,"116"
53,"136"
54,"157"
55,"162"
56,"144"
57,"155"
58,"135"
59,"147"
60,"149"
61,"137"
62,"149"
63,"138"
64,"131"
65,"129"
66,"126"
67,"133"
68,"126"
69,"154"
70,"150"
71,"179"
72,"227"
73,"240"
74,"218"
75,"225"
76,"211"
77,"197"
78,"166"
79,"204"
80,"227"
81,"259"
82,"411"
83,"672"
84,"971"
85,"1283"
86,"1450"
87,"1386"
88,"1203"
89,"913"
90,"641"
91,"376"
92,"264"
93,"203"
94,"136"
95,"138"
96,"146"
97,"142"
98,"115"
99,"154"
100,"120"
101,"143"
102,"139"
103,"109"
104,"124"
105,"102"
106,"123"
107,"103"
108,"133"
109,"111"
110,"164"
111,"148"
112,"177"
113,"201"
114,"237"
115,"250"
116,"235"
117,"234"
118,"223"
119,"200"
120,"203"
121,"177"
122,"190"
123,"208"
124,"196"
125,"224"
126,"253"
127,"388"
128,"539"
129,"755"
130,"1055"
131,"1402"
132,"1679"
133,"1939"
134,"2060"
135,"1946"
136,"1781"
137,"1499"
138,"1321"
139,"1338"
140,"1363"
141,"1418"
142,"1366"
143,"1456"
144,"1648"
145,"1688"
146,"1792"
147,"1871"
148,"1704"
149,"1383"
150,"1090"
151,"753"
152,"493"
153,"367"
154,"316"
155,"329"
156,"316"
157,"373"
158,"539"
159,"709"
160,"1008"
161,"1458"
162,"1974"
163,"2483"
164,"2911"
165,"3014"
166,"2762"
167,"2101"
168,"1598"
169,"1067"
170,"647"
171,"434"
172,"332"
173,"276"
174,"276"
175,"339"
176,"443"
