Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L1-5A 1phi 1"
Duration Time,60.043
Ambient Temperature,"96.9"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"669590"
Raw Accumulated Counts,"693233"
Valid Count Last Packet,"10593"
Raw Count Last Packet,"10966"
Live Time,58.415016
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.7856
Number of Channels,2048
Vacuum,752
Channel#,Intensity
0,"1784"
1,"1433"
2,"955"
3,"504"
4,"198"
5,"74"
6,"15"
7,"7"
8,"2"
9,"0"
10,"0"
11,"0"
12,"1"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"1"
19,"0"
20,"1"
21,"3"
22,"24"
23,"103"
24,"157"
25,"170"
26,"171"
27,"187"
28,"174"
29,"205"
30,"173"
31,"158"
32,"180"
33,"159"
34,"159"
35,"142"
36,"137"
37,"142"
38,"172"
39,"137"
40,"163"
41,"154"
42,"142"
43,"146"
44,"150"
45,"169"
46,"160"
47,"169"
48,"152"
49,"152"
50,"146"
51,"143"
52,"132"
53,"151"
54,"149"
55,"147"
56,"136"
57,"144"
58,"133"
59,"145"
60,"144"
61,"147"
62,"163"
63,"103"
64,"149"
65,"136"
66,"139"
67,"129"
68,"146"
69,"144"
70,"152"
71,"175"
72,"192"
73,"177"
74,"219"
75,"215"
76,"203"
77,"222"
78,"187"
79,"189"
80,"220"
81,"302"
82,"441"
83,"718"
84,"1049"
85,"1315"
86,"1499"
87,"1501"
88,"1168"
89,"914"
90,"573"
91,"384"
92,"268"
93,"192"
94,"161"
95,"126"
96,"138"
97,"113"
98,"117"
99,"142"
100,"150"
101,"134"
102,"126"
103,"134"
104,"111"
105,"126"
106,"122"
107,"132"
108,"123"
109,"138"
110,"158"
111,"139"
112,"168"
113,"205"
114,"211"
115,"210"
116,"228"
117,"238"
118,"178"
119,"181"
120,"212"
121,"162"
122,"174"
123,"212"
124,"197"
125,"247"
126,"292"
127,"376"
128,"498"
129,"735"
130,"1009"
131,"1372"
132,"1712"
133,"1927"
134,"1961"
135,"1806"
136,"1665"
137,"1471"
138,"1294"
139,"1271"
140,"1335"
141,"1370"
142,"1424"
143,"1438"
144,"1590"
145,"1773"
146,"1764"
147,"1701"
148,"1524"
149,"1246"
150,"977"
151,"715"
152,"515"
153,"404"
154,"353"
155,"342"
156,"382"
157,"474"
158,"570"
159,"819"
160,"1226"
161,"1703"
162,"2336"
163,"2988"
164,"3247"
165,"3310"
166,"2894"
167,"2231"
168,"1615"
169,"991"
170,"615"
171,"416"
172,"301"
173,"293"
174,"295"
175,"413"
176,"562"
177,"606"
178,"712"
179,"731"
180,"801"
181,"763"
182,"775"
183,"708"
184,"646"
185,"545"
186,"466"
187,"366"
188,"291"
189,"222"
190,"198"
191,"147"
192,"171"
193,"197"
194,"202"
195,"203"
196,"215"
197,"237"
198,"249"
199,"233"
200,"247"
201,"242"
202,"218"
203,"213"
204,"208"
205,"207"
206,"201"
207,"221"
208,"215"
209,"212"
210,"206"
211,"201"
212,"197"
213,"201"
214,"192"
215,"243"
216,"257"
217,"243"
218,"305"
219,"343"
220,"416"
221,"486"
222,"474"
223,"567"
224,"562"
225,"512"
226,"484"
227,"414"
228,"348"
229,"322"
230,"303"
231,"273"
232,"263"
233,"257"
234,"283"
235,"294"
236,"285"
237,"296"
238,"326"
239,"355"
240,"340"
241,"370"
242,"406"
243,"407"
244,"385"
245,"362"
246,"383"
247,"378"
248,"355"
249,"373"
250,"330"
251,"316"
252,"344"
253,"327"
254,"375"
255,"370"
256,"373"
257,"329"
258,"330"
259,"335"
260,"351"
261,"361"
262,"347"
263,"323"
264,"330"
265,"333"
266,"301"
267,"338"
268,"348"
269,"341"
270,"318"
271,"288"
272,"361"
