Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L1-3FG 0phi 1"
Duration Time,60.034
Ambient Temperature,"96.9"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"653970"
Raw Accumulated Counts,"676756"
Valid Count Last Packet,"10222"
Raw Count Last Packet,"10545"
Live Time,58.434002
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.089
Number of Channels,2048
Vacuum,759
Channel#,Intensity
0,"1831"
1,"1447"
2,"960"
3,"494"
4,"199"
5,"80"
6,"17"
7,"2"
8,"1"
9,"0"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"2"
21,"6"
22,"38"
23,"128"
24,"149"
25,"169"
26,"159"
27,"191"
28,"178"
29,"195"
30,"178"
31,"179"
32,"189"
33,"181"
34,"145"
35,"139"
36,"151"
37,"153"
38,"159"
39,"143"
40,"142"
41,"148"
42,"140"
43,"142"
44,"152"
45,"147"
46,"157"
47,"178"
48,"189"
49,"174"
50,"141"
51,"147"
52,"161"
53,"161"
54,"150"
55,"160"
56,"144"
57,"157"
58,"153"
59,"156"
60,"169"
61,"126"
62,"142"
63,"134"
64,"132"
65,"139"
66,"118"
67,"143"
68,"129"
69,"147"
70,"132"
71,"155"
72,"177"
73,"192"
74,"170"
75,"162"
76,"179"
77,"158"
78,"168"
79,"182"
80,"232"
81,"325"
82,"542"
83,"927"
84,"1315"
85,"1708"
86,"1975"
87,"1904"
88,"1536"
89,"1200"
90,"747"
91,"458"
92,"288"
93,"227"
94,"159"
95,"130"
96,"145"
97,"129"
98,"133"
99,"140"
100,"138"
101,"126"
102,"113"
103,"106"
104,"121"
105,"106"
106,"128"
107,"108"
108,"126"
109,"124"
110,"146"
111,"144"
112,"176"
113,"217"
114,"218"
115,"216"
116,"221"
117,"210"
118,"191"
119,"200"
120,"151"
121,"195"
122,"169"
123,"162"
124,"213"
125,"231"
126,"310"
127,"359"
128,"502"
129,"697"
130,"964"
131,"1312"
132,"1679"
133,"1904"
134,"1837"
135,"1836"
136,"1643"
137,"1447"
138,"1350"
139,"1292"
140,"1324"
141,"1444"
142,"1386"
143,"1580"
144,"1670"
145,"1734"
146,"1843"
147,"1735"
148,"1607"
149,"1263"
150,"982"
151,"683"
152,"462"
153,"334"
154,"300"
155,"284"
156,"326"
157,"340"
158,"381"
159,"461"
160,"561"
161,"798"
162,"1012"
163,"1228"
164,"1309"
165,"1357"
166,"1225"
167,"1011"
168,"718"
169,"489"
170,"271"
171,"220"
172,"197"
173,"190"
174,"203"
175,"246"
176,"270"
177,"348"
178,"422"
179,"449"
180,"563"
181,"599"
182,"630"
183,"642"
184,"644"
185,"510"
186,"472"
187,"372"
188,"268"
189,"225"
190,"195"
191,"158"
192,"178"
193,"193"
194,"185"
195,"207"
196,"233"
197,"210"
198,"259"
199,"260"
200,"254"
201,"226"
202,"224"
203,"225"
204,"219"
205,"215"
206,"204"
207,"200"
208,"209"
209,"182"
210,"190"
211,"197"
212,"182"
213,"215"
214,"222"
215,"221"
216,"230"
217,"225"
218,"228"
219,"275"
220,"283"
221,"285"
222,"345"
223,"312"
224,"338"
225,"318"
226,"304"
227,"286"
228,"267"
229,"260"
230,"251"
231,"243"
232,"262"
233,"251"
234,"280"
235,"283"
236,"312"
237,"370"
238,"356"
239,"426"
240,"407"
241,"396"
242,"424"
243,"356"
244,"422"
245,"402"
246,"393"
247,"341"
248,"358"
249,"298"
250,"351"
251,"319"
252,"324"
253,"328"
254,"312"
255,"291"
256,"273"
257,"285"
258,"314"
259,"277"
260,"277"
261,"296"
262,"279"
263,"264"
264,"273"
265,"296"
266,"309"
267,"329"
268,"329"
269,"336"
270,"336"
271,"381"
272,"356"
273,"401"
274,"396"
275,"424"
276,"444"
277,"458"
278,"448"
279,"426"
280,"396"
281,"425"
282,"400"
283,"406"
284,"415"
285,"435"
286,"400"
287,"446"
288,"401"
289,"407"
290,"451"
291,"457"
292,"456"
293,"432"
294,"441"
295,"417"
296,"398"
297,"451"
298,"414"
299,"450"
300,"459"
301,"490"
302,"510"
303,"480"
304,"447"
305,"468"
306,"504"
307,"459"
308,"471"
309,"506"
310,"602"
311,"685"
312,"828"
313,"1031"
314,"1225"
315,"1508"
316,"1811"
317,"2041"
318,"2054"
319,"2052"
320,"1786"
321,"1426"
322,"1241"
323,"935"
324,"760"
325,"631"
326,"524"
327,"475"
328,"435"
329,"416"
330,"411"
331,"456"
332,"437"
333,"434"
334,"440"
335,"463"
336,"454"
337,"443"
338,"495"
339,"472"
340,"490"
341,"520"
342,"495"
343,"522"
344,"548"
345,"515"
346,"568"
347,"596"
348,"663"
349,"667"
350,"681"
351,"663"
352,"616"
353,"627"
354,"633"
355,"630"
356,"663"
357,"709"
358,"719"
359,"745"
360,"772"
361,"826"
362,"860"
363,"947"
364,"963"
365,"995"
366,"1071"
367,"1140"
368,"1240"
369,"1324"
370,"1389"
371,"1375"
372,"1288"
373,"1212"
374,"1041"
375,"905"
376,"731"
377,"656"
378,"580"
379,"558"
380,"478"
381,"481"
382,"490"
383,"492"
384,"485"
385,"479"
386,"508"
387,"518"
388,"553"
389,"538"
390,"509"
391,"516"
392,"567"
393,"527"
394,"582"
395,"610"
396,"644"
397,"719"
398,"759"
399,"750"
400,"789"
401,"753"
402,"791"
403,"687"
404,"641"
405,"604"
406,"624"
407,"640"
408,"592"
409,"579"
410,"567"
411,"572"
412,"577"
413,"526"
414,"479"
415,"519"
416,"516"
417,"457"
418,"425"
419,"454"
420,"421"
421,"441"
422,"496"
423,"441"
424,"509"
425,"479"
426,"520"
427,"578"
428,"523"
429,"559"
430,"530"
431,"524"
432,"549"
433,"522"
434,"538"
435,"568"
436,"534"
437,"560"
438,"546"
439,"564"
440,"572"
441,"555"
442,"515"
443,"554"
444,"572"
445,"534"
446,"534"
447,"521"
448,"506"
449,"496"
450,"506"
451,"503"
452,"503"
453,"463"
454,"487"
455,"463"
456,"487"
457,"472"
458,"515"
459,"484"
460,"486"
461,"459"
462,"453"
463,"442"
464,"472"
465,"485"
466,"473"
467,"457"
468,"477"
469,"488"
470,"430"
471,"463"
472,"521"
473,"523"
474,"476"
475,"496"
476,"516"
477,"522"
478,"541"
479,"549"
480,"556"
481,"543"
482,"569"
483,"563"
484,"556"
485,"490"
486,"510"
487,"573"
488,"535"
489,"540"
490,"471"
491,"567"
492,"504"
493,"497"
494,"452"
495,"492"
496,"484"
497,"497"
498,"486"
499,"475"
500,"500"
501,"453"
502,"510"
503,"454"
504,"477"
505,"468"
506,"467"
507,"478"
508,"510"
509,"449"
510,"447"
511,"505"
512,"474"
513,"507"
514,"519"
515,"531"
516,"490"
517,"497"
518,"477"
519,"501"
520,"512"
521,"520"
522,"517"
523,"533"
524,"533"
525,"548"
526,"542"
527,"526"
528,"523"
529,"543"
530,"517"
531,"460"
532,"499"
533,"492"
534,"507"
535,"500"
536,"529"
537,"524"
538,"497"
539,"472"
540,"478"
541,"498"
542,"487"
543,"513"
544,"463"
545,"496"
546,"479"
547,"478"
548,"426"
549,"470"
550,"478"
551,"505"
552,"499"
553,"537"
554,"511"
555,"503"
556,"503"
557,"518"
558,"504"
559,"494"
560,"509"
561,"487"
562,"445"
563,"480"
564,"498"
565,"484"
566,"496"
567,"494"
568,"520"
569,"490"
570,"482"
571,"488"
572,"465"
573,"498"
574,"485"
575,"484"
576,"478"
577,"530"
578,"542"
579,"523"
580,"485"
581,"527"
582,"482"
583,"547"
584,"528"
585,"479"
586,"517"
587,"511"
588,"490"
589,"505"
590,"489"
591,"491"
592,"506"
593,"513"
594,"500"
595,"512"
596,"516"
597,"514"
598,"503"
599,"495"
600,"497"
601,"494"
602,"509"
603,"485"
604,"499"
605,"480"
606,"522"
607,"474"
608,"491"
609,"509"
610,"474"
611,"506"
612,"462"
613,"479"
614,"493"
615,"454"
616,"463"
617,"484"
618,"488"
619,"477"
620,"471"
621,"492"
622,"499"
623,"498"
624,"506"
625,"500"
626,"486"
627,"499"
628,"501"
629,"501"
630,"518"
631,"504"
632,"477"
633,"521"
634,"450"
635,"485"
636,"514"
637,"520"
638,"508"
639,"489"
640,"494"
641,"465"
642,"485"
643,"478"
644,"516"
645,"546"
646,"462"
647,"516"
648,"460"
649,"502"
650,"508"
651,"496"
652,"437"
653,"503"
654,"534"
655,"537"
656,"521"
657,"580"
658,"593"
659,"621"
660,"651"
661,"666"
662,"674"
663,"710"
664,"719"
665,"720"
666,"734"
667,"672"
668,"610"
669,"663"
670,"599"
671,"542"
672,"600"
673,"532"
674,"535"
675,"491"
676,"500"
677,"509"
678,"533"
679,"529"
680,"496"
681,"468"
682,"495"
683,"529"
684,"528"
685,"529"
686,"486"
687,"516"
688,"499"
689,"496"
690,"494"
691,"532"
692,"538"
693,"520"
694,"569"
695,"588"
696,"569"
697,"659"
698,"672"
699,"673"
700,"726"
701,"841"
702,"762"
703,"767"
704,"808"
705,"709"
706,"686"
707,"721"
708,"659"
709,"595"
710,"556"
711,"540"
712,"483"
713,"487"
714,"511"
715,"487"
716,"496"
717,"464"
718,"459"
719,"437"
720,"470"
721,"448"
722,"459"
723,"459"
724,"458"
725,"465"
726,"429"
727,"452"
728,"421"
729,"466"
730,"486"
731,"463"
732,"441"
733,"471"
734,"508"
735,"462"
736,"465"
737,"439"
738,"487"
739,"482"
740,"471"
741,"487"
742,"503"
743,"483"
744,"444"
745,"489"
746,"462"
747,"468"
748,"500"
749,"456"
750,"449"
751,"467"
752,"447"
753,"449"
754,"410"
755,"457"
756,"462"
757,"429"
758,"439"
759,"433"
760,"434"
761,"424"
762,"412"
763,"470"
764,"464"
765,"449"
766,"451"
767,"424"
768,"429"
769,"447"
770,"436"
771,"452"
772,"447"
773,"479"
774,"439"
775,"464"
776,"466"
777,"482"
778,"454"
779,"480"
780,"466"
781,"545"
782,"542"
783,"531"
784,"513"
785,"521"
786,"543"
787,"532"
788,"496"
789,"443"
790,"531"
791,"511"
792,"499"
793,"429"
794,"453"
795,"439"
796,"404"
797,"447"
798,"434"
799,"405"
800,"464"
801,"451"
802,"443"
803,"431"
804,"439"
805,"394"
806,"429"
807,"452"
808,"415"
809,"419"
810,"425"
811,"404"
812,"438"
813,"415"
814,"394"
815,"415"
816,"429"
817,"397"
818,"430"
819,"457"
820,"438"
821,"383"
822,"421"
823,"420"
824,"408"
825,"441"
826,"452"
827,"453"
828,"407"
829,"423"
830,"427"
831,"425"
832,"413"
833,"402"
834,"429"
