Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L2-3F -1phi 3"
Duration Time,60.162
Ambient Temperature,"84.6"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"541116"
Raw Accumulated Counts,"557847"
Valid Count Last Packet,"8335"
Raw Count Last Packet,"8608"
Live Time,58.853973
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.085
Number of Channels,2048
Vacuum,746
Channel#,Intensity
0,"1759"
1,"1563"
2,"945"
3,"492"
4,"216"
5,"76"
6,"25"
7,"2"
8,"0"
9,"0"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"1"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"6"
22,"34"
23,"89"
24,"161"
25,"160"
26,"154"
27,"156"
28,"152"
29,"159"
30,"155"
31,"146"
32,"129"
33,"150"
34,"143"
35,"160"
36,"107"
37,"117"
38,"132"
39,"119"
40,"132"
41,"116"
42,"133"
43,"141"
44,"134"
45,"146"
46,"126"
47,"156"
48,"136"
49,"118"
50,"140"
51,"118"
52,"133"
53,"141"
54,"116"
55,"116"
56,"144"
57,"105"
58,"150"
59,"126"
60,"124"
61,"124"
62,"113"
63,"129"
64,"118"
65,"114"
66,"109"
67,"105"
68,"111"
69,"117"
70,"138"
71,"151"
72,"158"
73,"195"
74,"209"
75,"183"
76,"205"
77,"184"
78,"154"
79,"174"
80,"163"
81,"192"
82,"287"
83,"459"
84,"647"
85,"772"
86,"886"
87,"846"
88,"703"
89,"587"
90,"379"
91,"283"
92,"168"
93,"165"
94,"120"
95,"128"
96,"120"
97,"121"
98,"133"
99,"151"
100,"134"
101,"151"
102,"122"
103,"130"
104,"130"
105,"120"
106,"116"
107,"131"
108,"107"
109,"130"
110,"146"
111,"170"
112,"178"
113,"197"
114,"215"
115,"225"
116,"243"
117,"229"
118,"198"
119,"186"
120,"151"
121,"184"
122,"160"
123,"197"
124,"206"
125,"227"
126,"266"
127,"376"
128,"574"
129,"746"
130,"1041"
131,"1383"
132,"1627"
133,"1986"
134,"1909"
135,"1800"
136,"1565"
137,"1402"
138,"1369"
139,"1312"
140,"1352"
141,"1448"
142,"1564"
143,"1502"
144,"1629"
145,"1795"
146,"1808"
147,"1783"
148,"1653"
149,"1352"
150,"987"
151,"729"
152,"505"
153,"382"
154,"318"
155,"310"
156,"412"
157,"467"
158,"533"
159,"815"
160,"1225"
161,"1834"
162,"2537"
163,"3055"
164,"3518"
165,"3499"
166,"3082"
167,"2436"
168,"1727"
169,"1112"
170,"595"
171,"418"
172,"298"
173,"263"
174,"332"
175,"433"
176,"563"
177,"700"
178,"754"
179,"770"
180,"774"
181,"725"
182,"728"
183,"681"
184,"548"
185,"501"
186,"386"
187,"308"
188,"280"
189,"210"
190,"179"
191,"157"
192,"179"
193,"175"
194,"177"
195,"204"
196,"215"
197,"206"
198,"232"
199,"201"
200,"239"
201,"230"
202,"211"
203,"203"
204,"179"
205,"193"
206,"181"
207,"189"
208,"175"
209,"195"
210,"226"
211,"209"
212,"215"
213,"199"
214,"227"
215,"237"
216,"227"
217,"265"
218,"266"
219,"319"
220,"405"
221,"457"
222,"530"
223,"561"
224,"583"
225,"567"
226,"490"
227,"429"
228,"324"
229,"296"
230,"268"
231,"275"
232,"248"
233,"229"
234,"230"
235,"246"
236,"258"
237,"261"
238,"296"
239,"298"
240,"288"
241,"300"
242,"324"
243,"329"
244,"321"
245,"319"
246,"301"
247,"282"
248,"293"
249,"283"
250,"287"
251,"264"
252,"269"
253,"274"
254,"258"
255,"295"
256,"286"
257,"284"
258,"324"
259,"287"
260,"277"
261,"251"
262,"305"
263,"311"
264,"280"
265,"306"
266,"286"
267,"305"
268,"311"
269,"319"
270,"330"
271,"324"
272,"337"
273,"317"
274,"312"
275,"334"
276,"365"
277,"348"
278,"331"
279,"368"
280,"359"
281,"377"
282,"420"
283,"449"
284,"408"
285,"406"
286,"427"
287,"396"
288,"415"
289,"417"
290,"433"
291,"388"
292,"405"
293,"375"
294,"364"
295,"382"
296,"371"
297,"383"
298,"344"
299,"402"
300,"341"
301,"330"
302,"391"
303,"376"
304,"390"
305,"394"
306,"391"
307,"435"
308,"441"
309,"573"
310,"649"
311,"895"
312,"1208"
313,"1586"
314,"2188"
315,"2871"
316,"3316"
317,"3654"
318,"3628"
319,"3447"
320,"3005"
321,"2408"
322,"1871"
323,"1352"
324,"1017"
325,"768"
326,"548"
327,"490"
328,"449"
329,"393"
330,"367"
331,"404"
332,"403"
333,"393"
334,"390"
335,"430"
336,"399"
337,"425"
338,"419"
339,"433"
340,"399"
341,"401"
342,"490"
343,"500"
344,"550"
345,"573"
346,"617"
347,"745"
348,"808"
349,"851"
350,"896"
351,"858"
352,"885"
353,"788"
354,"801"
355,"694"
356,"663"
357,"606"
358,"604"
359,"631"
360,"695"
361,"683"
362,"725"
363,"763"
364,"842"
365,"866"
366,"942"
367,"980"
368,"1053"
369,"1145"
370,"1194"
371,"1181"
372,"1130"
373,"1041"
374,"927"
375,"790"
376,"627"
377,"511"
378,"445"
379,"394"
380,"380"
381,"366"
382,"385"
383,"362"
384,"370"
385,"401"
386,"359"
387,"375"
388,"399"
389,"381"
390,"392"
391,"421"
392,"469"
393,"479"
394,"484"
395,"594"
396,"581"
397,"606"
398,"644"
399,"629"
400,"628"
401,"652"
402,"601"
403,"519"
404,"547"
405,"497"
406,"508"
407,"489"
408,"518"
409,"492"
410,"493"
411,"505"
412,"441"
413,"398"
414,"432"
415,"406"
416,"409"
417,"387"
418,"389"
419,"364"
420,"417"
421,"356"
422,"352"
423,"349"
424,"386"
425,"392"
426,"392"
427,"419"
428,"394"
429,"454"
430,"383"
431,"403"
432,"414"
433,"396"
434,"419"
435,"380"
436,"408"
437,"416"
438,"400"
439,"350"
440,"359"
441,"399"
442,"416"
443,"373"
444,"380"
445,"407"
446,"355"
447,"413"
448,"364"
449,"359"
450,"403"
451,"337"
452,"373"
453,"364"
454,"384"
455,"390"
456,"385"
457,"413"
458,"405"
459,"395"
460,"395"
461,"425"
462,"379"
463,"420"
464,"366"
465,"420"
466,"386"
467,"381"
468,"442"
469,"432"
470,"423"
471,"418"
472,"426"
473,"399"
474,"399"
475,"437"
476,"450"
477,"441"
478,"447"
479,"403"
480,"438"
481,"384"
482,"409"
483,"409"
484,"391"
485,"429"
486,"385"
487,"397"
488,"367"
489,"379"
490,"416"
491,"436"
492,"428"
493,"387"
494,"380"
495,"408"
496,"417"
497,"389"
498,"372"
499,"370"
500,"395"
501,"405"
502,"393"
503,"377"
504,"365"
505,"358"
506,"368"
507,"386"
508,"364"
509,"382"
510,"385"
511,"392"
512,"372"
513,"413"
514,"410"
515,"413"
516,"415"
517,"417"
518,"444"
519,"418"
520,"410"
521,"441"
522,"418"
523,"384"
524,"412"
525,"396"
526,"413"
527,"410"
528,"397"
529,"399"
530,"409"
531,"400"
532,"400"
533,"353"
534,"374"
535,"366"
536,"357"
537,"384"
538,"429"
539,"381"
540,"355"
541,"350"
542,"375"
543,"354"
544,"369"
545,"365"
546,"369"
547,"381"
548,"357"
549,"368"
550,"374"
551,"365"
552,"396"
553,"362"
554,"348"
555,"364"
556,"380"
557,"360"
558,"356"
559,"355"
560,"361"
561,"368"
562,"412"
563,"373"
564,"382"
565,"388"
566,"372"
567,"345"
568,"340"
569,"368"
570,"405"
571,"392"
572,"376"
573,"363"
574,"394"
575,"364"
576,"338"
577,"368"
578,"393"
579,"377"
580,"346"
581,"376"
582,"370"
583,"395"
584,"371"
585,"373"
586,"410"
587,"353"
588,"370"
589,"366"
590,"371"
591,"352"
592,"390"
593,"354"
594,"371"
595,"370"
596,"372"
597,"358"
598,"362"
599,"342"
600,"379"
601,"375"
602,"381"
603,"346"
604,"349"
605,"329"
606,"385"
607,"373"
608,"327"
609,"345"
610,"321"
611,"357"
612,"331"
613,"366"
614,"344"
615,"351"
616,"365"
617,"375"
618,"377"
619,"338"
620,"388"
621,"370"
622,"380"
623,"383"
624,"396"
625,"405"
626,"376"
627,"417"
628,"367"
629,"363"
630,"371"
631,"375"
632,"351"
633,"407"
634,"382"
635,"384"
636,"344"
637,"369"
638,"382"
639,"347"
640,"367"
641,"407"
642,"374"
643,"358"
644,"380"
645,"373"
646,"378"
647,"329"
648,"371"
649,"383"
650,"373"
651,"370"
652,"375"
653,"388"
654,"416"
655,"438"
656,"487"
657,"557"
658,"622"
659,"706"
660,"804"
661,"905"
662,"1081"
663,"1019"
664,"1101"
665,"1043"
666,"995"
667,"898"
668,"818"
669,"740"
670,"651"
671,"575"
672,"506"
673,"453"
674,"412"
675,"414"
676,"345"
677,"341"
678,"368"
679,"343"
680,"310"
681,"359"
682,"351"
683,"378"
684,"331"
685,"338"
686,"343"
687,"315"
688,"372"
689,"360"
690,"355"
691,"308"
692,"350"
693,"360"
694,"408"
695,"425"
696,"425"
697,"441"
698,"487"
699,"552"
700,"498"
701,"578"
702,"540"
703,"593"
704,"593"
705,"548"
706,"493"
707,"451"
708,"461"
709,"408"
710,"397"
711,"357"
712,"379"
713,"316"
714,"333"
715,"329"
716,"342"
717,"334"
718,"294"
719,"321"
720,"309"
721,"326"
722,"308"
723,"314"
724,"309"
725,"351"
726,"335"
727,"306"
728,"341"
729,"298"
730,"306"
731,"325"
732,"289"
733,"351"
734,"337"
735,"358"
736,"361"
737,"373"
738,"385"
739,"379"
740,"404"
741,"440"
742,"440"
743,"410"
744,"396"
745,"422"
746,"390"
747,"359"
748,"352"
749,"384"
750,"333"
751,"322"
752,"342"
753,"297"
754,"324"
755,"317"
756,"343"
757,"342"
758,"309"
759,"285"
760,"288"
761,"271"
762,"257"
763,"344"
764,"273"
765,"321"
766,"301"
767,"301"
768,"307"
769,"301"
770,"296"
771,"290"
772,"300"
773,"308"
774,"353"
775,"306"
776,"312"
777,"319"
778,"324"
779,"356"
780,"357"
781,"390"
782,"374"
783,"380"
784,"380"
785,"374"
786,"363"
787,"358"
788,"349"
789,"360"
790,"342"
791,"309"
792,"310"
793,"332"
794,"337"
795,"270"
796,"292"
797,"328"
798,"296"
799,"306"
800,"274"
801,"261"
802,"264"
803,"289"
804,"308"
805,"262"
806,"260"
807,"290"
808,"299"
809,"258"
810,"298"
811,"296"
812,"270"
813,"283"
814,"256"
815,"285"
816,"262"
817,"302"
818,"272"
819,"262"
820,"311"
821,"259"
822,"296"
823,"276"
824,"319"
825,"302"
826,"287"
827,"311"
828,"297"
829,"277"
830,"308"
831,"314"
832,"264"
833,"278"
834,"302"
835,"250"
836,"281"
837,"302"
838,"259"
839,"293"
840,"283"
841,"242"
842,"312"
843,"275"
844,"321"
845,"257"
846,"255"
847,"289"
848,"279"
849,"283"
850,"275"
851,"260"
852,"248"
853,"263"
854,"294"
855,"246"
856,"285"
857,"274"
858,"275"
859,"288"
860,"275"
861,"263"
862,"290"
863,"286"
864,"309"
865,"273"
866,"298"
867,"267"
868,"292"
869,"288"
870,"280"
871,"267"
872,"279"
873,"284"
874,"288"
875,"284"
876,"306"
877,"243"
878,"304"
879,"281"
880,"336"
881,"292"
882,"314"
883,"294"
884,"284"
885,"281"
886,"294"
887,"311"
888,"281"
889,"303"
890,"323"
891,"265"
892,"359"
893,"325"
894,"341"
895,"324"
896,"325"
897,"331"
898,"326"
899,"336"
900,"386"
901,"367"
902,"372"
903,"361"
904,"343"
905,"402"
906,"392"
907,"369"
908,"424"
909,"429"
910,"449"
911,"457"
912,"417"
913,"451"
914,"446"
915,"457"
916,"469"
917,"525"
918,"502"
919,"603"
920,"576"
921,"620"
922,"638"
923,"647"
924,"679"
925,"710"
926,"766"
927,"758"
928,"767"
929,"827"
930,"832"
931,"872"
932,"889"
933,"914"
934,"944"
935,"904"
936,"937"
937,"959"
938,"964"
939,"946"
940,"964"
941,"947"
942,"1013"
943,"950"
944,"941"
945,"881"
946,"815"
947,"869"
948,"869"
949,"777"
950,"784"
951,"785"
952,"719"
953,"642"
954,"651"
955,"638"
956,"628"
957,"585"
958,"576"
959,"548"
960,"544"
961,"522"
962,"470"
963,"461"
964,"454"
965,"419"
966,"416"
967,"419"
968,"391"
969,"362"
970,"364"
971,"364"
972,"361"
973,"303"
974,"317"
975,"295"
976,"318"
977,"300"
978,"315"
979,"310"
980,"282"
981,"294"
982,"299"
983,"302"
984,"288"
985,"277"
986,"318"
987,"289"
988,"324"
989,"331"
990,"328"
991,"350"
992,"351"
993,"403"
994,"460"
995,"497"
996,"514"
997,"530"
998,"591"
999,"614"
1000,"609"
1001,"639"
1002,"606"
1003,"641"
1004,"638"
1005,"571"
1006,"492"
1007,"511"
1008,"485"
1009,"415"
1010,"394"
1011,"364"
1012,"311"
1013,"294"
1014,"285"
1015,"240"
1016,"286"
1017,"256"
1018,"254"
1019,"219"
1020,"269"
1021,"226"
1022,"260"
1023,"253"
1024,"258"
1025,"205"
1026,"253"
1027,"257"
1028,"296"
1029,"284"
1030,"279"
1031,"275"
1032,"297"
1033,"266"
1034,"296"
1035,"300"
1036,"304"
1037,"314"
1038,"390"
1039,"346"
1040,"363"
1041,"396"
1042,"379"
1043,"434"
1044,"431"
1045,"454"
1046,"447"
1047,"447"
1048,"442"
1049,"505"
1050,"472"
1051,"470"
1052,"429"
1053,"451"
1054,"432"
1055,"410"
1056,"408"
1057,"345"
1058,"376"
1059,"312"
1060,"338"
1061,"307"
1062,"282"
1063,"294"
1064,"266"
1065,"293"
1066,"278"
1067,"258"
1068,"230"
1069,"267"
1070,"262"
1071,"224"
1072,"242"
1073,"243"
1074,"265"
1075,"244"
1076,"256"
1077,"222"
1078,"239"
1079,"219"
1080,"193"
1081,"212"
1082,"212"
1083,"201"
1084,"207"
1085,"204"
1086,"223"
1087,"183"
1088,"175"
1089,"186"
1090,"187"
1091,"197"
1092,"204"
1093,"173"
1094,"179"
1095,"185"
1096,"211"
1097,"181"
1098,"171"
1099,"170"
1100,"163"
1101,"168"
1102,"170"
1103,"162"
1104,"175"
1105,"173"
1106,"176"
1107,"182"
1108,"170"
1109,"181"
1110,"140"
1111,"178"
1112,"154"
1113,"167"
1114,"171"
1115,"152"
1116,"167"
1117,"146"
1118,"170"
1119,"178"
1120,"171"
1121,"208"
1122,"205"
1123,"216"
1124,"196"
1125,"203"
1126,"252"
1127,"192"
1128,"206"
1129,"243"
1130,"226"
1131,"217"
1132,"219"
1133,"195"
1134,"180"
1135,"179"
1136,"174"
1137,"173"
1138,"168"
1139,"171"
1140,"180"
1141,"152"
1142,"151"
1143,"140"
1144,"174"
1145,"156"
1146,"167"
1147,"150"
1148,"166"
1149,"186"
1150,"168"
1151,"132"
1152,"171"
1153,"175"
1154,"146"
1155,"170"
1156,"139"
1157,"152"
1158,"169"
1159,"154"
1160,"140"
1161,"127"
1162,"178"
1163,"144"
1164,"162"
1165,"150"
1166,"153"
1167,"143"
1168,"135"
1169,"159"
1170,"160"
1171,"136"
1172,"138"
1173,"148"
1174,"155"
1175,"137"
1176,"132"
1177,"196"
1178,"172"
1179,"165"
1180,"175"
1181,"170"
1182,"166"
1183,"157"
1184,"179"
1185,"140"
1186,"113"
1187,"166"
1188,"151"
1189,"146"
1190,"170"
1191,"140"
1192,"131"
1193,"145"
1194,"127"
1195,"141"
1196,"161"
1197,"135"
1198,"135"
1199,"146"
1200,"129"
1201,"138"
1202,"138"
1203,"111"
1204,"119"
1205,"158"
1206,"152"
1207,"139"
1208,"141"
1209,"154"
1210,"144"
1211,"139"
1212,"122"
1213,"125"
1214,"152"
1215,"138"
1216,"135"
1217,"142"
1218,"130"
1219,"139"
1220,"124"
1221,"123"
1222,"104"
1223,"116"
1224,"127"
1225,"124"
1226,"111"
1227,"136"
1228,"134"
1229,"117"
1230,"140"
1231,"110"
1232,"138"
1233,"104"
1234,"125"
1235,"104"
1236,"120"
1237,"119"
1238,"122"
1239,"112"
1240,"144"
1241,"105"
