Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L3-2C -1phi 0"
Duration Time,60.161
Ambient Temperature,"96.0"
Detector Temperature,"-15.5"
Valid Accumulated Counts,"547584"
Raw Accumulated Counts,"564606"
Valid Count Last Packet,"8500"
Raw Count Last Packet,"8774"
Live Time,58.821964
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.7946
Number of Channels,2048
Vacuum,762
Channel#,Intensity
0,"1821"
1,"1448"
2,"962"
3,"508"
4,"213"
5,"63"
6,"28"
7,"7"
8,"0"
9,"0"
10,"0"
11,"0"
12,"1"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"1"
22,"29"
23,"81"
24,"138"
25,"152"
26,"171"
27,"150"
28,"150"
29,"155"
30,"116"
31,"129"
32,"146"
33,"155"
34,"139"
35,"133"
36,"143"
37,"135"
38,"118"
39,"141"
40,"118"
41,"145"
42,"120"
43,"127"
44,"141"
45,"141"
46,"154"
47,"142"
48,"130"
49,"134"
50,"130"
51,"126"
52,"124"
53,"123"
54,"104"
55,"117"
56,"149"
57,"122"
58,"126"
59,"107"
60,"132"
61,"122"
62,"143"
63,"123"
64,"126"
65,"90"
66,"127"
67,"102"
68,"100"
69,"106"
70,"119"
71,"117"
72,"140"
73,"136"
74,"156"
75,"168"
76,"143"
77,"129"
78,"149"
79,"116"
80,"161"
81,"191"
82,"246"
83,"344"
84,"521"
85,"624"
86,"678"
87,"652"
88,"583"
89,"406"
90,"327"
91,"244"
92,"179"
93,"133"
94,"117"
95,"115"
96,"110"
97,"139"
98,"125"
99,"111"
100,"110"
101,"120"
102,"109"
103,"113"
104,"90"
105,"115"
106,"90"
107,"84"
108,"117"
109,"119"
110,"138"
111,"156"
112,"154"
113,"208"
114,"206"
115,"203"
116,"186"
117,"200"
118,"207"
119,"167"
120,"196"
121,"179"
122,"190"
123,"166"
124,"186"
125,"233"
126,"259"
127,"376"
128,"503"
129,"758"
130,"1028"
131,"1361"
132,"1609"
133,"1906"
134,"1969"
135,"1859"
136,"1666"
137,"1394"
138,"1289"
139,"1275"
140,"1363"
141,"1446"
142,"1464"
143,"1538"
144,"1610"
145,"1776"
146,"1848"
147,"1812"
148,"1592"
149,"1295"
150,"967"
151,"699"
152,"474"
153,"341"
154,"274"
155,"298"
156,"319"
157,"379"
158,"429"
159,"470"
160,"643"
161,"853"
162,"1130"
163,"1293"
164,"1429"
165,"1456"
166,"1291"
167,"1031"
168,"735"
169,"535"
170,"335"
171,"228"
172,"193"
173,"206"
174,"235"
175,"258"
176,"316"
177,"388"
178,"400"
179,"433"
180,"466"
181,"489"
182,"493"
183,"466"
184,"478"
185,"388"
186,"332"
187,"273"
188,"220"
189,"186"
190,"190"
191,"169"
192,"168"
193,"149"
194,"199"
195,"181"
196,"207"
197,"184"
198,"222"
199,"218"
200,"235"
201,"196"
202,"200"
203,"189"
204,"193"
205,"181"
206,"178"
207,"194"
208,"190"
209,"206"
210,"203"
211,"229"
212,"223"
213,"230"
214,"220"
215,"230"
216,"222"
217,"249"
218,"237"
219,"258"
220,"262"
221,"359"
222,"400"
223,"386"
224,"396"
225,"383"
226,"337"
227,"335"
228,"298"
229,"276"
230,"228"
231,"241"
232,"259"
233,"240"
234,"260"
235,"240"
236,"242"
237,"294"
238,"270"
239,"285"
240,"303"
241,"307"
242,"280"
243,"280"
244,"290"
245,"289"
246,"293"
247,"239"
248,"251"
249,"271"
250,"273"
251,"263"
252,"264"
253,"246"
254,"278"
255,"267"
256,"238"
257,"272"
258,"292"
259,"291"
260,"265"
261,"275"
262,"275"
263,"250"
264,"306"
265,"279"
266,"298"
267,"310"
268,"325"
269,"329"
270,"321"
271,"330"
272,"324"
273,"373"
274,"349"
275,"363"
276,"341"
277,"380"
278,"339"
279,"355"
280,"376"
281,"364"
282,"384"
283,"352"
284,"316"
285,"359"
286,"333"
287,"335"
288,"347"
289,"373"
290,"354"
291,"384"
292,"397"
293,"392"
294,"369"
295,"413"
296,"390"
297,"366"
298,"358"
299,"381"
300,"411"
301,"411"
302,"415"
303,"412"
304,"448"
305,"429"
306,"478"
307,"448"
308,"511"
309,"556"
310,"624"
311,"703"
312,"909"
313,"1172"
314,"1442"
315,"1775"
316,"2030"
317,"2193"
318,"2227"
319,"2040"
320,"1813"
321,"1442"
322,"1121"
323,"883"
324,"635"
325,"566"
326,"463"
327,"415"
328,"416"
329,"412"
330,"418"
331,"375"
332,"386"
333,"442"
334,"395"
335,"400"
336,"395"
337,"372"
338,"382"
339,"438"
340,"367"
341,"455"
342,"474"
343,"493"
344,"501"
345,"519"
346,"577"
347,"632"
348,"679"
349,"723"
350,"751"
351,"756"
352,"792"
353,"744"
354,"674"
355,"635"
356,"648"
357,"668"
358,"643"
359,"671"
360,"691"
361,"768"
362,"749"
363,"765"
364,"835"
365,"863"
366,"938"
367,"938"
368,"1033"
369,"1061"
370,"1137"
371,"1053"
372,"1020"
373,"943"
374,"838"
375,"727"
376,"632"
377,"565"
378,"464"
379,"405"
380,"406"
381,"411"
382,"375"
383,"346"
384,"377"
385,"352"
386,"354"
387,"379"
388,"352"
389,"404"
390,"378"
391,"405"
392,"420"
393,"433"
394,"476"
395,"504"
396,"566"
397,"639"
398,"588"
399,"607"
400,"666"
401,"629"
402,"619"
403,"603"
404,"621"
405,"595"
406,"682"
407,"718"
408,"771"
409,"849"
410,"850"
411,"824"
412,"847"
413,"813"
414,"835"
415,"716"
416,"590"
417,"643"
418,"532"
419,"463"
420,"443"
421,"445"
422,"423"
423,"444"
424,"420"
425,"460"
426,"470"
427,"445"
428,"412"
429,"443"
430,"413"
431,"472"
432,"452"
433,"416"
434,"481"
435,"435"
436,"425"
437,"446"
438,"409"
439,"459"
440,"458"
441,"445"
442,"465"
443,"525"
444,"472"
445,"460"
446,"437"
447,"448"
448,"473"
449,"428"
450,"410"
451,"456"
452,"417"
453,"383"
454,"429"
455,"396"
456,"422"
457,"431"
458,"417"
459,"453"
460,"439"
461,"419"
462,"447"
463,"435"
464,"399"
465,"437"
466,"432"
467,"429"
468,"411"
469,"393"
470,"384"
471,"397"
472,"415"
473,"383"
474,"388"
475,"398"
476,"374"
477,"411"
478,"379"
479,"404"
480,"397"
481,"399"
482,"388"
483,"380"
484,"413"
485,"429"
486,"420"
487,"449"
488,"465"
489,"486"
490,"447"
491,"465"
492,"452"
493,"474"
494,"444"
495,"501"
496,"468"
497,"486"
498,"441"
499,"428"
500,"403"
501,"398"
502,"406"
503,"416"
504,"415"
505,"407"
506,"411"
507,"377"
508,"418"
509,"386"
510,"395"
511,"377"
512,"409"
513,"411"
514,"411"
515,"404"
516,"396"
517,"442"
518,"448"
519,"451"
520,"441"
521,"428"
522,"442"
523,"425"
524,"369"
525,"422"
526,"437"
527,"410"
528,"427"
529,"443"
530,"401"
531,"394"
532,"359"
533,"408"
534,"389"
535,"364"
536,"370"
537,"365"
538,"393"
539,"393"
540,"405"
541,"424"
542,"405"
543,"391"
544,"391"
545,"384"
546,"391"
547,"411"
548,"374"
549,"405"
550,"415"
551,"409"
552,"403"
553,"395"
554,"392"
555,"461"
556,"444"
557,"429"
558,"417"
559,"443"
560,"449"
561,"436"
562,"435"
563,"447"
564,"433"
565,"410"
566,"405"
567,"426"
568,"434"
569,"406"
570,"400"
571,"398"
572,"419"
573,"418"
574,"396"
575,"380"
576,"423"
577,"378"
578,"416"
579,"373"
580,"378"
581,"386"
582,"365"
583,"417"
584,"406"
585,"363"
586,"373"
587,"426"
588,"378"
589,"397"
590,"429"
591,"360"
592,"378"
593,"381"
594,"390"
595,"424"
596,"427"
597,"375"
598,"407"
599,"362"
600,"417"
601,"383"
602,"374"
603,"380"
604,"381"
605,"378"
606,"404"
607,"392"
608,"400"
609,"380"
610,"390"
611,"383"
612,"368"
613,"391"
614,"367"
615,"420"
616,"383"
617,"380"
618,"388"
619,"405"
620,"372"
621,"418"
622,"442"
623,"403"
624,"424"
625,"443"
626,"420"
627,"419"
628,"413"
629,"383"
630,"439"
631,"395"
632,"420"
633,"398"
634,"422"
635,"396"
636,"405"
637,"424"
638,"369"
639,"383"
640,"399"
641,"380"
642,"378"
643,"387"
644,"405"
645,"378"
646,"390"
647,"409"
648,"414"
649,"389"
650,"427"
651,"401"
652,"419"
653,"440"
654,"424"
655,"479"
656,"462"
657,"544"
658,"555"
659,"528"
660,"604"
661,"615"
662,"618"
663,"616"
664,"640"
665,"629"
666,"613"
667,"561"
668,"552"
669,"531"
670,"501"
671,"444"
672,"408"
673,"421"
674,"400"
675,"379"
676,"403"
677,"392"
678,"394"
679,"405"
680,"407"
681,"407"
682,"369"
683,"388"
684,"374"
685,"401"
686,"362"
687,"341"
688,"380"
689,"390"
690,"357"
691,"375"
692,"392"
693,"394"
694,"407"
695,"402"
696,"399"
697,"415"
698,"403"
699,"444"
700,"428"
701,"428"
702,"423"
703,"414"
704,"419"
705,"433"
706,"418"
707,"412"
708,"433"
709,"415"
710,"384"
711,"343"
712,"343"
713,"380"
714,"327"
715,"361"
716,"321"
717,"333"
718,"363"
719,"394"
720,"363"
721,"357"
722,"336"
723,"338"
724,"360"
725,"330"
726,"350"
727,"358"
728,"376"
729,"344"
730,"331"
731,"354"
732,"376"
733,"340"
734,"387"
735,"365"
736,"385"
737,"349"
738,"353"
739,"382"
740,"404"
741,"401"
742,"378"
743,"371"
744,"441"
745,"405"
746,"360"
747,"372"
748,"362"
749,"383"
750,"351"
751,"354"
752,"321"
753,"359"
754,"338"
755,"353"
756,"373"
757,"318"
758,"377"
759,"405"
760,"363"
761,"359"
762,"342"
763,"363"
764,"338"
765,"340"
766,"321"
767,"318"
768,"355"
769,"355"
770,"368"
771,"374"
772,"355"
773,"366"
774,"372"
775,"396"
776,"373"
777,"385"
778,"375"
779,"436"
780,"402"
781,"424"
782,"435"
783,"396"
784,"420"
785,"433"
786,"421"
787,"400"
788,"333"
789,"391"
790,"337"
791,"346"
792,"345"
793,"383"
794,"341"
795,"346"
796,"362"
797,"353"
798,"327"
799,"318"
800,"307"
801,"329"
802,"310"
803,"338"
804,"339"
805,"307"
806,"363"
807,"351"
808,"336"
809,"343"
810,"316"
811,"356"
812,"373"
813,"321"
814,"336"
815,"293"
816,"354"
817,"352"
818,"354"
819,"336"
820,"330"
821,"356"
822,"318"
823,"326"
824,"348"
825,"313"
826,"312"
827,"379"
828,"334"
829,"312"
830,"337"
831,"360"
832,"355"
833,"381"
834,"308"
835,"341"
836,"365"
837,"356"
838,"334"
839,"350"
840,"354"
841,"358"
842,"370"
843,"342"
844,"327"
845,"352"
846,"346"
847,"351"
848,"345"
849,"310"
850,"372"
851,"335"
852,"347"
853,"386"
854,"318"
855,"323"
856,"350"
857,"312"
858,"349"
859,"359"
860,"309"
861,"368"
862,"350"
863,"335"
864,"330"
865,"311"
866,"372"
867,"351"
868,"318"
869,"310"
870,"328"
871,"322"
872,"331"
873,"362"
874,"352"
875,"384"
876,"355"
877,"343"
878,"345"
879,"359"
880,"358"
881,"367"
882,"371"
883,"364"
884,"356"
885,"342"
886,"394"
887,"359"
888,"405"
889,"373"
890,"411"
891,"389"
892,"405"
893,"357"
894,"411"
895,"418"
896,"414"
897,"404"
898,"393"
899,"400"
900,"430"
901,"449"
902,"434"
903,"490"
904,"457"
905,"490"
906,"426"
907,"468"
908,"511"
909,"514"
910,"505"
911,"545"
912,"546"
913,"572"
914,"564"
915,"595"
916,"679"
917,"661"
918,"710"
919,"709"
920,"764"
921,"734"
922,"784"
923,"849"
924,"868"
925,"919"
926,"941"
927,"992"
928,"1046"
929,"1048"
930,"1083"
931,"1140"
932,"1125"
933,"1074"
934,"1195"
935,"1187"
936,"1182"
937,"1131"
938,"1178"
939,"1126"
940,"1160"
941,"1180"
942,"1177"
943,"1130"
944,"1139"
945,"1062"
946,"987"
947,"992"
948,"950"
949,"971"
950,"890"
951,"885"
952,"792"
953,"811"
954,"792"
955,"764"
956,"669"
957,"673"
958,"668"
959,"624"
960,"604"
961,"611"
962,"566"
963,"588"
964,"529"
965,"525"
966,"476"
967,"489"
968,"483"
969,"475"
970,"421"
971,"414"
972,"431"
973,"415"
974,"382"
975,"406"
976,"373"
977,"385"
978,"380"
979,"371"
980,"352"
981,"332"
982,"317"
983,"354"
984,"332"
985,"332"
986,"354"
987,"345"
988,"377"
989,"363"
990,"409"
991,"416"
992,"477"
993,"447"
994,"496"
995,"557"
996,"598"
997,"598"
998,"686"
999,"700"
1000,"749"
1001,"711"
1002,"753"
1003,"643"
1004,"660"
1005,"615"
1006,"641"
1007,"598"
1008,"520"
1009,"485"
1010,"419"
1011,"450"
1012,"389"
1013,"379"
1014,"318"
1015,"318"
1016,"295"
1017,"294"
1018,"295"
1019,"297"
1020,"304"
1021,"318"
1022,"309"
1023,"324"
1024,"313"
1025,"314"
1026,"325"
1027,"306"
1028,"308"
1029,"312"
1030,"319"
1031,"319"
1032,"336"
1033,"354"
1034,"422"
1035,"400"
1036,"401"
1037,"391"
1038,"412"
1039,"437"
1040,"493"
1041,"479"
1042,"476"
1043,"533"
1044,"584"
1045,"556"
1046,"527"
1047,"562"
1048,"567"
1049,"570"
1050,"535"
1051,"543"
1052,"554"
1053,"549"
1054,"529"
1055,"517"
1056,"466"
1057,"484"
1058,"418"
1059,"406"
1060,"381"
1061,"400"
1062,"361"
1063,"369"
1064,"366"
1065,"336"
1066,"313"
1067,"354"
1068,"321"
1069,"313"
1070,"294"
1071,"288"
1072,"265"
1073,"317"
1074,"251"
1075,"267"
1076,"260"
1077,"263"
1078,"252"
1079,"273"
1080,"256"
1081,"230"
1082,"241"
1083,"255"
1084,"244"
1085,"218"
1086,"240"
1087,"250"
1088,"251"
1089,"246"
1090,"230"
1091,"209"
1092,"233"
1093,"201"
1094,"230"
1095,"214"
1096,"234"
1097,"237"
1098,"244"
1099,"209"
1100,"239"
1101,"181"
1102,"235"
1103,"199"
1104,"200"
1105,"215"
1106,"221"
1107,"217"
1108,"186"
1109,"219"
1110,"213"
1111,"199"
1112,"187"
1113,"205"
1114,"215"
1115,"216"
1116,"210"
1117,"208"
1118,"240"
1119,"214"
1120,"199"
1121,"226"
1122,"210"
1123,"241"
1124,"246"
1125,"256"
1126,"257"
1127,"232"
1128,"246"
1129,"251"
1130,"233"
1131,"261"
1132,"223"
1133,"233"
1134,"207"
1135,"194"
1136,"217"
1137,"179"
1138,"209"
1139,"172"
1140,"205"
1141,"170"
1142,"188"
1143,"183"
1144,"207"
1145,"205"
1146,"217"
1147,"201"
1148,"178"
1149,"192"
1150,"181"
1151,"178"
1152,"202"
1153,"200"
1154,"186"
1155,"170"
1156,"175"
1157,"183"
1158,"181"
1159,"174"
1160,"193"
1161,"184"
1162,"169"
1163,"172"
1164,"178"
1165,"170"
1166,"179"
1167,"177"
1168,"165"
1169,"192"
1170,"204"
1171,"166"
1172,"180"
1173,"174"
1174,"167"
1175,"171"
1176,"187"
1177,"201"
1178,"172"
1179,"222"
1180,"196"
1181,"213"
1182,"199"
1183,"211"
1184,"192"
1185,"205"
1186,"197"
1187,"200"
1188,"187"
1189,"170"
1190,"178"
1191,"158"
1192,"173"
1193,"148"
1194,"174"
1195,"169"
1196,"156"
1197,"172"
1198,"153"
1199,"160"
1200,"179"
1201,"181"
1202,"156"
1203,"175"
1204,"164"
1205,"159"
1206,"181"
1207,"154"
1208,"137"
1209,"152"
1210,"163"
1211,"161"
1212,"133"
1213,"168"
1214,"168"
1215,"144"
1216,"144"
1217,"170"
1218,"172"
1219,"165"
1220,"156"
1221,"161"
1222,"159"
1223,"164"
1224,"167"
1225,"141"
1226,"132"
1227,"149"
1228,"157"
1229,"136"
1230,"141"
1231,"143"
1232,"148"
1233,"132"
1234,"142"
1235,"181"
1236,"133"
1237,"153"
1238,"138"
1239,"133"
1240,"139"
1241,"137"
1242,"147"
1243,"142"
1244,"138"
1245,"169"
1246,"146"
1247,"162"
1248,"163"
1249,"157"
1250,"148"
1251,"166"
1252,"143"
1253,"152"
1254,"121"
1255,"172"
1256,"167"
1257,"178"
1258,"145"
1259,"134"
1260,"132"
1261,"155"
1262,"140"
1263,"144"
1264,"129"
1265,"139"
1266,"140"
1267,"151"
1268,"136"
1269,"150"
1270,"131"
1271,"138"
1272,"140"
1273,"123"
1274,"135"
1275,"119"
1276,"124"
1277,"121"
1278,"115"
1279,"137"
1280,"122"
1281,"127"
1282,"134"
1283,"142"
1284,"124"
1285,"146"
1286,"127"
1287,"147"
1288,"123"
1289,"125"
1290,"137"
1291,"122"
1292,"136"
1293,"131"
1294,"118"
1295,"119"
1296,"133"
1297,"125"
1298,"133"
1299,"111"
1300,"115"
1301,"117"
1302,"132"
1303,"119"
1304,"147"
1305,"148"
1306,"132"
1307,"125"
1308,"137"
1309,"130"
1310,"129"
1311,"118"
1312,"110"
1313,"114"
1314,"131"
1315,"120"
1316,"120"
1317,"120"
1318,"141"
1319,"114"
1320,"148"
1321,"104"
1322,"112"
1323,"132"
1324,"130"
1325,"120"
1326,"135"
1327,"121"
1328,"113"
1329,"103"
1330,"107"
1331,"108"
1332,"117"
1333,"106"
1334,"123"
1335,"121"
1336,"105"
1337,"106"
1338,"94"
1339,"110"
1340,"108"
1341,"118"
1342,"111"
1343,"112"
1344,"104"
1345,"92"
1346,"98"
1347,"104"
1348,"115"
1349,"108"
1350,"100"
1351,"104"
1352,"102"
1353,"103"
1354,"108"
1355,"104"
1356,"106"
1357,"94"
1358,"114"
1359,"117"
1360,"115"
1361,"106"
1362,"96"
1363,"120"
1364,"128"
1365,"102"
1366,"115"
1367,"95"
1368,"82"
1369,"98"
1370,"114"
1371,"89"
1372,"95"
1373,"97"
1374,"85"
1375,"90"
1376,"101"
1377,"91"
1378,"116"
1379,"86"
1380,"94"
1381,"88"
1382,"95"
1383,"85"
1384,"97"
1385,"91"
1386,"98"
1387,"88"
1388,"91"
1389,"93"
1390,"102"
1391,"91"
1392,"107"
1393,"95"
1394,"83"
1395,"111"
1396,"91"
1397,"101"
1398,"103"
1399,"101"
1400,"74"
1401,"80"
1402,"89"
1403,"86"
1404,"99"
1405,"78"
1406,"83"
1407,"81"
1408,"78"
1409,"106"
1410,"96"
1411,"80"
1412,"102"
1413,"81"
1414,"73"
1415,"92"
1416,"89"
1417,"76"
1418,"91"
1419,"90"
1420,"101"
1421,"60"
1422,"83"
1423,"81"
1424,"91"
1425,"94"
1426,"78"
