Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L2-3D -1phi 0"
Duration Time,60.073
Ambient Temperature,"102.6"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"799800"
Raw Accumulated Counts,"830888"
Valid Count Last Packet,"12306"
Raw Count Last Packet,"12781"
Live Time,58.129005
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.0874
Number of Channels,2048
Vacuum,762
Channel#,Intensity
0,"1849"
1,"1399"
2,"937"
3,"482"
4,"233"
5,"81"
6,"22"
7,"2"
8,"2"
9,"1"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"7"
22,"27"
23,"98"
24,"176"
25,"207"
26,"199"
27,"176"
28,"194"
29,"182"
30,"167"
31,"193"
32,"178"
33,"167"
34,"164"
35,"154"
36,"171"
37,"166"
38,"170"
39,"145"
40,"130"
41,"139"
42,"144"
43,"163"
44,"147"
45,"169"
46,"180"
47,"179"
48,"178"
49,"152"
50,"170"
51,"146"
52,"151"
53,"141"
54,"143"
55,"168"
56,"148"
57,"143"
58,"168"
59,"153"
60,"164"
61,"145"
62,"133"
63,"119"
64,"123"
65,"130"
66,"142"
67,"125"
68,"122"
69,"139"
70,"193"
71,"169"
72,"203"
73,"207"
74,"237"
75,"217"
76,"202"
77,"207"
78,"181"
79,"169"
80,"200"
81,"261"
82,"313"
83,"482"
84,"693"
85,"899"
86,"1075"
87,"1018"
88,"922"
89,"653"
90,"449"
91,"332"
92,"238"
93,"181"
94,"157"
95,"122"
96,"148"
97,"169"
98,"151"
99,"175"
100,"157"
101,"149"
102,"142"
103,"120"
104,"137"
105,"127"
106,"121"
107,"137"
108,"140"
109,"157"
110,"154"
111,"176"
112,"212"
113,"245"
114,"285"
115,"222"
116,"266"
117,"260"
118,"218"
119,"204"
120,"202"
121,"173"
122,"169"
123,"213"
124,"256"
125,"246"
126,"294"
127,"372"
128,"539"
129,"729"
130,"999"
131,"1375"
132,"1720"
133,"2058"
134,"1977"
135,"1958"
136,"1739"
137,"1537"
138,"1394"
139,"1342"
140,"1322"
141,"1371"
142,"1502"
143,"1599"
144,"1686"
145,"1751"
146,"1757"
147,"1790"
148,"1614"
149,"1387"
150,"1060"
151,"777"
152,"520"
153,"443"
154,"350"
155,"288"
156,"333"
157,"443"
158,"480"
159,"689"
160,"944"
161,"1308"
162,"1843"
163,"2284"
164,"2622"
165,"2627"
166,"2413"
167,"2036"
168,"1456"
169,"968"
170,"587"
171,"387"
172,"311"
173,"259"
174,"276"
175,"388"
176,"441"
177,"582"
178,"668"
179,"742"
180,"744"
181,"868"
182,"840"
183,"867"
184,"787"
185,"694"
186,"564"
187,"449"
188,"352"
189,"240"
190,"223"
191,"191"
192,"206"
193,"209"
194,"193"
195,"246"
196,"242"
197,"268"
198,"271"
199,"296"
200,"293"
201,"278"
202,"257"
203,"260"
204,"209"
205,"245"
206,"209"
207,"229"
208,"224"
209,"217"
210,"236"
211,"243"
212,"232"
213,"220"
214,"214"
215,"276"
216,"277"
217,"315"
218,"390"
219,"436"
220,"501"
221,"635"
222,"727"
223,"851"
224,"963"
225,"878"
226,"805"
227,"689"
228,"582"
229,"480"
230,"438"
231,"403"
232,"361"
233,"358"
234,"380"
235,"295"
236,"338"
237,"310"
238,"333"
239,"340"
240,"327"
241,"358"
242,"402"
243,"404"
244,"405"
245,"444"
246,"397"
247,"431"
248,"344"
249,"385"
250,"349"
251,"336"
252,"333"
253,"333"
254,"335"
255,"332"
256,"332"
257,"338"
258,"341"
259,"364"
260,"335"
261,"376"
262,"365"
263,"382"
264,"360"
265,"420"
266,"416"
267,"400"
268,"398"
269,"407"
270,"389"
271,"362"
272,"446"
273,"371"
274,"395"
275,"391"
276,"424"
277,"400"
278,"413"
279,"404"
280,"387"
281,"396"
282,"418"
283,"413"
284,"440"
285,"463"
286,"439"
287,"514"
288,"556"
289,"522"
290,"556"
291,"583"
292,"586"
293,"564"
294,"594"
295,"588"
296,"539"
297,"508"
298,"555"
299,"477"
300,"507"
301,"544"
302,"532"
303,"520"
304,"535"
305,"557"
306,"613"
307,"736"
308,"854"
309,"1228"
310,"1904"
311,"3016"
312,"4913"
313,"7709"
314,"11224"
315,"15293"
316,"19384"
317,"22043"
318,"23489"
319,"22430"
320,"20132"
321,"16293"
322,"12142"
323,"8266"
324,"5378"
325,"3371"
326,"1857"
327,"1190"
328,"766"
329,"591"
330,"530"
331,"558"
332,"518"
333,"516"
334,"526"
335,"531"
336,"588"
337,"576"
338,"529"
339,"566"
340,"599"
341,"693"
342,"757"
343,"962"
344,"1171"
345,"1490"
346,"2013"
347,"2573"
348,"3089"
349,"3633"
350,"3899"
351,"3862"
352,"3743"
353,"3307"
354,"2743"
355,"2321"
356,"1688"
357,"1323"
358,"1029"
359,"885"
360,"841"
361,"794"
362,"847"
