Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L3-5A -1phi 2"
Duration Time,60.022
Ambient Temperature,"83.7"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"706488"
Raw Accumulated Counts,"732206"
Valid Count Last Packet,"10788"
Raw Count Last Packet,"11163"
Live Time,58.279984
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.8167
Number of Channels,2048
Vacuum,758
Channel#,Intensity
0,"1761"
1,"1489"
2,"896"
3,"498"
4,"188"
5,"65"
6,"17"
7,"8"
8,"0"
9,"0"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"1"
20,"0"
21,"7"
22,"44"
23,"128"
24,"203"
25,"175"
26,"198"
27,"205"
28,"206"
29,"181"
30,"186"
31,"186"
32,"173"
33,"174"
34,"172"
35,"153"
36,"162"
37,"166"
38,"178"
39,"162"
40,"157"
41,"176"
42,"154"
43,"158"
44,"158"
45,"166"
46,"163"
47,"187"
48,"173"
49,"192"
50,"149"
51,"155"
52,"168"
53,"158"
54,"181"
55,"159"
56,"144"
57,"162"
58,"152"
59,"156"
60,"171"
61,"173"
62,"138"
63,"139"
64,"124"
65,"129"
66,"149"
67,"152"
68,"149"
69,"151"
70,"168"
71,"207"
72,"187"
73,"217"
74,"198"
75,"219"
76,"196"
77,"202"
78,"185"
79,"181"
80,"240"
81,"358"
82,"541"
83,"866"
84,"1242"
85,"1587"
86,"1691"
87,"1667"
88,"1393"
89,"987"
90,"642"
91,"423"
92,"271"
93,"222"
94,"148"
95,"142"
96,"145"
97,"131"
98,"128"
99,"139"
100,"113"
101,"130"
102,"113"
103,"108"
104,"136"
105,"111"
106,"129"
107,"134"
108,"141"
109,"136"
110,"172"
111,"134"
112,"195"
113,"218"
114,"212"
115,"223"
116,"195"
117,"232"
118,"197"
119,"207"
120,"185"
121,"201"
122,"223"
123,"215"
124,"219"
125,"250"
126,"292"
127,"378"
128,"494"
129,"741"
130,"1068"
131,"1314"
132,"1665"
133,"1828"
134,"1872"
135,"1742"
136,"1581"
137,"1413"
138,"1337"
139,"1254"
140,"1301"
141,"1464"
142,"1496"
143,"1435"
144,"1587"
145,"1785"
146,"1763"
147,"1736"
148,"1585"
149,"1245"
150,"959"
151,"650"
152,"503"
153,"358"
154,"350"
155,"321"
156,"359"
157,"410"
158,"551"
159,"774"
160,"1066"
161,"1481"
162,"1982"
163,"2437"
164,"2646"
165,"2638"
166,"2338"
167,"1847"
168,"1273"
169,"805"
170,"499"
171,"303"
172,"253"
173,"276"
174,"311"
175,"381"
176,"448"
177,"549"
178,"585"
179,"677"
180,"644"
181,"659"
182,"636"
183,"646"
184,"488"
185,"498"
186,"398"
187,"308"
188,"239"
189,"195"
190,"213"
191,"200"
192,"202"
193,"197"
194,"201"
195,"200"
196,"194"
197,"214"
198,"223"
199,"248"
200,"237"
201,"227"
202,"236"
203,"198"
204,"196"
205,"192"
206,"171"
207,"220"
208,"215"
209,"209"
210,"192"
211,"228"
212,"211"
213,"187"
214,"216"
215,"226"
216,"266"
217,"243"
218,"288"
219,"318"
220,"390"
221,"498"
222,"525"
223,"578"
224,"577"
225,"556"
226,"497"
227,"478"
228,"424"
229,"348"
230,"359"
231,"375"
232,"320"
233,"316"
234,"291"
235,"278"
236,"269"
237,"262"
238,"317"
239,"329"
240,"318"
241,"343"
242,"324"
243,"339"
244,"366"
245,"350"
246,"353"
247,"386"
248,"382"
249,"388"
250,"417"
251,"385"
252,"456"
253,"468"
254,"424"
255,"438"
256,"412"
257,"414"
258,"390"
259,"394"
260,"354"
261,"357"
262,"306"
263,"330"
264,"294"
265,"310"
266,"306"
267,"335"
268,"324"
269,"328"
270,"325"
271,"322"
272,"321"
273,"306"
274,"344"
275,"349"
276,"361"
277,"347"
278,"372"
279,"357"
280,"323"
281,"348"
282,"336"
283,"359"
284,"365"
285,"382"
286,"396"
287,"409"
288,"383"
289,"401"
290,"386"
291,"475"
292,"438"
293,"480"
294,"452"
295,"416"
296,"457"
297,"404"
298,"396"
299,"387"
300,"402"
301,"392"
302,"411"
303,"395"
304,"411"
305,"445"
306,"432"
307,"507"
308,"563"
309,"681"
310,"976"
311,"1484"
312,"2222"
313,"3069"
314,"4199"
315,"5363"
316,"6302"
317,"7029"
318,"7015"
319,"6413"
320,"5412"
321,"4382"
322,"3272"
323,"2081"
324,"1482"
325,"1035"
326,"736"
327,"579"
328,"537"
329,"539"
330,"497"
331,"527"
332,"540"
333,"498"
334,"525"
335,"552"
336,"558"
337,"546"
338,"575"
339,"679"
340,"684"
341,"660"
342,"636"
343,"746"
344,"849"
345,"917"
346,"1105"
347,"1222"
348,"1359"
349,"1475"
350,"1451"
351,"1389"
352,"1369"
353,"1165"
354,"1002"
355,"913"
356,"822"
357,"746"
358,"710"
359,"717"
360,"795"
361,"814"
362,"799"
363,"907"
364,"966"
365,"1015"
366,"1121"
367,"1155"
368,"1280"
369,"1358"
370,"1398"
371,"1413"
372,"1353"
373,"1164"
374,"996"
375,"845"
376,"669"
377,"616"
378,"497"
379,"469"
380,"407"
381,"417"
382,"455"
383,"434"
384,"417"
385,"408"
386,"450"
387,"407"
388,"412"
389,"395"
390,"422"
391,"458"
392,"455"
393,"434"
394,"519"
395,"535"
396,"596"
397,"641"
398,"654"
399,"663"
400,"655"
401,"640"
402,"577"
403,"612"
404,"563"
405,"535"
406,"594"
407,"507"
408,"514"
409,"555"
410,"582"
411,"494"
412,"515"
413,"539"
414,"477"
415,"443"
416,"480"
417,"443"
418,"449"
419,"462"
420,"453"
421,"451"
422,"504"
423,"480"
424,"477"
425,"583"
426,"562"
427,"586"
428,"592"
429,"600"
430,"614"
431,"648"
432,"585"
433,"618"
434,"549"
435,"551"
436,"535"
437,"576"
438,"602"
439,"571"
440,"543"
441,"529"
442,"547"
443,"563"
444,"538"
445,"504"
446,"491"
447,"469"
448,"499"
449,"457"
450,"457"
451,"480"
452,"530"
453,"493"
454,"468"
455,"532"
456,"540"
457,"492"
458,"486"
459,"501"
460,"519"
461,"513"
462,"530"
463,"556"
464,"539"
465,"525"
466,"546"
467,"495"
468,"492"
469,"506"
470,"496"
471,"507"
472,"484"
473,"498"
474,"498"
475,"476"
476,"499"
477,"467"
478,"476"
479,"498"
480,"490"
481,"503"
482,"469"
483,"449"
484,"490"
485,"470"
486,"458"
487,"481"
488,"445"
489,"459"
490,"450"
491,"473"
492,"488"
493,"480"
494,"481"
495,"485"
496,"469"
497,"520"
498,"505"
499,"475"
500,"471"
501,"464"
502,"500"
503,"473"
504,"473"
505,"459"
506,"503"
507,"474"
508,"510"
509,"474"
510,"464"
511,"488"
512,"436"
513,"490"
514,"447"
515,"444"
516,"500"
517,"456"
518,"480"
519,"476"
520,"501"
521,"495"
522,"510"
523,"547"
524,"498"
525,"484"
526,"491"
527,"496"
528,"475"
529,"451"
530,"437"
531,"474"
532,"475"
533,"480"
534,"430"
535,"496"
536,"480"
537,"451"
538,"452"
539,"446"
540,"442"
541,"443"
542,"434"
543,"406"
544,"447"
545,"457"
546,"446"
547,"397"
548,"465"
549,"388"
550,"435"
551,"432"
552,"473"
553,"467"
554,"452"
555,"475"
556,"450"
557,"507"
558,"452"
559,"459"
560,"454"
561,"436"
562,"503"
