Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L1-3AE 0phi 0"
Duration Time,60.096
Ambient Temperature,"101.9"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"647891"
Raw Accumulated Counts,"669805"
Valid Count Last Packet,"10238"
Raw Count Last Packet,"10588"
Live Time,58.511005
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.085
Number of Channels,2048
Vacuum,762
Channel#,Intensity
0,"1882"
1,"1536"
2,"973"
3,"517"
4,"233"
5,"58"
6,"23"
7,"6"
8,"2"
9,"0"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"1"
17,"0"
18,"0"
19,"0"
20,"0"
21,"4"
22,"33"
23,"98"
24,"159"
25,"172"
26,"175"
27,"171"
28,"167"
29,"194"
30,"174"
31,"160"
32,"145"
33,"146"
34,"186"
35,"153"
36,"121"
37,"185"
38,"146"
39,"139"
40,"136"
41,"165"
42,"135"
43,"174"
44,"144"
45,"174"
46,"161"
47,"146"
48,"160"
49,"174"
50,"143"
51,"151"
52,"140"
53,"158"
54,"151"
55,"146"
56,"145"
57,"145"
58,"146"
59,"165"
60,"135"
61,"133"
62,"134"
63,"122"
64,"144"
65,"125"
66,"140"
67,"131"
68,"123"
69,"145"
70,"154"
71,"155"
72,"203"
73,"206"
74,"218"
75,"228"
76,"225"
77,"199"
78,"187"
79,"166"
80,"206"
81,"244"
82,"454"
83,"665"
84,"991"
85,"1307"
86,"1385"
87,"1438"
88,"1222"
89,"903"
90,"613"
91,"402"
92,"305"
93,"217"
94,"157"
95,"140"
96,"151"
97,"137"
98,"133"
99,"130"
100,"117"
101,"122"
102,"126"
103,"117"
104,"131"
105,"141"
106,"125"
107,"132"
108,"124"
109,"147"
110,"151"
111,"151"
112,"152"
113,"202"
114,"241"
115,"248"
116,"250"
117,"221"
118,"185"
119,"204"
120,"175"
121,"202"
122,"171"
123,"186"
124,"204"
125,"231"
126,"276"
127,"349"
128,"457"
129,"724"
130,"998"
131,"1407"
132,"1662"
133,"1989"
134,"1949"
135,"1929"
136,"1791"
137,"1503"
138,"1310"
139,"1383"
140,"1351"
141,"1423"
142,"1435"
143,"1500"
144,"1630"
145,"1717"
146,"1736"
147,"1683"
148,"1634"
149,"1337"
150,"1007"
151,"713"
152,"479"
153,"376"
154,"327"
155,"339"
156,"375"
157,"456"
158,"589"
159,"855"
160,"1313"
161,"1962"
162,"2716"
163,"3492"
164,"4103"
165,"3954"
166,"3610"
167,"2939"
168,"2190"
169,"1323"
170,"817"
171,"447"
172,"323"
173,"302"
174,"382"
175,"477"
176,"636"
177,"754"
178,"867"
179,"911"
180,"995"
181,"1009"
182,"988"
183,"885"
184,"862"
185,"791"
186,"565"
187,"457"
188,"366"
189,"276"
190,"230"
191,"180"
192,"204"
193,"184"
194,"230"
195,"231"
196,"200"
197,"266"
198,"283"
199,"282"
200,"287"
201,"273"
202,"217"
203,"203"
204,"219"
205,"214"
206,"204"
207,"209"
208,"220"
209,"204"
210,"221"
211,"188"
212,"232"
213,"230"
214,"233"
215,"263"
216,"263"
217,"254"
218,"289"
219,"341"
220,"379"
221,"345"
222,"424"
223,"411"
224,"391"
225,"362"
226,"381"
227,"328"
228,"302"
229,"291"
230,"281"
231,"264"
232,"257"
233,"281"
234,"281"
235,"291"
236,"298"
237,"351"
238,"416"
239,"405"
240,"459"
241,"458"
242,"474"
243,"496"
244,"492"
245,"482"
246,"513"
247,"447"
248,"405"
249,"418"
250,"355"
251,"378"
252,"362"
253,"369"
254,"343"
255,"362"
256,"369"
257,"391"
258,"404"
259,"342"
260,"370"
261,"347"
262,"349"
263,"373"
264,"366"
265,"359"
266,"318"
267,"333"
268,"312"
269,"343"
270,"351"
271,"335"
272,"319"
273,"328"
274,"355"
275,"360"
276,"351"
277,"361"
278,"356"
279,"365"
280,"419"
281,"420"
282,"406"
283,"425"
284,"439"
285,"372"
286,"410"
287,"399"
288,"359"
289,"414"
290,"378"
291,"372"
292,"413"
293,"383"
294,"348"
295,"375"
296,"360"
297,"342"
298,"380"
299,"365"
300,"372"
301,"377"
302,"367"
303,"349"
304,"408"
305,"360"
306,"403"
307,"401"
308,"408"
309,"475"
310,"533"
311,"550"
312,"634"
313,"868"
314,"1012"
315,"1314"
316,"1470"
317,"1690"
318,"1677"
319,"1603"
320,"1496"
321,"1259"
322,"1050"
323,"810"
324,"695"
325,"557"
326,"540"
327,"532"
328,"461"
329,"497"
330,"476"
331,"468"
332,"448"
333,"524"
334,"462"
335,"468"
336,"483"
337,"425"
338,"441"
339,"433"
340,"478"
341,"457"
342,"401"
343,"481"
344,"499"
345,"505"
346,"541"
347,"551"
348,"559"
349,"618"
350,"627"
351,"658"
352,"615"
353,"641"
354,"612"
355,"656"
356,"643"
357,"671"
358,"703"
359,"633"
360,"758"
361,"807"
362,"787"
363,"832"
364,"881"
365,"908"
366,"948"
367,"965"
368,"1030"
369,"1170"
370,"1243"
371,"1217"
372,"1211"
373,"1104"
374,"1009"
375,"861"
376,"749"
377,"647"
378,"611"
379,"485"
380,"533"
381,"451"
382,"450"
383,"460"
384,"448"
385,"440"
386,"471"
387,"431"
388,"423"
389,"445"
390,"427"
391,"495"
392,"507"
393,"481"
394,"535"
395,"550"
396,"582"
397,"636"
398,"683"
399,"726"
400,"712"
401,"662"
402,"655"
403,"626"
404,"631"
405,"616"
406,"622"
407,"564"
408,"556"
409,"575"
410,"593"
411,"538"
412,"542"
413,"554"
414,"524"
415,"515"
416,"495"
417,"503"
418,"476"
419,"524"
420,"535"
421,"502"
422,"532"
423,"559"
424,"522"
425,"552"
426,"544"
427,"567"
428,"523"
429,"552"
430,"552"
431,"497"
432,"520"
433,"482"
434,"487"
435,"456"
436,"510"
437,"491"
438,"430"
439,"527"
440,"457"
441,"461"
442,"479"
443,"500"
444,"495"
445,"505"
446,"484"
447,"518"
448,"507"
449,"471"
450,"508"
451,"471"
452,"488"
453,"490"
454,"513"
455,"484"
456,"511"
457,"497"
458,"512"
459,"469"
460,"484"
461,"491"
462,"495"
463,"440"
464,"500"
465,"468"
466,"515"
467,"477"
468,"437"
469,"432"
470,"452"
471,"499"
472,"457"
473,"445"
474,"452"
475,"466"
476,"488"
477,"478"
478,"477"
479,"431"
480,"470"
481,"435"
482,"476"
483,"486"
484,"437"
485,"457"
486,"483"
487,"471"
488,"502"
489,"445"
490,"490"
491,"475"
492,"461"
493,"464"
494,"474"
495,"463"
496,"458"
497,"455"
498,"415"
499,"408"
500,"467"
501,"503"
502,"488"
503,"455"
504,"431"
505,"477"
506,"411"
507,"459"
508,"430"
509,"441"
510,"434"
511,"461"
512,"457"
513,"471"
514,"414"
515,"519"
516,"465"
517,"460"
518,"499"
519,"446"
520,"474"
521,"463"
522,"488"
523,"486"
524,"512"
525,"481"
526,"453"
527,"527"
528,"478"
529,"471"
530,"471"
531,"474"
532,"426"
533,"427"
534,"457"
535,"446"
536,"443"
537,"450"
538,"416"
539,"443"
540,"421"
541,"442"
542,"451"
543,"474"
544,"435"
545,"433"
546,"440"
547,"468"
548,"460"
549,"482"
550,"461"
551,"494"
552,"467"
553,"455"
554,"473"
555,"472"
556,"447"
557,"464"
558,"472"
559,"456"
560,"479"
561,"480"
562,"434"
563,"437"
564,"444"
565,"481"
566,"505"
567,"430"
568,"493"
569,"462"
570,"444"
571,"487"
572,"445"
573,"449"
574,"465"
575,"464"
576,"422"
577,"480"
578,"449"
579,"468"
580,"485"
581,"459"
582,"461"
583,"457"
584,"432"
585,"472"
586,"459"
587,"465"
588,"465"
589,"448"
590,"478"
591,"467"
592,"473"
593,"437"
594,"476"
595,"454"
596,"480"
597,"473"
598,"470"
599,"460"
600,"457"
601,"452"
602,"425"
603,"480"
604,"424"
605,"465"
606,"448"
607,"465"
608,"492"
609,"449"
610,"490"
611,"443"
612,"428"
613,"459"
614,"443"
615,"500"
616,"440"
617,"422"
618,"471"
619,"415"
620,"463"
621,"433"
622,"475"
623,"490"
624,"477"
625,"479"
626,"467"
627,"450"
628,"524"
629,"485"
630,"495"
631,"483"
632,"474"
633,"448"
634,"396"
635,"417"
636,"451"
637,"490"
638,"474"
639,"486"
640,"421"
641,"458"
642,"457"
643,"461"
644,"443"
645,"488"
646,"464"
647,"422"
648,"492"
649,"467"
650,"494"
651,"467"
652,"477"
653,"472"
654,"523"
655,"489"
656,"533"
657,"583"
658,"634"
659,"736"
660,"753"
661,"866"
662,"897"
663,"956"
664,"956"
665,"935"
666,"967"
667,"836"
668,"843"
669,"805"
670,"723"
671,"695"
672,"584"
673,"521"
674,"521"
675,"516"
676,"454"
677,"451"
678,"426"
679,"439"
680,"414"
681,"435"
682,"464"
683,"422"
684,"466"
685,"458"
686,"482"
687,"470"
688,"469"
689,"446"
690,"441"
691,"485"
692,"505"
693,"516"
