Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L1-3CDAE 1phi 1"
Duration Time,60.04
Ambient Temperature,"101.0"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"674731"
Raw Accumulated Counts,"698447"
Valid Count Last Packet,"10506"
Raw Count Last Packet,"10853"
Live Time,58.399986
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.0894
Number of Channels,2048
Vacuum,758
Channel#,Intensity
0,"1836"
1,"1446"
2,"932"
3,"495"
4,"220"
5,"65"
6,"24"
7,"5"
8,"1"
9,"3"
10,"0"
11,"0"
12,"1"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"1"
19,"0"
20,"1"
21,"6"
22,"47"
23,"124"
24,"187"
25,"179"
26,"179"
27,"228"
28,"155"
29,"172"
30,"156"
31,"180"
32,"180"
33,"160"
34,"145"
35,"159"
36,"159"
37,"169"
38,"154"
39,"151"
40,"166"
41,"168"
42,"131"
43,"162"
44,"175"
45,"154"
46,"156"
47,"159"
48,"154"
49,"148"
50,"150"
51,"167"
52,"129"
53,"155"
54,"145"
55,"143"
56,"142"
57,"159"
58,"147"
59,"153"
60,"154"
61,"134"
62,"141"
63,"132"
64,"134"
65,"124"
66,"126"
67,"133"
68,"133"
69,"143"
70,"174"
71,"185"
72,"187"
73,"206"
74,"219"
75,"216"
76,"227"
77,"184"
78,"184"
79,"195"
80,"222"
81,"302"
82,"445"
83,"819"
84,"1155"
85,"1528"
86,"1592"
87,"1609"
88,"1268"
89,"1016"
90,"730"
91,"444"
92,"309"
93,"214"
94,"133"
95,"147"
96,"145"
97,"141"
98,"140"
99,"137"
100,"127"
101,"154"
102,"116"
103,"136"
104,"123"
105,"111"
106,"136"
107,"113"
108,"123"
109,"119"
110,"156"
111,"163"
112,"192"
113,"213"
114,"249"
115,"235"
116,"211"
117,"222"
118,"196"
119,"195"
120,"200"
121,"186"
122,"181"
123,"204"
124,"199"
125,"238"
126,"291"
127,"330"
128,"505"
129,"680"
130,"975"
131,"1291"
132,"1557"
133,"1878"
134,"1983"
135,"1797"
136,"1661"
137,"1541"
138,"1355"
139,"1332"
140,"1427"
141,"1414"
142,"1493"
143,"1527"
144,"1671"
145,"1750"
146,"1743"
147,"1682"
148,"1539"
149,"1327"
150,"974"
151,"730"
152,"466"
153,"350"
154,"347"
155,"356"
156,"359"
157,"431"
158,"541"
159,"705"
160,"1050"
161,"1486"
162,"2079"
163,"2536"
164,"2880"
165,"2923"
166,"2584"
167,"2024"
168,"1490"
169,"1026"
170,"622"
171,"382"
172,"279"
173,"262"
174,"296"
175,"368"
176,"501"
177,"588"
178,"666"
179,"756"
180,"742"
181,"825"
182,"873"
183,"807"
184,"789"
185,"690"
186,"577"
187,"403"
188,"330"
