Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L1-4E -1phi 2"
Duration Time,60.097
Ambient Temperature,"101.7"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"645953"
Raw Accumulated Counts,"668380"
Valid Count Last Packet,"10066"
Raw Count Last Packet,"10407"
Live Time,58.507015
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.085
Number of Channels,2048
Vacuum,754
Channel#,Intensity
0,"1725"
1,"1493"
2,"933"
3,"518"
4,"207"
5,"86"
6,"21"
7,"8"
8,"3"
9,"2"
10,"1"
11,"1"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"4"
22,"29"
23,"90"
24,"159"
25,"182"
26,"179"
27,"182"
28,"143"
29,"187"
30,"157"
31,"163"
32,"169"
33,"157"
34,"177"
35,"170"
36,"146"
37,"143"
38,"149"
39,"152"
40,"136"
41,"154"
42,"155"
43,"149"
44,"159"
45,"166"
46,"170"
47,"186"
48,"143"
49,"116"
50,"125"
51,"147"
52,"145"
53,"171"
54,"152"
55,"147"
56,"150"
57,"145"
58,"161"
59,"146"
60,"143"
61,"152"
62,"128"
63,"149"
64,"129"
65,"136"
66,"137"
67,"122"
68,"148"
69,"116"
70,"186"
71,"183"
72,"209"
73,"237"
74,"248"
75,"226"
76,"231"
77,"210"
78,"227"
79,"210"
80,"228"
81,"287"
82,"479"
83,"727"
84,"1078"
85,"1407"
86,"1555"
87,"1548"
88,"1255"
89,"947"
90,"631"
91,"430"
92,"293"
93,"167"
94,"166"
95,"146"
96,"129"
97,"108"
98,"131"
99,"126"
100,"131"
101,"132"
102,"111"
103,"117"
104,"120"
105,"108"
106,"109"
107,"127"
108,"121"
109,"141"
110,"153"
111,"159"
112,"199"
113,"234"
114,"222"
115,"227"
116,"211"
117,"243"
118,"219"
119,"191"
120,"208"
121,"201"
122,"194"
123,"197"
124,"223"
125,"265"
126,"270"
127,"349"
128,"535"
129,"774"
130,"1032"
131,"1332"
132,"1728"
133,"1909"
134,"1941"
135,"1896"
136,"1705"
137,"1457"
138,"1438"
139,"1326"
140,"1371"
141,"1386"
142,"1403"
143,"1520"
144,"1675"
145,"1728"
146,"1845"
147,"1725"
148,"1598"
149,"1341"
150,"971"
151,"724"
152,"548"
153,"386"
154,"359"
155,"344"
156,"366"
157,"476"
158,"668"
159,"912"
160,"1455"
161,"2223"
162,"3164"
163,"3989"
164,"4565"
165,"4625"
166,"3986"
167,"3228"
168,"2278"
169,"1470"
170,"854"
171,"517"
172,"371"
173,"334"
174,"399"
175,"489"
176,"664"
177,"809"
178,"891"
179,"944"
180,"936"
181,"883"
182,"802"
183,"660"
184,"607"
185,"515"
186,"433"
187,"359"
188,"282"
189,"228"
190,"184"
191,"155"
192,"163"
193,"155"
194,"203"
195,"215"
196,"196"
197,"269"
198,"227"
199,"240"
200,"244"
201,"220"
202,"238"
203,"202"
204,"177"
205,"191"
206,"185"
207,"198"
208,"187"
209,"190"
210,"202"
211,"189"
212,"228"
213,"190"
214,"228"
215,"314"
216,"262"
217,"323"
218,"391"
219,"392"
220,"406"
221,"417"
222,"446"
223,"431"
224,"446"
225,"391"
226,"340"
227,"334"
228,"285"
229,"268"
230,"265"
231,"219"
232,"277"
233,"265"
234,"249"
235,"290"
236,"273"
237,"305"
238,"325"
239,"364"
240,"380"
241,"380"
242,"348"
243,"332"
244,"326"
245,"329"
246,"280"
247,"310"
248,"308"
249,"242"
250,"252"
251,"248"
252,"278"
253,"275"
254,"309"
255,"286"
256,"254"
257,"291"
258,"308"
259,"248"
260,"284"
261,"257"
262,"292"
263,"342"
264,"360"
265,"350"
266,"352"
267,"393"
268,"400"
269,"412"
270,"416"
271,"421"
272,"372"
273,"397"
274,"397"
275,"399"
276,"426"
277,"425"
278,"440"
279,"419"
280,"396"
281,"408"
282,"424"
283,"403"
284,"438"
285,"389"
286,"435"
287,"425"
288,"429"
289,"434"
290,"435"
291,"414"
292,"404"
293,"444"
294,"451"
295,"398"
296,"425"
297,"418"
298,"381"
299,"410"
300,"401"
301,"390"
302,"383"
303,"360"
304,"377"
305,"422"
306,"423"
307,"377"
308,"447"
309,"487"
310,"484"
311,"565"
312,"667"
313,"755"
