Bruker AXS Handheld Inc. S1PXRF Spectrum ,
Label,L2-4B 1phi 0
Duration Time,60.017
Ambient Temperature,103.9
Detector Temperature,-15
Valid Accumulated Counts,877406
Raw Accumulated Counts,914331
Valid Count Last Packet,13850
Raw Count Last Packet,14390
Live Time,57.888966
HV DAC,171
HV ADC,40
Filament DAC,200
Filament ADC,5
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.087
Number of Channels,2048
Vacuum,762
Channel#,Intensity
0,1754
1,1438
2,938
3,491
4,237
5,58
6,23
7,6
8,3
9,0
10,0
11,0
12,1
13,0
14,0
15,0
16,0
17,0
18,1
19,0
20,0
21,3
22,29
23,114
24,203
25,190
26,229
27,212
28,193
29,189
30,193
31,172
32,179
33,177
34,162
35,165
36,172
37,186
38,194
39,164
40,149
41,147
42,170
43,170
44,189
45,161
46,172
47,198
48,176
49,184
50,140
51,164
52,163
53,170
54,169
55,154
56,162
57,164
58,167
59,170
60,156
61,176
62,173
63,137
64,147
65,150
66,127
67,142
68,152
69,130
70,163
71,179
72,234
73,251
74,243
75,226
76,202
77,192
78,203
79,212
80,216
81,291
82,446
83,639
84,880
85,1194
86,1322
87,1312
88,1065
89,821
90,597
91,414
92,289
93,223
94,187
95,204
96,189
97,212
98,251
99,211
100,203
101,182
102,157
103,153
104,147
105,131
106,141
107,142
108,129
109,152
110,195
111,202
112,221
113,270
114,257
115,302
116,282
117,274
118,232
119,224
120,173
121,196
122,223
123,219
124,212
125,237
126,290
127,398
128,517
129,665
130,1020
131,1339
132,1653
133,1890
134,1941
135,1918
136,1713
137,1564
138,1342
139,1298
140,1469
141,1435
142,1482
143,1564
144,1638
145,1691
146,1777
147,1728
148,1623
149,1373
150,1058
151,803
152,567
153,413
154,310
155,332
156,347
157,401
158,492
159,630
160,830
161,1203
162,1625
163,1996
164,2207
165,2299
166,2092
167,1783
168,1309
169,834
170,594
171,408
172,358
173,313
174,361
175,462
176,700
177,963
178,1481
179,2198
180,3100
181,4165
