Bruker AXS Handheld Inc. S1PXRF Spectrum ,
Label,L2-5B 4phi 0
Duration Time,60.048
Ambient Temperature,101.2
Detector Temperature,-15
Valid Accumulated Counts,734340
Raw Accumulated Counts,761833
Valid Count Last Packet,11640
Raw Count Last Packet,12087
Live Time,58.237991
HV DAC,171
HV ADC,40
Filament DAC,200
Filament ADC,5
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.0865
Number of Channels,2048
Vacuum,762
Channel#,Intensity
0,1787
1,1543
2,954
3,504
4,197
5,73
6,19
7,3
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,10
22,18
23,96
24,185
25,185
26,164
27,202
28,185
29,169
30,160
31,174
32,164
33,166
34,158
35,141
36,162
37,133
38,159
39,146
40,177
41,165
42,141
43,140
44,191
45,159
46,169
47,155
48,166
49,142
50,131
51,153
52,138
53,165
54,148
55,164
56,137
57,149
58,177
59,161
60,148
61,151
62,134
63,142
64,112
65,133
66,131
67,127
68,148
69,137
70,109
71,163
72,188
73,163
74,210
75,208
76,194
77,174
78,185
79,157
80,214
81,263
82,401
83,662
84,1001
85,1247
86,1488
87,1401
88,1153
89,920
90,629
91,386
92,287
93,195
94,154
95,150
96,131
97,128
98,161
99,145
100,129
101,131
102,129
103,136
104,127
105,112
106,114
107,108
108,127
109,133
110,140
111,159
112,169
113,204
114,219
115,268
116,238
117,212
118,215
119,206
120,195
121,171
122,175
123,215
124,223
125,269
126,317
127,406
128,575
129,819
130,1084
131,1454
132,1802
133,1962
134,2063
135,1924
136,1803
137,1485
138,1386
139,1342
140,1380
141,1434
142,1426
143,1532
144,1594
145,1777
146,1768
147,1640
148,1631
149,1325
150,1076
151,780
152,539
153,387
154,322
155,281
156,332
157,363
158,401
159,479
160,642
161,871
162,1131
163,1502
164,1709
165,1770
166,1520
167,1324
168,925
169,709
170,431
171,290
172,250
173,247
174,256
175,267
176,385
177,484
178,651
179,868
180,1061
181,1326
182,1646
183,1741
184,1774
185,1606
186,1296
187,943
188,719
189,417
190,303
191,269
192,196
193,223
194,214
195,285
196,301
197,389
198,409
199,431
200,452
201,438
202,346
203,343
204,295
205,287
206,248
207,249
208,201
209,218
210,209
211,240
212,225
213,230
214,234
215,233
216,262
217,293
218,404
219,539
220,606
221,847
222,1060
223,1130
224,1275
225,1253
226,1136
227,908
228,689
229,568
230,438
231,398
232,373
233,290
234,309
235,293
236,293
237,312
238,315
239,346
240,388
241,403
242,424
243,499
244,468
245,496
246,533
247,495
248,438
249,417
250,402
251,366
252,335
253,370
254,306
255,357
256,327
257,317
258,346
259,353
260,351
261,355
262,362
263,348
264,359
265,378
266,346
267,353
268,407
269,391
270,414
271,385
272,436
273,352
274,377
275,400
276,426
277,449
278,378
279,410
280,429
281,382
282,413
283,414
284,432
285,405
286,421
287,415
288,489
289,445
290,526
291,552
292,547
293,563
294,564
295,519
296,519
297,484
298,517
299,463
300,462
301,472
302,445
303,452
304,493
305,480
306,515
307,523
308,553
309,710
310,921
311,1312
312,1992
313,2931
314,4113
315,5503
316,6997
317,8101
318,8824
319,8596
320,7831
321,6441
322,5086
323,3718
324,2405
325,1687
326,1114
327,761
328,567
329,539
330,519
331,550
332,532
333,508
334,513
335,488
336,500
337,506
338,579
339,561
340,505
341,570
342,587
343,582
344,758
345,882
346,1042
347,1227
348,1481
349,1682
350,1808
351,1806
352,1822
353,1698
354,1456
355,1282
356,1024
357,931
358,925
359,846
360,845
361,816
362,846
363,896
364,954
365,978
366,1058
367,1165
368,1190
369,1331
370,1381
371,1419
372,1439
373,1331
374,1167
375,1038
376,846
377,753
378,621
379,551
380,553
381,492
382,482
383,464
384,487
385,501
386,522
387,505
388,475
389,504
390,481
391,478
392,492
393,558
394,576
395,633
396,616
397,708
398,684
399,779
400,742
401,751
402,728
403,678
404,666
405,620
406,663
407,686
408,610
409,606
410,611
411,609
412,646
413,629
414,611
415,574
416,558
417,583
418,520
419,495
420,505
421,509
422,496
423,493
424,538
425,507
426,526
427,554
428,549
429,570
430,590
431,549
432,527
433,532
434,530
435,534
436,521
437,496
438,514
439,530
440,594
441,512
442,513
443,499
444,507
445,560
446,537
447,523
448,506
449,533
450,542
451,488
452,536
453,523
454,504
455,524
456,546
457,568
458,519
459,546
460,527
461,605
462,569
463,574
464,566
465,568
466,532
467,518
468,571
469,542
470,499
471,535
472,516
473,514
474,558
475,559
476,548
477,555
478,521
479,641
480,532
481,540
482,599
483,524
484,523
485,529
486,532
487,529
488,565
489,542
490,528
491,538
492,537
493,546
494,588
495,571
496,549
497,568
498,561
499,585
500,513
501,563
502,597
503,508
504,546
505,507
506,543
507,532
508,538
509,549
510,499
511,522
512,527
513,518
514,539
515,565
