Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L3-4A -1phi 2"
Duration Time,60.114
Ambient Temperature,"100.5"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"608577"
Raw Accumulated Counts,"628517"
Valid Count Last Packet,"9551"
Raw Count Last Packet,"9839"
Live Time,58.641006
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.0898
Number of Channels,2048
Vacuum,763
Channel#,Intensity
0,"1740"
1,"1438"
2,"986"
3,"498"
4,"198"
5,"76"
6,"22"
7,"3"
8,"0"
9,"0"
10,"0"
11,"0"
12,"1"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"4"
22,"23"
23,"99"
24,"149"
25,"150"
26,"190"
27,"152"
28,"154"
29,"159"
30,"141"
31,"138"
32,"150"
33,"137"
34,"150"
35,"141"
36,"138"
37,"126"
38,"138"
39,"118"
40,"126"
41,"124"
42,"142"
43,"126"
44,"134"
45,"130"
46,"157"
47,"138"
48,"165"
49,"158"
50,"118"
51,"119"
52,"135"
53,"135"
54,"152"
55,"136"
56,"142"
57,"139"
58,"151"
59,"147"
60,"131"
61,"139"
62,"134"
63,"132"
64,"107"
65,"120"
66,"97"
67,"115"
68,"114"
69,"121"
70,"139"
71,"162"
72,"155"
73,"144"
74,"177"
75,"176"
76,"185"
77,"137"
78,"139"
79,"158"
80,"214"
81,"273"
82,"472"
83,"722"
84,"1071"
85,"1342"
86,"1631"
87,"1503"
88,"1238"
89,"936"
90,"638"
91,"455"
92,"263"
93,"166"
94,"172"
95,"145"
96,"115"
97,"113"
98,"112"
99,"101"
100,"134"
101,"121"
102,"117"
103,"126"
104,"113"
105,"121"
106,"138"
107,"112"
108,"124"
109,"140"
110,"135"
111,"158"
112,"174"
113,"190"
114,"186"
115,"182"
116,"223"
117,"197"
118,"197"
119,"201"
120,"158"
121,"172"
122,"179"
123,"202"
124,"195"
125,"241"
126,"264"
127,"369"
128,"480"
129,"692"
130,"980"
131,"1281"
132,"1678"
133,"1958"
134,"2021"
135,"1874"
136,"1606"
137,"1492"
138,"1257"
139,"1311"
140,"1302"
141,"1397"
142,"1434"
143,"1487"
144,"1675"
145,"1754"
146,"1822"
147,"1835"
148,"1590"
149,"1351"
150,"1076"
151,"716"
152,"514"
153,"391"
154,"311"
155,"300"
156,"292"
157,"333"
158,"359"
159,"426"
160,"498"
161,"650"
162,"773"
163,"950"
164,"974"
165,"1001"
166,"958"
167,"782"
168,"573"
169,"395"
170,"275"
171,"216"
172,"169"
173,"167"
174,"190"
175,"191"
176,"246"
177,"268"
178,"319"
179,"352"
180,"425"
181,"452"
182,"448"
183,"469"
184,"461"
185,"412"
186,"368"
187,"262"
188,"252"
189,"227"
190,"176"
191,"183"
192,"171"
193,"194"
194,"177"
195,"207"
196,"216"
197,"232"
198,"236"
199,"247"
200,"224"
201,"226"
202,"236"
203,"194"
204,"198"
205,"224"
206,"211"
207,"208"
208,"197"
209,"217"
210,"200"
211,"176"
212,"179"
213,"199"
214,"211"
215,"216"
216,"225"
217,"249"
218,"252"
219,"311"
220,"376"
221,"417"
222,"485"
223,"542"
224,"570"
225,"482"
226,"473"
227,"416"
228,"385"
229,"324"
230,"311"
231,"295"
232,"274"
233,"257"
234,"248"
235,"271"
236,"262"
237,"283"
238,"342"
239,"346"
240,"329"
241,"338"
242,"372"
243,"421"
244,"398"
245,"371"
246,"368"
247,"353"
248,"366"
249,"319"
250,"331"
251,"272"
252,"249"
253,"290"
254,"272"
255,"263"
256,"284"
257,"263"
258,"288"
259,"294"
260,"307"
261,"328"
262,"294"
263,"310"
264,"324"
265,"355"
266,"350"
267,"350"
268,"364"
269,"341"
270,"367"
271,"376"
272,"343"
273,"354"
274,"356"
275,"391"
276,"374"
277,"359"
278,"372"
279,"363"
280,"402"
281,"400"
282,"389"
283,"373"
284,"395"
285,"400"
286,"436"
287,"423"
288,"451"
289,"465"
290,"446"
291,"446"
292,"417"
293,"429"
294,"394"
295,"430"
296,"430"
297,"413"
298,"388"
299,"402"
300,"394"
301,"392"
302,"422"
303,"376"
304,"402"
305,"404"
306,"389"
307,"396"
308,"470"
309,"561"
310,"781"
311,"961"
312,"1400"
313,"1999"
314,"2776"
315,"3654"
316,"4333"
317,"4819"
318,"4975"
319,"4749"
320,"4271"
321,"3395"
322,"2567"
323,"1823"
324,"1278"
325,"930"
326,"647"
327,"478"
328,"471"
329,"442"
330,"431"
331,"426"
332,"443"
333,"428"
334,"474"
335,"473"
336,"486"
337,"453"
338,"461"
339,"506"
340,"493"
341,"537"
342,"578"
343,"568"
344,"633"
345,"707"
346,"858"
347,"935"
348,"1061"
349,"1126"
350,"1203"
351,"1233"
352,"1199"
353,"1067"
354,"1008"
