Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L1-2ABC 6phi 0"
Duration Time,60.052
Ambient Temperature,"97.6"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"807677"
Raw Accumulated Counts,"840048"
Valid Count Last Packet,"12793"
Raw Count Last Packet,"13236"
Live Time,58.058018
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.085
Number of Channels,2048
Vacuum,762
Channel#,Intensity
0,"1821"
1,"1450"
2,"982"
3,"485"
4,"191"
5,"68"
6,"15"
7,"7"
8,"0"
9,"0"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"3"
22,"30"
23,"109"
24,"168"
25,"161"
26,"156"
27,"161"
28,"164"
29,"154"
30,"172"
31,"165"
32,"149"
33,"142"
34,"138"
35,"144"
36,"152"
37,"140"
38,"129"
39,"140"
40,"133"
41,"117"
42,"138"
43,"156"
44,"145"
45,"149"
46,"162"
47,"173"
48,"141"
49,"132"
50,"152"
51,"119"
52,"127"
53,"125"
54,"139"
55,"121"
56,"163"
57,"142"
58,"144"
59,"126"
60,"138"
61,"138"
62,"136"
63,"122"
64,"131"
65,"129"
66,"116"
67,"121"
68,"130"
69,"123"
70,"153"
71,"165"
72,"183"
73,"253"
74,"223"
75,"210"
76,"185"
77,"202"
78,"180"
79,"174"
80,"227"
81,"329"
82,"558"
83,"992"
84,"1426"
85,"1815"
86,"2117"
87,"1998"
88,"1652"
89,"1202"
90,"806"
91,"525"
92,"322"
93,"221"
94,"143"
95,"147"
96,"135"
97,"125"
98,"125"
99,"109"
100,"127"
101,"123"
102,"115"
103,"125"
104,"107"
105,"105"
106,"109"
107,"135"
108,"119"
109,"109"
110,"136"
111,"157"
112,"179"
113,"204"
114,"265"
115,"232"
116,"260"
117,"218"
118,"221"
119,"192"
120,"169"
121,"180"
122,"194"
123,"189"
124,"211"
125,"244"
126,"303"
127,"407"
128,"470"
129,"795"
130,"988"
131,"1394"
132,"1718"
133,"1857"
134,"1947"
135,"1947"
136,"1674"
137,"1487"
138,"1412"
139,"1391"
140,"1316"
141,"1422"
142,"1413"
143,"1471"
144,"1628"
145,"1759"
146,"1771"
147,"1687"
148,"1519"
149,"1299"
150,"951"
151,"679"
152,"486"
153,"348"
154,"282"
155,"313"
156,"305"
157,"350"
158,"430"
159,"511"
160,"679"
161,"922"
162,"1158"
163,"1417"
164,"1547"
165,"1597"
166,"1478"
167,"1093"
168,"931"
169,"537"
170,"375"
171,"281"
172,"244"
173,"242"
174,"217"
175,"296"
176,"346"
177,"406"
178,"517"
179,"515"
180,"569"
181,"642"
182,"683"
183,"676"
184,"638"
185,"579"
186,"471"
187,"367"
188,"320"
189,"243"
190,"236"
191,"185"
192,"191"
193,"202"
194,"203"
195,"212"
196,"236"
197,"267"
198,"281"
199,"291"
200,"268"
201,"303"
202,"273"
203,"283"
204,"266"
205,"235"
206,"205"
207,"248"
208,"242"
209,"238"
210,"242"
211,"246"
212,"246"
213,"261"
214,"247"
215,"297"
216,"349"
217,"371"
218,"471"
219,"683"
220,"922"
221,"1179"
222,"1479"
223,"1777"
224,"1805"
225,"1709"
226,"1563"
227,"1286"
228,"977"
229,"671"
230,"518"
231,"474"
232,"422"
233,"395"
234,"377"
235,"377"
236,"327"
237,"382"
238,"372"
239,"379"
240,"447"
241,"461"
242,"579"
243,"585"
244,"594"
245,"649"
246,"619"
247,"601"
248,"502"
249,"504"
250,"415"
251,"427"
252,"404"
253,"407"
254,"353"
255,"356"
256,"384"
257,"404"
258,"411"
259,"404"
260,"411"
261,"414"
262,"460"
263,"435"
264,"415"
265,"471"
266,"443"
267,"445"
268,"433"
269,"503"
270,"515"
271,"508"
272,"532"
273,"485"
274,"482"
275,"478"
276,"474"
277,"438"
278,"464"
279,"492"
280,"462"
281,"500"
282,"471"
283,"463"
284,"507"
285,"491"
286,"503"
287,"554"
288,"539"
289,"588"
290,"631"
291,"648"
292,"639"
293,"696"
294,"632"
295,"620"
296,"615"
297,"571"
298,"547"
299,"544"
300,"568"
301,"578"
302,"551"
303,"593"
304,"598"
305,"572"
306,"670"
307,"760"
308,"876"
309,"1258"
310,"1986"
311,"2841"
312,"4722"
313,"7195"
314,"10204"
315,"13763"
316,"17135"
317,"18901"
318,"19668"
319,"18718"
320,"16311"
321,"12739"
322,"9330"
323,"6502"
324,"4203"
325,"2535"
326,"1630"
327,"1036"
328,"774"
329,"598"
330,"625"
331,"572"
332,"580"
333,"581"
334,"589"
335,"577"
336,"561"
337,"631"
338,"636"
339,"633"
340,"711"
341,"741"
342,"821"
343,"976"
344,"1209"
345,"1517"
346,"1979"
347,"2535"
348,"3072"
349,"3332"
350,"3538"
351,"3606"
352,"3347"
353,"2883"
354,"2354"
355,"1962"
356,"1601"
357,"1268"
358,"1090"
359,"930"
360,"964"
361,"927"
362,"953"
363,"985"
364,"1055"
365,"1129"
366,"1201"
367,"1315"
368,"1434"
369,"1474"
370,"1639"
371,"1599"
372,"1529"
373,"1468"
374,"1271"
375,"1027"
376,"896"
377,"738"
378,"653"
379,"572"
380,"558"
381,"533"
382,"527"
383,"531"
384,"525"
385,"494"
386,"531"
387,"556"
388,"520"
389,"551"
390,"556"
391,"514"
392,"583"
393,"618"
394,"595"
395,"715"
396,"695"
397,"729"
398,"823"
399,"774"
400,"803"
401,"837"
402,"804"
403,"783"
404,"762"
405,"656"
406,"669"
407,"692"
408,"670"
409,"703"
410,"704"
411,"672"
412,"616"
413,"618"
414,"619"
415,"602"
416,"575"
417,"595"
418,"565"
419,"525"
420,"550"
421,"551"
422,"587"
423,"565"
424,"597"
425,"614"
426,"688"
427,"699"
428,"714"
429,"675"
430,"689"
431,"679"
432,"658"
433,"630"
434,"629"
435,"617"
436,"615"
437,"566"
438,"576"
439,"586"
440,"612"
441,"623"
442,"558"
443,"607"
444,"595"
445,"608"
446,"580"
447,"573"
448,"550"
449,"576"
450,"601"
451,"600"
452,"577"
453,"555"
454,"625"
455,"568"
456,"586"
457,"602"
458,"628"
459,"659"
460,"625"
461,"601"
462,"652"
463,"626"
464,"564"
465,"572"
466,"567"
467,"565"
468,"584"
469,"564"
470,"578"
471,"571"
472,"575"
473,"608"
474,"618"
475,"596"
476,"605"
477,"554"
478,"627"
479,"537"
480,"601"
481,"627"
482,"591"
483,"570"
484,"614"
485,"632"
486,"564"
487,"582"
488,"590"
489,"559"
490,"582"
491,"582"
492,"604"
493,"576"
494,"571"
495,"537"
496,"565"
497,"520"
498,"541"
499,"558"
500,"582"
501,"550"
502,"572"
503,"568"
504,"625"
505,"555"
506,"553"
507,"590"
508,"555"
509,"595"
510,"559"
511,"596"
512,"554"
513,"584"
514,"548"
515,"615"
516,"525"
517,"559"
518,"604"
519,"599"
520,"572"
521,"590"
522,"602"
523,"597"
524,"613"
525,"562"
526,"603"
527,"572"
528,"592"
529,"616"
530,"567"
531,"572"
532,"541"
533,"545"
534,"521"
535,"534"
536,"537"
537,"549"
538,"544"
539,"525"
540,"558"
541,"572"
542,"560"
543,"543"
544,"571"
545,"589"
546,"522"
547,"546"
548,"509"
549,"566"
550,"566"
551,"541"
552,"569"
553,"578"
554,"520"
555,"542"
556,"509"
557,"533"
558,"542"
559,"551"
560,"597"
561,"564"
562,"566"
563,"557"
564,"511"
565,"562"
566,"586"
567,"541"
568,"548"
569,"540"
570,"549"
571,"553"
572,"555"
573,"552"
574,"525"
575,"502"
576,"538"
577,"497"
578,"524"
579,"538"
580,"539"
581,"499"
582,"527"
583,"555"
584,"557"
585,"560"
586,"540"
587,"531"
588,"540"
589,"584"
590,"563"
591,"560"
592,"599"
593,"591"
594,"512"
595,"536"
596,"527"
597,"533"
598,"539"
599,"494"
600,"513"
601,"517"
602,"525"
603,"523"
604,"532"
605,"520"
606,"548"
607,"542"
608,"492"
609,"481"
610,"568"
611,"482"
612,"556"
613,"522"
614,"479"
615,"523"
616,"522"
617,"505"
618,"524"
619,"552"
620,"523"
621,"568"
622,"516"
623,"527"
624,"530"
625,"536"
626,"540"
627,"561"
628,"547"
629,"537"
630,"572"
631,"480"
632,"501"
633,"470"
634,"516"
635,"560"
636,"504"
637,"519"
638,"519"
639,"563"
640,"504"
641,"497"
642,"532"
643,"552"
644,"525"
645,"530"
646,"499"
647,"509"
648,"492"
649,"493"
650,"567"
651,"490"
652,"552"
653,"477"
654,"557"
655,"557"
656,"571"
657,"561"
658,"618"
659,"662"
660,"722"
661,"746"
662,"770"
663,"811"
664,"835"
665,"813"
666,"827"
667,"698"
668,"737"
669,"680"
670,"634"
671,"606"
