Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L1-5A 3phi 0"
Duration Time,60.034
Ambient Temperature,"96.5"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"699106"
Raw Accumulated Counts,"724766"
Valid Count Last Packet,"10864"
Raw Count Last Packet,"11256"
Live Time,58.288975
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.7856
Number of Channels,2048
Vacuum,752
Channel#,Intensity
0,"1825"
1,"1460"
2,"962"
3,"504"
4,"214"
5,"84"
6,"19"
7,"3"
8,"0"
9,"0"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"7"
22,"31"
23,"90"
24,"156"
25,"189"
26,"167"
27,"183"
28,"180"
29,"178"
30,"181"
31,"199"
32,"168"
33,"170"
34,"174"
35,"174"
36,"160"
37,"158"
38,"167"
39,"166"
40,"136"
41,"155"
42,"160"
43,"167"
44,"166"
45,"155"
46,"148"
47,"176"
48,"151"
49,"171"
50,"161"
51,"129"
52,"149"
53,"157"
54,"165"
55,"144"
56,"164"
57,"174"
58,"174"
59,"166"
60,"165"
61,"172"
62,"128"
63,"138"
64,"156"
65,"126"
66,"141"
67,"139"
68,"123"
69,"146"
70,"142"
71,"176"
72,"193"
73,"206"
74,"204"
75,"211"
76,"210"
77,"181"
78,"180"
79,"216"
80,"226"
81,"325"
82,"480"
83,"884"
84,"1200"
85,"1620"
86,"1756"
87,"1649"
88,"1367"
89,"990"
90,"704"
91,"441"
92,"300"
93,"201"
94,"167"
95,"153"
96,"132"
97,"130"
98,"150"
99,"151"
100,"129"
101,"117"
102,"149"
103,"134"
104,"117"
105,"103"
106,"134"
107,"139"
108,"109"
109,"135"
110,"151"
111,"169"
112,"206"
113,"208"
114,"229"
115,"261"
116,"240"
117,"233"
118,"196"
119,"172"
120,"182"
121,"174"
122,"169"
123,"203"
124,"229"
125,"248"
126,"270"
127,"384"
128,"511"
129,"726"
130,"990"
131,"1414"
132,"1629"
133,"1944"
134,"1984"
135,"1873"
136,"1643"
137,"1458"
138,"1284"
139,"1324"
140,"1383"
141,"1356"
142,"1444"
143,"1527"
144,"1627"
145,"1758"
146,"1753"
147,"1710"
148,"1514"
149,"1255"
150,"971"
151,"735"
152,"455"
153,"403"
154,"300"
155,"319"
156,"318"
157,"384"
158,"451"
159,"612"
160,"803"
161,"1236"
162,"1640"
163,"1946"
164,"2261"
165,"2175"
