"Area";"Perimeter";"Barycenter x";"Barycenter y";"Orientation";"Length";"Width";"Eccentricity";"Compactness";"Equivalent circular diameter";"Elongation";"Ellipticity";"Rectangularity";"Solidity";"Convexity";"Class"
403715.86245100014;2833.6334730000003;18008.2430318262;2364.6002669189024;1.4888745205518232;827.4491183102252;696.8632038434168;1.242911190644677;0.6318272164002959;716.9567636262838;0.8421825444282492;0.12176761645371624;0.4282788892721783;0.9363888488112987;0.8349843250881163;"Plagioclase"
815649.6660510002;4494.5620610000005;7826.2013981578;5750.126807568787;48.010763914450315;1428.267479563948;1007.9396932614826;2.407529888136709;0.5073863315726946;1019.0767436587703;0.705707934741473;0.38621410881022084;0.764982620806985;0.8879216294100386;0.8181092869773147;"Plagioclase"
1094962.9021430004;5174.2374310000005;9441.398428069158;5894.919628677655;38.55666679645938;1363.1427483074037;1175.306935519523;1.4718043781592578;0.5139449021222082;1180.741320961728;0.8622038572107623;0.14916691113887381;0.46316475476317276;0.9088838530162646;0.80505340324032;"Plagioclase"
714843.3820660003;3943.3396310000003;17486.74004354805;5832.289196082224;96.2840629601655;1262.1851925584838;804.2132782061511;2.707528935850952;0.5776867385263511;954.0266570377676;0.6371594936682697;0.11525274475773108;0.4199838969999743;0.9215375294033789;0.8436343077951838;"Plagioclase"
484658.09020200017;3458.8780270000007;25365.142042197887;4587.832800176836;32.08696857674691;1113.6467073790893;699.1381827516985;2.923320882491646;0.5090668719432921;785.5481182722089;0.6277917207667094;0.2617254797183438;0.6064787753773389;0.8951211417192166;0.8124474124452842;"Plagioclase"
61665.66100200002;1266.6968930000003;21410.08950829411;6894.857772808788;71.2628603416695;461.9594299331025;188.82020877084673;7.7525930705908594;0.48295630987813093;280.20556407748114;0.40873764347269687;0.11096096690167945;0.4145194357164306;0.8682366679641885;0.8723747812966333;"Plagioclase"
382794.3251440001;3029.120655;15224.280201285572;7858.727996786077;91.34315532404165;838.174071654997;764.0060937036232;1.3807468406348289;0.5242545520816229;698.132417434938;0.9115124406020731;0.31387919330538705;0.6728829459211539;0.8883898495396363;0.7964606685500285;"Plagioclase"
137776.65169400003;1771.3334430000004;18326.69899222434;8028.100701063511;6.97140671110886;473.49369351222333;424.1742557576866;1.4378437875878163;0.5518040017034122;418.83490933541304;0.8958392932571053;0.14491372260588822;0.45774942693176146;0.8786142454160789;0.821451629420853;"Plagioclase"
585526.5789560002;3670.0997740000007;28392.15297427877;8382.735816587186;27.368516014763177;1200.9067411107922;660.291495126681;3.668698125538979;0.5462616798972938;863.4324494830357;0.5498274533091028;0.06362430659403541;0.3542485278970429;0.9155715026802697;0.8349183312965702;"Plagioclase"
1698570.3339550006;6521.3712080000005;31662.17023143782;8615.00675548412;164.2156247152142;1818.913900501164;1533.0689730589966;1.4362513706949775;0.5018981042767654;1470.607669878516;0.8428485661891918;0.2893777834440917;0.6416867819839884;0.8920715239865258;0.7992958825293727;"Plagioclase"
897718.4912850002;4505.422460000001;6720.991449836394;8592.3368864842;23.1233078003626;1499.2363627980894;885.8232985358937;3.313883393593302;0.5557493910382568;1069.1167771315027;0.5908496622124636;0.16189508966416835;0.4793707749940269;0.9206282826421326;0.8471979413446614;"Plagioclase"
556511.5100380002;3720.2426910000004;30047.147397774414;9277.93938798778;62.34789555077276;1189.2688787628572;680.2428030211827;3.6228895475003533;0.50529089292588;841.7674629496328;0.5719840274714063;0.14172034532171907;0.45368349269229835;0.8699288006309626;0.8265467864338316;"Plagioclase"
317202.8520540001;2717.1687730000003;17107.786952128823;12263.075501895675;75.68620907679836;855.704544164077;597.5457925269103;2.1130304995811753;0.5399004853489918;635.511774035643;0.6983085418935603;0.2660411708848851;0.6119736840334434;0.9061543625486208;0.8449063749048171;"Plagioclase"
429821.13050800015;2744.2369570000005;8483.853514761693;13751.053577410434;138.5167261207793;990.4139090045223;620.2505366291284;2.473048049860571;0.717223331158718;739.7737901044881;0.6262538631475301;0.12249909295369515;0.429210234077996;0.9699900174694286;0.9135800458502461;"Plagioclase"
1370288.1213780004;5428.414409000001;32230.436766269213;13359.473652387296;120.32330550414144;1532.9058080974557;1188.6952517465174;1.9771565938508395;0.584353659027808;1320.8728265125778;0.7754522459679695;0.0443930811130613;0.3297625711209482;0.9318605908204272;0.8377757684564424;"Plagioclase"
361264.5634290001;2600.5200430000004;5160.710200635177;14385.737861964073;11.944239559326471;918.8759717410014;601.8175353068306;2.2613168331547806;0.6712971708110628;678.2155470566031;0.6549496926843806;0.2022263724886597;0.5307221591760674;0.9641236580956948;0.8874527759215584;"Plagioclase"
345374.7007700001;2757.0165260000003;7338.239470402244;14848.169318671205;103.63453428720858;829.2708153570132;695.5033977475874;1.6173915349601071;0.5709809870011342;663.1325107182108;0.8386927224107882;0.31158063899534255;0.6699563356778836;0.8888770300798691;0.8379460548072174;"Plagioclase"
439877.56816300016;3045.9751740000006;20674.06782356269;14689.951969328917;58.59696014488855;936.5381487594691;632.1334423435219;2.213552719269285;0.5957841713237257;748.3779223273953;0.6749681720716244;0.05704214994732679;0.34586786576481204;0.9375534014908223;0.8309373505747424;"Plagioclase"
284807.9906870001;2689.727271;28268.101784454102;14962.727106268354;135.52759803779804;807.2440331983047;646.1869030457714;1.6697624582724406;0.4947041360112693;602.1866790283993;0.800485202083905;0.4384696609705476;0.831516456249484;0.8630461190466218;0.8072913764943569;"Plagioclase"
