Area (µm^2);Equivalent circular diameter (µm);Class;;3-D diameter (µm);;;;;;;;;
673719,1181;926,1780732;Biotite;;1501,463338;;total area (µm^2);;;Quartz;Plagioclase;K-feldspar;Biotite;Others
113689,5828;380,4655998;Biotite;;616,7875986;;323308554,2;;Model mineralogy (%);21,273;32,531;31,278;2,299;12,619
62536,52777;282,1772141;Biotite;;457,4484692;;;;Mean 3-D diameter (mm);1,309;1,764;1,753;1,008;1,007
923022,009;1084,079389;Biotite;;1757,44331;;;;SD 3-D diameter (mm);0,722;1,135;1,051;0,409;0,615
431970,6509;741,6212745;Biotite;;1202,271126;;;;;;;;;
41981,30743;231,1974497;Biotite;;374,8031882;;;;;;;;;
252302,5431;566,7817702;Biotite;;918,8319972;;;;;;;;;
405588,9172;718,6180127;Biotite;;1164,979642;;;;;;;;;
231049,247;542,384585;Biotite;;879,2807703;;;;;;;;;
79124,46617;317,4025823;Biotite;;514,5536854;;;;;;;;;
309047,1157;627,2886169;Biotite;;1016,922002;;;;;;;;;
111484,7693;376,7583004;Biotite;;610,7775512;;;;;;;;;
422045,5344;733,0518836;Biotite;;1188,378952;;;;;;;;;
185508,4444;486,0007071;Biotite;;787,8746704;;;;;;;;;
1118013,225;1193,104626;Biotite;;1934,188367;;;;;;;;;
424132,85;734,8623795;Biotite;;1191,314018;;;;;;;;;
297801,8758;615,7703506;Biotite;;998,2492925;;;;;;;;;
203250,6269;508,7108566;Biotite;;824,690978;;;;;;;;;
544602,7526;832,7122917;Biotite;;1349,94232;;;;;;;;;
495910,2418;794,6147057;Biotite;;1288,18084;;;;;;;;;
107033,6725;369,1605403;Biotite;;598,4605263;;;;;;;;;
1344908,576;1308,583502;K-feldspar;;2121,39567;;;;;;;;;
806899,5285;1013,595772;K-feldspar;;1643,179573;;;;;;;;;
1528108,532;1394,864944;K-feldspar;;2261,269874;;;;;;;;;
474235,3356;777,0554567;K-feldspar;;1259,714858;;;;;;;;;
340564,1986;658,4981437;K-feldspar;;1067,516981;;;;;;;;;
1506012,016;1384,743317;K-feldspar;;2244,86131;;;;;;;;;
366697,1133;683,2958843;K-feldspar;;1107,717564;;;;;;;;;
229583,9791;540,6620026;K-feldspar;;876,4882248;;;;;;;;;
1385949,9;1328,399872;K-feldspar;;2153,520758;;;;;;;;;
784982,7149;999,7354823;K-feldspar;;1620,710118;;;;;;;;;
604001,3953;876,9483803;K-feldspar;;1421,655166;;;;;;;;;
1253674,914;1263,419359;K-feldspar;;2048,178319;;;;;;;;;
866719,7814;1050,496026;K-feldspar;;1703,000012;;;;;;;;;
1480556,442;1372,990535;K-feldspar;;2225,808419;;;;;;;;;
882740,9652;1060,160698;K-feldspar;;1718,667788;;;;;;;;;
744646,3781;973,7110533;K-feldspar;;1578,520903;;;;;;;;;
865911,1194;1050,005847;K-feldspar;;1702,205365;;;;;;;;;
303524,7145;621,6588046;K-feldspar;;1007,795294;;;;;;;;;
1529235,129;1395,379031;K-feldspar;;2262,103281;;;;;;;;;
85103,03563;329,1755616;K-feldspar;;533,6393204;;;;;;;;;
386381,4668;701,3958675;K-feldspar;;1137,060152;;;;;;;;;
312330,1451;630,6116807;K-feldspar;;1022,30915;;;;;;;;;
1060777,926;1162,163673;K-feldspar;;1884,028783;;;;;;;;;
486662,4661;787,170818;K-feldspar;;1276,113264;;;;;;;;;
414726,1066;726,6675162;K-feldspar;;1178,029006;;;;;;;;;
1315858,949;1294,373844;K-feldspar;;2098,35984;;;;;;;;;
2653102,514;1837,943154;K-feldspar;;2979,561213;;;;;;;;;
