Area (µm^2);Equivalent circular diameter (µm);Class;;3-D diameter (µm);;;;;;;;;
932615,3667;1089,698474;K-feldspar;;1766,552628;;;;;;;;;
803319,2985;1011,344599;K-feldspar;;1639,530109;;;;;;;;;
3281502,002;2044,049441;K-feldspar;;3313,68814;;;;;;;;;
2035575,037;1609,898951;K-feldspar;;2609,869877;;;;;;;;;
1788870,924;1509,192234;K-feldspar;;2446,610297;;;;;;;;;
2262359,802;1697,211231;K-feldspar;;2751,415214;;;;;;;;;
2155291,571;1656,563449;K-feldspar;;2685,51951;;;;;;;;;
3066854,079;1976,066773;K-feldspar;;3203,478791;;;;;;;;;
3153705,76;2003,852012;K-feldspar;;3248,522523;;;;;;;;;
1,55E+07;4437,492668;K-feldspar;;7193,792152;;;;;;;;;
4349834,352;2353,376534;K-feldspar;;3815,150335;;;;;;;;;
2955956,8;1940,01059;K-feldspar;;3145,026708;;;;;;;;;
7577895,546;3106,199651;K-feldspar;;5035,581205;;;;;;;;;
4021621,256;2262,849358;K-feldspar;;3668,393206;;;;;;;;;
3551684,961;2126,533739;K-feldspar;;3447,406648;;;;;;;;;
2397413,267;1747,135191;K-feldspar;;2832,348889;;;;;;;;;
2521670,749;1791,840092;K-feldspar;;2904,821745;;;;;;;;;
668417,8895;922,5270128;K-feldspar;;1495,544462;;;;;;;;;
1045143,794;1153,567687;K-feldspar;;1870,093495;;;;;;;;;
744390,6473;973,5438403;K-feldspar;;1578,249828;;;;;;;;;
1529000,134;1395,271814;K-feldspar;;2261,929467;;;;;;;;;
281296,8771;598,4632885;K-feldspar;;970,1921401;;;;;;;;;
2464407,803;1771,378409;K-feldspar;;2871,650514;;;;;;;;;
2,66E+07;5823,198652;K-feldspar;;9440,21408;;;;;;;;;
1761846,407;1497,74915;K-feldspar;;2428,059467;;;;;;;;;
4813197,676;2475,551175;K-feldspar;;4013,212403;;;;;;;;;
9662750,584;3507,562708;K-feldspar;;5686,246485;;;;;;;;;
6044471,962;2774,177487;K-feldspar;;4497,327146;;;;;;;;;
9604948,53;3497,055947;K-feldspar;;5669,213564;;;;;;;;;
5914325,762;2744,148946;K-feldspar;;4448,64671;;;;;;;;;
2510480,802;1787,860015;K-feldspar;;2898,369487;;;;;;;;;
2,46E+07;5600,87473;K-feldspar;;9079,796113;;;;;;;;;
5462062,533;2637,141258;K-feldspar;;4275,172379;;;;;;;;;
1,28E+07;4041,251799;K-feldspar;;6551,430651;;;;;;;;;
2882562,084;1915,774526;K-feldspar;;3105,736681;;;;;;;;;
3212109,127;2022,321528;K-feldspar;;3278,464175;;;;;;;;;
2787001,735;1883,751794;K-feldspar;;3053,823383;;;;;;;;;
1,20E+07;3915,590513;K-feldspar;;6347,716246;;;;;;;;;
2689360,983;1850,459606;K-feldspar;;2999,852121;;;;;;;;;
1978761,348;1587,273511;K-feldspar;;2573,190894;;;;;;;;;
279928,3721;597,0057563;Others;;967,829278;;;;;;;;;
24114,71545;175,2250248;Others;;284,0641107;;;;;;;;;
27860,82487;188,3441105;Others;;305,3319714;;;;;;;;;
340923,604;658,8455163;Others;;1068,080121;;;;;;;;;
24107,80381;175,1999119;Others;;284,0233992;;;;;;;;;
20741,83464;162,5094585;Others;;263,450411;;;;;;;;;
503630,5447;800,776077;Others;;1298,169279;;;;;;;;;
276769,7522;593,6279923;Others;;962,3534532;;;;;;;;;
85109,94727;329,1889283;Others;;533,6609897;;;;;;;;;
27480,68462;187,0547898;Others;;303,2418033;;;;;;;;;
102022,7328;360,4155627;Others;;584,2837027;;;;;;;;;
201218,6044;506,16152;Others;;820,5581491;;;;;;;;;
40149,72257;226,0977985;Others;;366,535945;;;;;;;;;
24861,17268;177,9163516;Others;;288,4271254;;;;;;;;;
153638,8678;442,2884603;Others;;717,0110449;;;;;;;;;
281794,5152;598,9924209;Others;;971,0499372;;;;;;;;;
47572,825;246,1129863;Others;;398,9833454;;;;;;;;;
136774,4637;417,3088256;Others;;676,5155865;;;;;;;;;
45098,45753;239,6270843;Others;;388,468797;;;;;;;;;
48367,66372;248,1604766;Others;;402,3026115;;;;;;;;;
58341,16168;272,5477465;Others;;441,8377644;;;;;;;;;
47351,65249;245,5402135;Others;;398,0548011;;;;;;;;;
73816,32588;306,5711421;Others;;496,9944158;;;;;;;;;
31634,58086;200,6947915;Others;;325,3541412;;;;;;;;;
315737,5842;634,0422525;Others;;1027,870584;;;;;;;;;
13982,24974;133,4269587;Others;;216,3036381;;;;;;;;;
84446,42974;327,9032384;Others;;531,5767078;;;;;;;;;
44918,75486;239,1491898;Others;;387,6940637;;;;;;;;;
30217,69445;196,14883;Others;;317,9845061;;;;;;;;;
59156,73532;274,44616;Others;;444,9153565;;;;;;;;;
201349,9256;506,326661;Others;;820,8258656;;;;;;;;;
46363,28783;242,9641362;Others;;393,8786218;;;;;;;;;
40426,18821;226,8749027;Others;;367,7957389;;;;;;;;;
77984,0454;315,1069191;Others;;510,8320963;;;;;;;;;
50600,12376;253,8229275;Others;;411,4822312;;;;;;;;;
18827,31008;154,8278906;Others;;250,9975222;;;;;;;;;
53399,33837;260,7492076;Others;;422,7106936;;;;;;;;;
435585,4391;744,717803;Others;;1207,291029;;;;;;;;;
55694,00318;266,2927097;Others;;431,6974807;;;;;;;;;
7402,367511;97,08237245;Others;;157,3840142;;;;;;;;;
25649,09975;180,7137186;Others;;292,9620459;;;;;;;;;
16587,9384;145,328659;Others;;235,597948;;;;;;;;;
78675,2095;316,5002179;Others;;513,0908272;;;;;;;;;
197859,5469;501,9189172;Others;;813,6803005;;;;;;;;;
208462,0042;515,191292;Others;;835,1966641;;;;;;;;;
68335,39457;294,9700437;Others;;478,1874234;;;;;;;;;
1047742,571;1155,000984;Others;;1872,41707;;;;;;;;;
388724,5131;703,5193118;Others;;1140,50255;;;;;;;;;
159278,7668;450,3332373;Others;;730,0527461;;;;;;;;;
236239,8894;548,4432233;Others;;889,1026648;;;;;;;;;
101884,5;360,1713125;Others;;583,8877392;;;;;;;;;
140285,5774;422,6312159;Others;;685,1439207;;;;;;;;;
862579,7084;1047,984063;Others;;1698,92777;;;;;;;;;
678481,2388;929,4456109;Others;;1506,760471;;;;;;;;;
181838,3631;481,1691954;Others;;780,0421186;;;;;;;;;
861798,693;1047,509511;Others;;1698,158456;;;;;;;;;
325565,9377;643,8349371;Others;;1043,745886;;;;;;;;;
570666,5508;852,4055486;Others;;1381,867826;;;;;;;;;
232376,2821;543,9399522;Others;;881,8022366;;;;;;;;;
182557,1737;482,1192931;Others;;781,5823589;;;;;;;;;
289846,577;607,4900194;Others;;984,8257251;;;;;;;;;
69925,072;298,3812441;Others;;483,7174533;;;;;;;;;
241561,853;554,5864258;Others;;899,0616495;;;;;;;;;
178375,6309;476,5657427;Others;;772,5792821;;;;;;;;;
673221,48;925,8359523;Others;;1500,908713;;;;;;;;;
192026,1219;494,4646115;Others;;801,5958353;;;;;;;;;
204335,7545;510,0670182;Others;;826,8895043;;;;;;;;;
720040,9361;957,4886911;Others;;1552,2222;;;;;;;;;
256048,6525;570,9739659;Others;;925,6281288;;;;;;;;;
1139432,4;1204,479303;Others;;1952,628298;;;;;;;;;
124692,9153;398,4519428;Others;;645,9459594;;;;;;;;;
13926,95662;133,1628773;Others;;215,8755256;;;;;;;;;
195896,6409;499,4230169;Others;;809,6340994;;;;;;;;;
265337,898;581,2389392;Others;;942,2690768;;;;;;;;;
233855,3732;545,668314;Others;;884,6041513;;;;;;;;;
984770,6097;1119,753938;Others;;1815,276711;;;;;;;;;
51878,77735;257,0099431;Others;;416,6488263;;;;;;;;;
2970098,017;1944,645533;Others;;3152,540594;;;;;;;;;
1977620,928;1586,816048;Others;;2572,449283;;;;;;;;;
3497290,346;2110,186809;Others;;3420,906003;;;;;;;;;
62253,15049;281,5371609;Others;;456,4108542;;;;;;;;;
11314,35632;120,024522;Others;;194,5764262;;;;;;;;;
45768,8867;241,4016497;Others;;391,3456141;;;;;;;;;
33742,63136;207,2738589;Others;;336,0197236;;;;;;;;;
29056,53876;192,3432717;Others;;311,8151673;;;;;;;;;
37827,41119;219,4615133;Others;;355,7776046;;;;;;;;;
45969,32429;241,9296624;Others;;392,201596;;;;;;;;;
485701,748;786,3934591;Others;;1274,853057;;;;;;;;;
71238,28379;301,1700517;Others;;488,2384978;;;;;;;;;
