Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"Pz0405 3phi 2"
Duration Time,60.583
Ambient Temperature,"97.2"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"1585010"
Raw Accumulated Counts,"1698049"
Valid Count Last Packet,"24285"
Raw Count Last Packet,"26253"
Live Time,56.691998
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.7936
Number of Channels,2048
Vacuum,771
Channel#,Intensity
0,"1677"
1,"1403"
2,"935"
3,"486"
4,"199"
5,"65"
6,"14"
7,"1"
8,"1"
9,"0"
10,"0"
11,"1"
12,"1"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"1"
21,"9"
22,"49"
23,"126"
24,"241"
25,"277"
26,"254"
27,"255"
28,"235"
29,"249"
30,"226"
31,"241"
32,"253"
33,"238"
34,"219"
35,"241"
36,"235"
37,"217"
38,"243"
39,"200"
40,"211"
41,"213"
42,"231"
43,"215"
44,"211"
45,"202"
46,"248"
47,"248"
48,"216"
49,"229"
50,"234"
51,"233"
52,"221"
53,"204"
54,"215"
55,"208"
56,"224"
57,"232"
58,"206"
59,"210"
60,"213"
61,"184"
62,"188"
63,"189"
64,"175"
65,"194"
66,"163"
67,"181"
68,"211"
69,"199"
70,"203"
71,"223"
72,"260"
73,"235"
74,"291"
75,"246"
76,"252"
77,"275"
78,"247"
79,"241"
80,"233"
81,"278"
82,"376"
83,"501"
84,"661"
85,"779"
86,"846"
87,"907"
88,"804"
89,"581"
90,"467"
91,"348"
92,"292"
93,"225"
94,"197"
95,"203"
96,"177"
97,"197"
98,"229"
99,"209"
100,"209"
101,"201"
102,"189"
103,"160"
104,"161"
105,"173"
106,"163"
107,"190"
108,"183"
109,"166"
110,"196"
111,"216"
112,"249"
113,"266"
114,"283"
115,"342"
116,"293"
117,"288"
118,"262"
119,"277"
120,"230"
121,"269"
122,"288"
123,"287"
124,"284"
125,"342"
126,"353"
127,"458"
128,"626"
129,"899"
130,"1232"
131,"1644"
132,"1939"
133,"2165"
134,"2152"
135,"2143"
136,"1919"
137,"1747"
138,"1610"
139,"1758"
140,"1694"
141,"1762"
142,"1784"
143,"1784"
144,"1797"
145,"1876"
146,"1827"
147,"1841"
148,"1525"
149,"1264"
150,"1031"
151,"775"
152,"575"
153,"464"
154,"429"
155,"466"
156,"450"
157,"547"
158,"860"
159,"1207"
160,"1860"
161,"2848"
162,"3965"
163,"4656"
164,"5564"
165,"5310"
166,"4592"
167,"3567"
168,"2596"
169,"1524"
170,"935"
171,"610"
172,"496"
173,"456"
174,"578"
175,"729"
176,"844"
177,"1106"
178,"1201"
179,"1404"
180,"1537"
181,"1512"
182,"1518"
183,"1593"
184,"1397"
185,"1203"
186,"906"
187,"706"
188,"549"
189,"412"
190,"324"
191,"302"
192,"326"
193,"301"
194,"324"
195,"322"
196,"413"
197,"457"
198,"396"
199,"461"
200,"502"
201,"438"
202,"398"
203,"400"
204,"358"
205,"374"
206,"334"
207,"315"
208,"303"
209,"326"
210,"347"
211,"353"
212,"360"
213,"362"
214,"385"
215,"419"
216,"540"
217,"612"
218,"835"
219,"1282"
220,"1783"
221,"2322"
222,"2646"
223,"3122"
224,"3172"
225,"2824"
226,"2497"
227,"2040"
228,"1561"
229,"1160"
230,"944"
231,"789"
232,"721"
233,"679"
234,"586"
235,"569"
236,"523"
237,"604"
238,"546"
239,"660"
240,"705"
241,"747"
242,"897"
243,"954"
244,"1011"
245,"1059"
246,"991"
247,"877"
248,"825"
249,"715"
250,"662"
251,"591"
252,"576"
253,"606"
254,"586"
255,"605"
256,"601"
257,"615"
258,"593"
259,"607"
260,"620"
261,"654"
262,"650"
263,"669"
264,"619"
265,"652"
266,"697"
267,"739"
268,"734"
269,"684"
270,"678"
271,"680"
272,"713"
273,"675"
274,"675"
275,"677"
276,"667"
277,"633"
278,"652"
279,"676"
280,"711"
281,"683"
282,"682"
283,"716"
284,"701"
285,"690"
286,"782"
287,"854"
288,"930"
289,"1110"
290,"1178"
291,"1356"
292,"1342"
293,"1407"
294,"1412"
295,"1208"
296,"1162"
297,"1117"
298,"968"
299,"967"
300,"931"
301,"925"
302,"937"
303,"976"
304,"1075"
305,"1114"
306,"1254"
307,"1671"
308,"2397"
309,"4049"
310,"6764"
311,"11925"
312,"19722"
313,"29798"
314,"42220"
315,"55220"
316,"66635"
317,"72892"
318,"73539"
319,"67047"
320,"56782"
321,"44244"
322,"31185"
323,"20426"
324,"12288"
325,"6992"
326,"3879"
327,"2293"
328,"1467"
329,"980"
330,"855"
331,"800"
332,"813"
333,"823"
334,"819"
335,"856"
336,"878"
337,"879"
338,"935"
339,"1066"
340,"1197"
341,"1404"
342,"1759"
343,"2431"
344,"3445"
345,"4814"
346,"6488"
347,"8377"
348,"10096"
349,"11213"
350,"11740"
351,"11221"
352,"10253"
353,"8668"
354,"6775"
355,"4809"
356,"3464"
357,"2437"
358,"1752"
359,"1448"
360,"1247"
361,"1166"
362,"1142"
363,"1177"
364,"1211"
365,"1293"
366,"1384"
367,"1514"
368,"1612"
369,"1731"
370,"1787"
371,"1773"
372,"1652"
373,"1517"
374,"1249"
375,"1136"
376,"992"
377,"768"
378,"694"
379,"646"
380,"570"
381,"564"
382,"549"
383,"575"
384,"581"
385,"558"
386,"568"
387,"634"
388,"601"
389,"602"
390,"621"
391,"545"
392,"641"
393,"642"
394,"722"
395,"807"
396,"798"
397,"819"
398,"902"
399,"943"
400,"937"
401,"881"
402,"850"
403,"716"
404,"786"
405,"790"
406,"746"
407,"768"
408,"793"
409,"724"
410,"788"
