Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L3-2C 1phi"
Duration Time,60.91
Ambient Temperature,"85.2"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"726244"
Raw Accumulated Counts,"752608"
Valid Count Last Packet,"11004"
Raw Count Last Packet,"11359"
Live Time,59.155983
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.8026
Number of Channels,2048
Vacuum,514
Channel#,Intensity
0,"1818"
1,"1495"
2,"976"
3,"476"
4,"222"
5,"81"
6,"21"
7,"8"
8,"1"
9,"1"
10,"1"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"2"
21,"6"
22,"63"
23,"155"
24,"190"
25,"216"
26,"230"
27,"215"
28,"209"
29,"185"
30,"152"
31,"188"
32,"155"
33,"181"
34,"165"
35,"194"
36,"156"
37,"171"
38,"188"
39,"186"
40,"158"
41,"162"
42,"158"
43,"177"
44,"182"
45,"180"
46,"161"
47,"193"
48,"186"
49,"174"
50,"157"
51,"172"
52,"160"
53,"169"
54,"163"
55,"180"
56,"187"
57,"172"
58,"174"
59,"178"
60,"156"
61,"153"
62,"156"
63,"143"
64,"152"
65,"125"
66,"145"
67,"143"
68,"142"
69,"175"
70,"191"
71,"215"
72,"235"
73,"247"
74,"290"
75,"237"
76,"221"
77,"241"
78,"226"
79,"185"
80,"194"
81,"335"
82,"505"
83,"804"
84,"1100"
85,"1422"
86,"1501"
87,"1552"
88,"1294"
89,"933"
90,"603"
91,"384"
92,"278"
93,"205"
94,"170"
95,"155"
96,"148"
97,"145"
98,"130"
99,"140"
100,"144"
101,"116"
102,"149"
103,"126"
104,"128"
105,"131"
106,"134"
107,"138"
108,"142"
109,"145"
110,"162"
111,"171"
112,"198"
113,"216"
114,"189"
115,"236"
116,"215"
117,"229"
118,"226"
119,"201"
120,"207"
121,"177"
122,"205"
123,"204"
124,"226"
125,"249"
126,"285"
127,"400"
128,"495"
129,"752"
130,"1007"
131,"1372"
132,"1626"
133,"1887"
134,"1852"
135,"1906"
136,"1547"
137,"1448"
138,"1340"
139,"1308"
140,"1326"
141,"1421"
142,"1487"
143,"1536"
144,"1590"
145,"1710"
146,"1842"
147,"1763"
148,"1597"
149,"1283"
150,"993"
151,"657"
152,"517"
153,"390"
154,"354"
155,"342"
156,"381"
157,"480"
158,"714"
159,"996"
160,"1535"
161,"2170"
162,"3097"
163,"3812"
164,"4235"
165,"4251"
166,"3576"
167,"2827"
168,"1960"
169,"1207"
170,"762"
171,"482"
172,"326"
173,"335"
174,"406"
175,"510"
176,"623"
177,"715"
178,"917"
179,"839"
180,"831"
181,"812"
182,"695"
183,"658"
184,"589"
185,"490"
186,"420"
187,"354"
188,"232"
189,"217"
190,"191"
191,"182"
192,"193"
193,"181"
194,"206"
195,"196"
196,"211"
197,"242"
198,"248"
199,"222"
200,"226"
201,"230"
202,"251"
203,"233"
204,"199"
205,"247"
206,"225"
207,"231"
208,"225"
209,"245"
210,"238"
211,"222"
212,"201"
213,"235"
214,"261"
215,"208"
216,"245"
217,"306"
218,"241"
219,"338"
220,"426"
221,"422"
222,"494"
223,"586"
224,"582"
225,"541"
226,"500"
227,"453"
228,"410"
229,"344"
230,"321"
231,"291"
232,"297"
233,"296"
234,"331"
235,"305"
236,"301"
237,"311"
238,"307"
239,"346"
240,"332"
241,"351"
242,"351"
243,"377"
244,"351"
245,"385"
246,"347"
247,"357"
248,"365"
249,"298"
250,"338"
251,"315"
252,"267"
253,"317"
254,"314"
255,"310"
256,"319"
257,"334"
258,"343"
259,"321"
260,"316"
261,"324"
262,"367"
263,"343"
264,"347"
265,"392"
266,"389"
267,"360"
268,"375"
269,"365"
270,"367"
271,"381"
272,"396"
273,"366"
274,"390"
275,"343"
276,"376"
277,"397"
278,"407"
279,"423"
280,"399"
281,"435"
282,"392"
283,"355"
284,"402"
285,"385"
286,"416"
287,"368"
288,"396"
289,"371"
290,"431"
291,"406"
292,"425"
293,"430"
294,"474"
295,"433"
296,"445"
297,"447"
298,"425"
299,"384"
300,"436"
301,"410"
302,"395"
303,"444"
304,"417"
305,"397"
306,"434"
307,"496"
308,"534"
309,"607"
310,"743"
311,"942"
312,"1245"
313,"1721"
314,"2219"
315,"2762"
316,"3204"
317,"3441"
318,"3559"
319,"3279"
320,"2830"
321,"2254"
322,"1735"
323,"1221"
324,"955"
325,"686"
326,"571"
327,"509"
328,"479"
329,"534"
330,"502"
331,"500"
332,"486"
333,"530"
334,"521"
335,"545"
336,"487"
337,"509"
338,"513"
339,"570"
340,"499"
341,"547"
342,"568"
343,"568"
344,"585"
345,"712"
346,"755"
347,"761"
348,"891"
349,"919"
350,"974"
351,"978"
352,"966"
353,"870"
354,"760"
355,"708"
356,"752"
357,"691"
358,"784"
359,"781"
360,"864"
361,"862"
362,"912"
363,"942"
364,"1010"
365,"1099"
366,"1179"
367,"1275"
368,"1399"
369,"1469"
370,"1501"
371,"1520"
372,"1322"
373,"1260"
374,"1083"
375,"919"
376,"758"
377,"620"
378,"576"
379,"532"
380,"482"
381,"437"
382,"459"
383,"423"
384,"442"
385,"493"
386,"449"
387,"474"
388,"450"
389,"491"
390,"495"
391,"504"
392,"504"
393,"544"
394,"563"
395,"605"
396,"727"
397,"726"
398,"757"
399,"775"
400,"735"
401,"723"
402,"644"
403,"670"
404,"626"
405,"627"
406,"595"
407,"601"
408,"596"
409,"564"
410,"582"
411,"579"
412,"572"
413,"519"
414,"533"
415,"542"
416,"503"
417,"533"
418,"509"
419,"507"
