Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L2-3 5phi"
Duration Time,60.907
Ambient Temperature,"89.3"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"956190"
Raw Accumulated Counts,"998637"
Valid Count Last Packet,"14723"
Raw Count Last Packet,"15408"
Live Time,58.581009
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.7987
Number of Channels,2048
Vacuum,764
Channel#,Intensity
0,"1822"
1,"1393"
2,"1008"
3,"516"
4,"202"
5,"66"
6,"29"
7,"7"
8,"0"
9,"1"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"6"
22,"44"
23,"118"
24,"173"
25,"196"
26,"199"
27,"178"
28,"175"
29,"196"
30,"192"
31,"173"
32,"165"
33,"150"
34,"166"
35,"166"
36,"179"
37,"183"
38,"154"
39,"169"
40,"161"
41,"134"
42,"170"
43,"168"
44,"160"
45,"173"
46,"191"
47,"197"
48,"159"
49,"156"
50,"149"
51,"164"
52,"165"
53,"158"
54,"173"
55,"158"
56,"157"
57,"165"
58,"148"
59,"157"
60,"163"
61,"129"
62,"157"
63,"131"
64,"136"
65,"160"
66,"118"
67,"139"
68,"134"
69,"141"
70,"176"
71,"210"
72,"203"
73,"233"
74,"242"
75,"239"
76,"222"
77,"197"
78,"215"
79,"192"
80,"190"
81,"234"
82,"342"
83,"532"
84,"763"
85,"960"
86,"1005"
87,"996"
88,"790"
89,"666"
90,"416"
91,"291"
92,"247"
93,"163"
94,"178"
95,"127"
96,"133"
97,"136"
98,"167"
99,"146"
100,"165"
101,"144"
102,"154"
103,"163"
104,"144"
105,"116"
106,"133"
107,"123"
108,"141"
109,"138"
110,"162"
111,"162"
112,"189"
113,"210"
114,"253"
115,"245"
116,"249"
117,"253"
118,"225"
119,"225"
120,"185"
121,"188"
122,"226"
123,"203"
124,"216"
125,"239"
126,"272"
127,"383"
128,"538"
129,"757"
130,"1072"
131,"1461"
132,"1732"
133,"2009"
134,"1981"
135,"1883"
136,"1739"
137,"1411"
138,"1316"
139,"1429"
140,"1406"
141,"1495"
142,"1463"
143,"1618"
144,"1661"
145,"1767"
146,"1893"
147,"1800"
148,"1595"
149,"1346"
150,"1009"
151,"734"
152,"504"
153,"354"
154,"350"
155,"356"
156,"366"
157,"469"
158,"532"
159,"791"
160,"1127"
161,"1650"
162,"2275"
163,"2582"
164,"3015"
165,"2874"
166,"2555"
167,"1993"
168,"1435"
169,"908"
170,"576"
171,"402"
172,"324"
173,"302"
174,"376"
175,"441"
176,"550"
177,"661"
178,"806"
179,"857"
180,"955"
181,"995"
182,"1041"
183,"976"
184,"890"
185,"788"
186,"594"
187,"462"
188,"338"
189,"280"
190,"250"
191,"220"
192,"205"
193,"221"
194,"251"
195,"250"
196,"284"
197,"298"
198,"335"
199,"331"
200,"320"
201,"330"
202,"270"
203,"272"
204,"267"
205,"240"
206,"252"
207,"211"
208,"251"
209,"242"
210,"256"
211,"303"
212,"280"
213,"291"
214,"289"
215,"299"
216,"374"
217,"476"
218,"632"
219,"832"
220,"1160"
221,"1522"
222,"1886"
223,"2105"
224,"2063"
225,"1932"
226,"1678"
227,"1325"
228,"1045"
229,"791"
230,"586"
231,"459"
232,"473"
233,"418"
234,"388"
235,"378"
236,"378"
237,"395"
238,"433"
239,"468"
240,"450"
241,"523"
242,"614"
243,"628"
244,"675"
245,"638"
246,"657"
247,"562"
248,"538"
249,"455"
250,"469"
251,"436"
252,"373"
253,"372"
254,"399"
255,"339"
256,"370"
257,"364"
258,"396"
259,"399"
260,"389"
261,"384"
262,"429"
263,"433"
264,"406"
265,"436"
266,"443"
267,"494"
268,"487"
269,"483"
270,"489"
271,"467"
272,"429"
273,"451"
274,"447"
275,"445"
276,"435"
277,"438"
278,"458"
279,"484"
280,"456"
281,"446"
282,"468"
283,"470"
284,"461"
285,"516"
286,"540"
287,"531"
288,"576"
289,"618"
290,"690"
291,"761"
292,"742"
293,"793"
294,"714"
295,"741"
296,"652"
297,"626"
298,"592"
299,"588"
300,"603"
301,"552"
302,"593"
303,"652"
304,"620"
305,"706"
306,"832"
307,"913"
308,"1316"
309,"1951"
310,"3246"
311,"5274"
312,"8559"
313,"13057"
314,"18357"
315,"23722"
316,"28489"
317,"30912"
318,"31270"
319,"28311"
320,"24263"
321,"18638"
322,"12961"
323,"8555"
324,"5381"
325,"3067"
326,"1811"
327,"1121"
328,"780"
329,"686"
330,"585"
331,"567"
332,"579"
333,"629"
334,"593"
335,"583"
336,"647"
337,"634"
338,"667"
339,"661"
340,"750"
341,"793"
342,"1058"
343,"1288"
344,"1744"
345,"2301"
346,"3051"
347,"3874"
348,"4648"
349,"4968"
350,"5296"
351,"5028"
352,"4581"
353,"3818"
354,"3042"
355,"2353"
356,"1755"
357,"1323"
358,"1103"
359,"923"
360,"903"
361,"903"
362,"894"
363,"895"
364,"1012"
365,"1035"
366,"1121"
367,"1238"
368,"1316"
369,"1376"
370,"1420"
371,"1399"
372,"1310"
373,"1190"
374,"1008"
375,"881"
376,"745"
377,"604"
378,"581"
379,"510"
380,"501"
381,"481"
382,"501"
383,"471"
384,"459"
385,"452"
386,"447"
387,"468"
388,"480"
389,"505"
390,"500"
391,"488"
392,"554"
393,"496"
394,"567"
395,"612"
396,"633"
397,"714"
398,"761"
399,"764"
400,"755"
401,"756"
402,"698"
403,"690"
404,"628"
405,"633"
406,"573"
407,"619"
408,"607"
409,"616"
410,"639"
411,"671"
412,"558"
413,"629"
414,"559"
415,"467"
416,"517"
417,"512"
418,"487"
419,"510"
420,"531"
421,"519"
422,"560"
423,"607"
424,"575"
425,"642"
426,"652"
427,"689"
428,"728"
429,"682"
430,"674"
431,"653"
432,"620"
433,"568"
434,"532"
435,"512"
436,"503"
437,"489"
438,"502"
439,"515"
440,"495"
441,"529"
442,"522"
443,"547"
444,"548"
445,"549"
446,"552"
447,"519"
448,"507"
449,"548"
450,"526"
451,"505"
452,"529"
453,"524"
454,"532"
455,"572"
456,"569"
457,"557"
458,"565"
459,"569"
460,"561"
461,"545"
462,"550"
463,"538"
464,"535"
465,"531"
466,"527"
467,"523"
468,"529"
469,"461"
470,"509"
471,"530"
472,"558"
473,"540"
474,"576"
475,"571"
476,"569"
477,"532"
478,"528"
479,"546"
480,"532"
481,"467"
482,"534"
483,"539"
484,"509"
485,"519"
486,"492"
487,"488"
488,"512"
489,"483"
490,"478"
491,"459"
492,"512"
493,"496"
494,"487"
495,"523"
496,"531"
497,"506"
498,"528"
499,"492"
500,"501"
501,"572"
502,"504"
503,"459"
504,"496"
505,"499"
506,"525"
507,"553"
508,"520"
509,"479"
510,"481"
511,"483"
512,"525"
513,"551"
514,"531"
515,"489"
516,"550"
517,"517"
518,"525"
519,"490"
520,"542"
521,"499"
522,"515"
523,"470"
524,"534"
525,"539"
526,"568"
527,"579"
528,"530"
529,"553"
530,"497"
531,"494"
532,"466"
533,"490"
534,"477"
535,"490"
536,"528"
537,"521"
538,"504"
