Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L3-4C 3phi"
Duration Time,60.907
Ambient Temperature,"84.1"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"790528"
Raw Accumulated Counts,"821355"
Valid Count Last Packet,"12249"
Raw Count Last Packet,"12719"
Live Time,58.944004
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.8023
Number of Channels,2048
Vacuum,760
Channel#,Intensity
0,"1822"
1,"1472"
2,"956"
3,"498"
4,"229"
5,"56"
6,"20"
7,"2"
8,"0"
9,"0"
10,"0"
11,"0"
12,"0"
13,"1"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"12"
22,"48"
23,"132"
24,"179"
25,"197"
26,"219"
27,"197"
28,"209"
29,"212"
30,"201"
31,"181"
32,"171"
33,"175"
34,"154"
35,"169"
36,"169"
37,"158"
38,"159"
39,"145"
40,"157"
41,"188"
42,"179"
43,"178"
44,"185"
45,"189"
46,"193"
47,"228"
48,"176"
49,"155"
50,"159"
51,"154"
52,"175"
53,"172"
54,"165"
55,"137"
56,"163"
57,"177"
58,"190"
59,"177"
60,"189"
61,"181"
62,"170"
63,"144"
64,"152"
65,"140"
66,"149"
67,"144"
68,"145"
69,"164"
70,"200"
71,"215"
72,"260"
73,"296"
74,"264"
75,"279"
76,"255"
77,"223"
78,"207"
79,"220"
80,"204"
81,"308"
82,"515"
83,"783"
84,"1087"
85,"1314"
86,"1476"
87,"1436"
88,"1240"
89,"880"
90,"599"
91,"387"
92,"267"
93,"228"
94,"186"
95,"152"
96,"156"
97,"149"
98,"152"
99,"149"
100,"138"
101,"150"
102,"159"
103,"133"
104,"146"
105,"119"
106,"132"
107,"128"
108,"139"
109,"135"
110,"152"
111,"201"
112,"209"
113,"227"
114,"239"
115,"231"
116,"237"
117,"241"
118,"211"
119,"220"
120,"209"
121,"219"
122,"239"
123,"211"
124,"240"
125,"242"
126,"298"
127,"405"
128,"486"
129,"776"
130,"1098"
131,"1416"
132,"1705"
133,"1878"
134,"2077"
135,"1862"
136,"1639"
137,"1428"
138,"1320"
139,"1328"
140,"1354"
141,"1441"
142,"1447"
143,"1560"
144,"1664"
145,"1722"
146,"1811"
147,"1721"
148,"1492"
149,"1225"
150,"940"
151,"698"
152,"509"
153,"365"
154,"350"
155,"358"
156,"411"
157,"460"
158,"614"
159,"873"
160,"1313"
161,"1904"
162,"2616"
163,"3232"
164,"3743"
165,"3541"
166,"3106"
167,"2444"
168,"1640"
169,"1071"
170,"634"
171,"414"
172,"326"
173,"316"
174,"378"
175,"469"
176,"617"
177,"703"
178,"784"
179,"864"
180,"899"
181,"958"
182,"928"
183,"936"
184,"812"
185,"705"
186,"563"
187,"454"
188,"300"
189,"270"
190,"205"
191,"189"
192,"174"
193,"186"
194,"219"
195,"245"
196,"268"
197,"277"
198,"284"
199,"306"
200,"316"
201,"318"
202,"226"
203,"245"
204,"228"
205,"235"
206,"224"
207,"214"
208,"201"
209,"215"
210,"240"
211,"260"
212,"270"
213,"233"
214,"257"
215,"256"
216,"270"
217,"261"
218,"363"
219,"378"
220,"457"
221,"565"
222,"632"
223,"606"
224,"664"
225,"619"
226,"586"
227,"496"
228,"404"
229,"359"
