Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"0phi bag"
Duration Time,60.8
Ambient Temperature,"96.7"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"907221"
Raw Accumulated Counts,"946354"
Valid Count Last Packet,"13842"
Raw Count Last Packet,"14467"
Live Time,58.590008
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.8243
Number of Channels,2048
Vacuum,775
Channel#,Intensity
0,"1775"
1,"1468"
2,"929"
3,"495"
4,"199"
5,"74"
6,"16"
7,"2"
8,"2"
9,"2"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"6"
22,"42"
23,"150"
24,"219"
25,"249"
26,"201"
27,"227"
28,"234"
29,"232"
30,"210"
31,"213"
32,"215"
33,"219"
34,"198"
35,"179"
36,"164"
37,"203"
38,"200"
39,"208"
40,"197"
41,"184"
42,"203"
43,"199"
44,"207"
45,"220"
46,"216"
47,"199"
48,"208"
49,"190"
50,"184"
51,"208"
52,"208"
53,"196"
54,"165"
55,"171"
56,"185"
57,"179"
58,"178"
59,"167"
60,"169"
61,"195"
62,"189"
63,"171"
64,"153"
65,"138"
66,"151"
67,"153"
68,"157"
69,"174"
70,"155"
71,"196"
72,"202"
73,"217"
74,"247"
75,"215"
76,"205"
77,"216"
78,"213"
79,"230"
80,"236"
81,"272"
82,"268"
83,"383"
84,"506"
85,"580"
86,"644"
87,"668"
88,"505"
89,"431"
90,"310"
91,"230"
92,"217"
93,"177"
94,"141"
95,"163"
96,"189"
97,"167"
98,"182"
99,"174"
100,"197"
101,"175"
102,"165"
103,"155"
104,"159"
105,"155"
106,"151"
107,"149"
108,"159"
109,"150"
110,"183"
111,"199"
112,"233"
113,"251"
114,"294"
115,"287"
116,"270"
117,"269"
118,"228"
119,"254"
120,"274"
121,"250"
122,"234"
123,"266"
124,"260"
125,"309"
126,"341"
127,"466"
128,"622"
129,"917"
130,"1290"
131,"1754"
132,"2066"
133,"2255"
134,"2363"
135,"2070"
136,"1994"
137,"1773"
138,"1656"
139,"1629"
140,"1702"
141,"1722"
142,"1791"
143,"1824"
144,"1726"
145,"1909"
146,"1856"
147,"1707"
148,"1535"
149,"1274"
150,"947"
151,"712"
152,"544"
153,"432"
154,"384"
155,"425"
156,"495"
157,"594"
158,"800"
159,"1341"
160,"1992"
161,"2939"
162,"4054"
163,"5154"
164,"5472"
165,"5325"
166,"4522"
167,"3599"
168,"2456"
169,"1542"
170,"875"
171,"579"
172,"467"
173,"480"
174,"564"
175,"729"
176,"974"
177,"1103"
178,"1211"
179,"1355"
180,"1428"
181,"1471"
182,"1371"
183,"1345"
184,"1248"
185,"978"
186,"762"
187,"591"
188,"422"
189,"312"
190,"272"
191,"225"
192,"234"
193,"240"
194,"264"
195,"294"
196,"321"
197,"340"
198,"415"
199,"407"
200,"407"
201,"378"
202,"340"
203,"316"
204,"268"
205,"275"
206,"264"
207,"282"
208,"252"
209,"265"
210,"242"
211,"271"
212,"268"
213,"294"
214,"272"
215,"291"
216,"319"
217,"363"
218,"391"
219,"485"
220,"551"
221,"649"
222,"721"
223,"880"
224,"764"
225,"772"
226,"658"
227,"561"
228,"520"
229,"422"
230,"376"
231,"357"
232,"374"
233,"355"
234,"447"
235,"394"
236,"379"
237,"409"
238,"454"
239,"461"
240,"477"
241,"477"
242,"496"
243,"485"
244,"485"
245,"454"
246,"481"
247,"467"
248,"442"
249,"480"
250,"497"
251,"548"
252,"596"
253,"604"
254,"649"
255,"743"
256,"737"
257,"741"
258,"742"
259,"736"
260,"672"
261,"682"
262,"565"
263,"630"
264,"552"
265,"506"
266,"553"
267,"496"
268,"494"
269,"552"
270,"533"
271,"490"
272,"470"
273,"477"
274,"508"
275,"469"
276,"484"
277,"428"
278,"477"
279,"473"
280,"470"
281,"470"
282,"459"
283,"482"
284,"524"
285,"544"
286,"557"
287,"517"
288,"570"
289,"585"
290,"627"
291,"632"
292,"674"
293,"646"
294,"640"
295,"593"
296,"585"
297,"517"
298,"577"
299,"537"
300,"530"
301,"554"
302,"546"
303,"538"
304,"557"
305,"581"
306,"585"
307,"635"
308,"766"
309,"868"
310,"1114"
311,"1513"
312,"1983"
313,"2851"
314,"3703"
315,"4621"
316,"5385"
317,"5721"
318,"5703"
319,"5379"
320,"4398"
321,"3481"
322,"2669"
323,"1839"
324,"1270"
325,"982"
326,"707"
327,"665"
328,"585"
329,"572"
330,"563"
331,"587"
332,"537"
333,"571"
334,"610"
335,"600"
336,"601"
337,"605"
338,"613"
339,"641"
340,"675"
341,"723"
342,"725"
343,"815"
344,"878"
345,"991"
346,"1091"
347,"1249"
348,"1350"
349,"1525"
350,"1458"
351,"1472"
352,"1371"
353,"1259"
354,"1146"
355,"1046"
356,"975"
357,"950"
358,"956"
359,"989"
360,"1052"
361,"1119"
362,"1183"
363,"1184"
364,"1232"
365,"1354"
366,"1424"
367,"1496"
368,"1598"
369,"1610"
370,"1714"
371,"1719"
372,"1663"
373,"1407"
374,"1272"
375,"1101"
376,"856"
377,"768"
378,"713"
379,"622"
380,"624"
381,"596"
382,"584"
383,"550"
384,"560"
385,"554"
386,"574"
387,"655"
388,"578"
389,"605"
390,"617"
391,"631"
392,"661"
393,"712"
394,"751"
395,"743"
396,"779"
397,"796"
398,"818"
399,"843"
400,"917"
401,"893"
402,"772"
403,"751"
404,"765"
405,"733"
406,"730"
407,"701"
408,"767"
409,"700"
410,"725"
411,"735"
412,"666"
413,"661"
414,"676"
415,"612"
416,"537"
417,"569"
418,"553"
419,"594"
420,"607"
421,"559"
422,"598"
423,"605"
424,"638"
425,"639"
426,"646"
427,"641"
428,"690"
429,"658"
430,"718"
431,"655"
432,"684"
433,"661"
434,"673"
435,"665"
436,"642"
437,"671"
438,"689"
439,"669"
440,"684"
441,"683"
442,"669"
443,"723"
444,"708"
445,"687"
446,"675"
447,"715"
448,"690"
449,"666"
450,"710"
451,"636"
452,"662"
453,"685"
454,"666"
455,"690"
456,"678"
457,"668"
458,"699"
459,"729"
460,"723"
461,"684"
462,"654"
463,"685"
464,"682"
465,"635"
466,"696"
467,"598"
468,"615"
469,"588"
470,"671"
471,"654"
472,"629"
473,"641"
474,"648"
475,"594"
476,"680"
477,"619"
478,"588"
479,"635"
480,"626"
481,"620"
482,"669"
483,"616"
484,"628"
485,"628"
486,"656"
487,"670"
488,"643"
489,"609"
490,"676"
491,"686"
492,"694"
493,"663"
494,"678"
495,"711"
496,"633"
497,"661"
498,"708"
499,"682"
500,"701"
501,"698"
502,"645"
503,"697"
504,"669"
505,"713"
506,"651"
507,"707"
508,"738"
509,"660"
510,"651"
511,"656"
512,"707"
513,"707"
514,"746"
515,"717"
516,"714"
517,"700"
518,"759"
519,"764"
520,"704"
521,"804"
522,"736"
523,"738"
524,"791"
525,"775"
526,"748"
527,"731"
528,"703"
529,"721"
530,"709"
531,"721"
532,"669"
533,"656"
534,"667"
535,"685"
536,"660"
537,"662"
538,"658"
539,"678"
540,"641"
541,"614"
542,"611"
543,"617"
544,"589"
545,"613"
546,"629"
547,"651"
548,"617"
549,"592"
550,"609"
551,"574"
552,"607"
553,"542"
554,"596"
555,"616"
556,"625"
557,"613"
558,"621"
559,"618"
560,"587"
561,"622"
562,"598"
563,"589"
564,"605"
565,"590"
566,"624"
567,"624"
568,"644"
569,"625"
570,"649"
571,"639"
572,"616"
573,"616"
574,"611"
575,"602"
576,"620"
577,"609"
578,"662"
579,"594"
580,"615"
581,"647"
582,"567"
583,"617"
584,"578"
585,"643"
586,"601"
587,"592"
588,"636"
589,"610"
590,"578"
591,"626"
592,"601"
593,"609"
594,"596"
595,"614"
596,"643"
597,"612"
598,"630"
599,"613"
600,"622"
601,"618"
602,"658"
603,"617"
604,"583"
605,"608"
606,"598"
607,"657"
608,"669"
609,"613"
610,"675"
611,"620"
612,"617"
613,"638"
614,"641"
615,"611"
616,"631"
617,"571"
618,"635"
619,"626"
620,"638"
621,"632"
622,"688"
623,"665"
624,"692"
625,"664"
626,"673"
627,"648"
628,"704"
629,"625"
630,"722"
631,"667"
632,"644"
633,"624"
634,"643"
635,"656"
636,"640"
637,"640"
638,"656"
639,"649"
640,"664"
641,"635"
642,"649"
