Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"1phi bag"
Duration Time,60.7121
Ambient Temperature,"96.0"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"1046830"
Raw Accumulated Counts,"1097560"
Valid Count Last Packet,"16428"
Raw Count Last Packet,"17211"
Live Time,58.183006
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.808
Number of Channels,2048
Vacuum,776
Channel#,Intensity
0,"1727"
1,"1400"
2,"951"
3,"478"
4,"219"
5,"82"
6,"10"
7,"9"
8,"1"
9,"0"
10,"0"
11,"0"
12,"0"
13,"2"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"1"
21,"6"
22,"47"
23,"136"
24,"236"
25,"260"
26,"246"
27,"255"
28,"241"
29,"228"
30,"251"
31,"209"
32,"234"
33,"226"
34,"232"
35,"212"
36,"200"
37,"212"
38,"201"
39,"203"
40,"204"
41,"182"
42,"208"
43,"184"
44,"239"
45,"200"
46,"189"
47,"248"
48,"233"
49,"212"
50,"220"
51,"208"
52,"178"
53,"188"
54,"201"
55,"199"
56,"214"
57,"196"
58,"199"
59,"183"
60,"187"
61,"205"
62,"183"
63,"187"
64,"176"
65,"201"
66,"180"
67,"171"
68,"188"
69,"173"
70,"169"
71,"197"
72,"190"
73,"199"
74,"237"
75,"222"
76,"233"
77,"233"
78,"239"
79,"259"
80,"233"
81,"250"
82,"328"
83,"429"
84,"580"
85,"705"
86,"793"
87,"697"
88,"656"
89,"505"
90,"377"
91,"272"
92,"230"
93,"193"
94,"202"
95,"185"
96,"183"
97,"159"
98,"178"
99,"181"
100,"192"
101,"200"
102,"173"
103,"187"
104,"166"
105,"159"
106,"165"
107,"172"
108,"177"
109,"168"
110,"202"
111,"230"
112,"239"
113,"270"
114,"308"
115,"304"
116,"287"
117,"260"
118,"249"
119,"264"
120,"236"
121,"230"
122,"213"
123,"264"
124,"286"
125,"319"
126,"387"
127,"527"
128,"659"
129,"978"
130,"1328"
131,"1758"
132,"2089"
133,"2386"
134,"2334"
135,"2202"
136,"1938"
137,"1780"
138,"1650"
139,"1690"
140,"1737"
141,"1780"
142,"1713"
143,"1816"
144,"1791"
145,"1783"
146,"1886"
147,"1663"
148,"1561"
149,"1272"
150,"951"
151,"723"
152,"544"
153,"453"
154,"410"
155,"419"
156,"495"
157,"556"
158,"775"
159,"1184"
160,"1829"
161,"2596"
162,"3770"
163,"4678"
164,"5032"
165,"4936"
166,"4448"
167,"3310"
168,"2346"
169,"1506"
170,"951"
171,"575"
172,"441"
173,"423"
174,"559"
175,"678"
176,"824"
177,"984"
178,"1149"
179,"1180"
180,"1125"
181,"1094"
182,"1022"
183,"908"
184,"866"
185,"735"
186,"602"
187,"487"
188,"397"
189,"281"
190,"275"
191,"247"
192,"248"
193,"281"
194,"303"
195,"291"
196,"289"
197,"327"
198,"339"
199,"344"
200,"370"
201,"335"
202,"305"
203,"309"
204,"308"
205,"261"
206,"260"
207,"279"
208,"287"
209,"316"
210,"326"
211,"310"
212,"322"
213,"335"
214,"310"
215,"322"
216,"423"
217,"450"
218,"556"
219,"779"
220,"982"
221,"1268"
222,"1588"
223,"1645"
224,"1673"
225,"1584"
226,"1325"
227,"1042"
228,"768"
229,"661"
230,"536"
231,"436"
232,"398"
233,"409"
234,"353"
235,"361"
236,"397"
237,"380"
238,"422"
239,"442"
240,"497"
241,"511"
242,"543"
243,"536"
244,"579"
245,"583"
246,"599"
247,"565"
248,"522"
249,"509"
250,"498"
251,"496"
252,"477"
253,"466"
254,"463"
255,"488"
256,"433"
257,"459"
258,"493"
259,"514"
260,"471"
261,"489"
262,"517"
263,"494"
264,"520"
265,"539"
266,"526"
267,"478"
268,"538"
269,"564"
270,"530"
271,"563"
272,"565"
273,"550"
274,"507"
275,"522"
276,"570"
277,"555"
278,"551"
279,"552"
280,"608"
281,"556"
282,"574"
283,"593"
284,"604"
285,"552"
286,"576"
287,"598"
288,"690"
289,"649"
290,"702"
291,"703"
292,"734"
293,"730"
294,"753"
295,"700"
296,"663"
297,"614"
298,"639"
299,"636"
300,"599"
301,"677"
302,"655"
303,"581"
304,"662"
305,"695"
306,"739"
307,"824"
308,"1028"
309,"1344"
310,"1883"
311,"3031"
312,"4572"
313,"6595"
314,"9086"
315,"11426"
316,"13721"
317,"14540"
318,"14714"
319,"13382"
320,"11085"
321,"8652"
322,"6061"
323,"4143"
324,"2655"
325,"1710"
326,"1190"
327,"896"
328,"753"
329,"687"
330,"669"
331,"662"
332,"660"
333,"702"
334,"662"
335,"685"
336,"724"
337,"744"
338,"761"
339,"707"
340,"791"
341,"818"
342,"931"
343,"1060"
344,"1222"
