Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"3phi"
Duration Time,60.7611
Ambient Temperature,"95.4"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"1163205"
Raw Accumulated Counts,"1227829"
Valid Count Last Packet,"18266"
Raw Count Last Packet,"19389"
Live Time,57.849998
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.8042
Number of Channels,2048
Vacuum,773
Channel#,Intensity
0,"1704"
1,"1417"
2,"953"
3,"485"
4,"218"
5,"83"
6,"26"
7,"6"
8,"1"
9,"1"
10,"0"
11,"1"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"2"
19,"0"
20,"0"
21,"8"
22,"39"
23,"131"
24,"261"
25,"261"
26,"258"
27,"249"
28,"237"
29,"246"
30,"227"
31,"227"
32,"223"
33,"213"
34,"225"
35,"243"
36,"204"
37,"217"
38,"212"
39,"225"
40,"196"
41,"229"
42,"186"
43,"211"
44,"215"
45,"222"
46,"222"
47,"216"
48,"204"
49,"219"
50,"228"
51,"207"
52,"218"
53,"192"
54,"221"
55,"208"
56,"198"
57,"197"
58,"181"
59,"203"
60,"184"
61,"189"
62,"200"
63,"204"
64,"175"
65,"172"
66,"171"
67,"186"
68,"234"
69,"236"
70,"287"
71,"336"
72,"452"
73,"464"
74,"514"
75,"452"
76,"423"
77,"367"
78,"338"
79,"345"
80,"412"
81,"623"
82,"1143"
83,"1751"
84,"2532"
85,"3251"
86,"3571"
87,"3406"
88,"2915"
89,"2061"
90,"1264"
91,"774"
92,"522"
93,"340"
94,"250"
95,"227"
96,"200"
97,"226"
98,"179"
99,"216"
100,"216"
101,"214"
102,"190"
103,"176"
104,"157"
105,"170"
106,"148"
107,"154"
108,"181"
109,"195"
110,"161"
111,"221"
112,"240"
113,"282"
114,"298"
115,"295"
116,"245"
117,"274"
118,"268"
119,"256"
120,"257"
121,"229"
122,"202"
123,"242"
124,"242"
125,"284"
126,"399"
127,"486"
128,"658"
129,"876"
130,"1232"
131,"1536"
132,"1889"
133,"1964"
134,"2023"
135,"1900"
136,"1710"
137,"1488"
138,"1427"
139,"1383"
140,"1455"
141,"1508"
142,"1504"
143,"1488"
144,"1635"
145,"1603"
146,"1593"
147,"1597"
148,"1442"
149,"1195"
150,"889"
151,"660"
152,"466"
153,"381"
154,"364"
155,"379"
156,"438"
157,"600"
158,"811"
159,"1334"
160,"2038"
161,"3066"
162,"4165"
163,"5194"
164,"5703"
165,"5586"
166,"4965"
167,"3778"
168,"2478"
169,"1597"
170,"875"
171,"598"
172,"424"
173,"437"
174,"541"
175,"725"
176,"896"
177,"1106"
178,"1296"
179,"1429"
180,"1656"
181,"1693"
182,"1784"
183,"1724"
184,"1593"
185,"1281"
186,"989"
187,"755"
188,"536"
189,"379"
190,"268"
191,"261"
192,"258"
193,"240"
194,"292"
195,"273"
196,"358"
197,"420"
198,"440"
199,"432"
200,"430"
201,"426"
202,"362"
203,"334"
204,"285"
205,"265"
206,"238"
207,"252"
208,"243"
209,"256"
210,"266"
211,"261"
212,"258"
213,"296"
214,"302"
215,"358"
216,"468"
217,"607"
218,"876"
219,"1396"
220,"1852"
