Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L3-2C -1phi 2"
Duration Time,60.227
Ambient Temperature,"85.0"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"484218"
Raw Accumulated Counts,"498832"
Valid Count Last Packet,"7805"
Raw Count Last Packet,"8033"
Live Time,59.046021
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.0886
Number of Channels,2048
Vacuum,763
Channel#,Intensity
0,"1760"
1,"1492"
2,"963"
3,"524"
4,"228"
5,"84"
6,"15"
7,"7"
8,"0"
9,"0"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"1"
21,"3"
22,"29"
23,"82"
24,"133"
25,"141"
26,"124"
27,"159"
28,"146"
29,"125"
30,"121"
31,"135"
32,"131"
33,"120"
34,"119"
35,"110"
36,"106"
37,"126"
38,"122"
39,"109"
40,"118"
41,"117"
42,"117"
43,"106"
44,"117"
45,"108"
46,"118"
47,"126"
48,"136"
49,"118"
50,"116"
51,"110"
52,"124"
53,"136"
54,"123"
55,"106"
56,"122"
57,"120"
58,"109"
59,"123"
60,"112"
61,"117"
62,"111"
63,"108"
64,"89"
65,"78"
66,"113"
67,"89"
68,"115"
69,"111"
70,"128"
71,"151"
72,"149"
73,"162"
74,"162"
75,"132"
76,"139"
77,"158"
78,"141"
79,"132"
80,"132"
81,"171"
82,"250"
83,"309"
84,"410"
85,"541"
86,"557"
87,"549"
88,"465"
89,"368"
90,"258"
91,"185"
92,"144"
93,"112"
94,"114"
95,"89"
96,"124"
97,"104"
98,"106"
99,"100"
100,"123"
101,"119"
102,"104"
103,"101"
104,"93"
105,"95"
106,"96"
107,"84"
108,"89"
109,"113"
110,"144"
111,"139"
112,"178"
113,"183"
114,"211"
115,"195"
116,"204"
117,"193"
118,"174"
119,"186"
120,"158"
121,"178"
122,"156"
123,"169"
124,"196"
125,"236"
126,"261"
127,"351"
128,"504"
129,"736"
130,"999"
131,"1329"
132,"1644"
133,"1833"
134,"1913"
135,"1783"
136,"1520"
137,"1392"
138,"1317"
139,"1297"
140,"1387"
141,"1307"
142,"1416"
143,"1460"
144,"1614"
145,"1752"
146,"1863"
147,"1812"
148,"1551"
149,"1263"
150,"901"
151,"694"
152,"470"
153,"368"
154,"309"
155,"317"
156,"340"
157,"412"
158,"490"
159,"654"
160,"943"
161,"1402"
162,"1843"
163,"2190"
164,"2499"
165,"2367"
166,"1991"
167,"1589"
168,"1098"
169,"702"
170,"447"
171,"304"
172,"222"
173,"207"
174,"254"
175,"333"
176,"420"
177,"478"
